epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
80,1.0,tanh,RMSprop,95,1,2,0.7619769
45,1.0,tanh,RMSprop,5,1,2,0.74481475
10,1.0,tanh,RMSprop,5,1,2,0.7432577
20,1.0,tanh,RMSprop,15,1,2,0.7360652
40,1.0,tanh,RMSprop,20,1,2,0.73195016
85,1.0,tanh,RMSprop,5,1,2,0.7261476
15,1.0,tanh,RMSprop,20,1,2,0.72371733
40,1.0,tanh,RMSprop,15,1,2,0.71867245
90,1.0,tanh,RMSprop,10,1,2,0.7183696
15,1.0,tanh,RMSprop,10,1,2,0.7160947
15,1.0,tanh,RMSprop,25,1,2,0.7132358
25,1.0,tanh,RMSprop,50,1,2,0.71179587
30,1.0,tanh,RMSprop,25,1,2,0.71067274
15,1.0,tanh,RMSprop,5,1,2,0.70839924
30,1.0,tanh,RMSprop,60,1,2,0.70760995
25,1.0,tanh,RMSprop,60,1,2,0.70462745
65,1.0,tanh,RMSprop,5,1,2,0.7040374
75,1.0,tanh,RMSprop,50,1,2,0.703714
25,1.0,tanh,RMSprop,40,1,2,0.70331913
100,1.0,tanh,RMSprop,20,1,2,0.7030483
85,1.0,tanh,RMSprop,15,1,2,0.70228934
15,1.0,tanh,RMSprop,50,1,2,0.7019686
40,1.0,tanh,RMSprop,10,1,2,0.701264
30,1.0,tanh,RMSprop,20,1,2,0.7006529
75,1.0,tanh,RMSprop,20,1,2,0.7001746
95,1.0,tanh,RMSprop,10,1,2,0.7001186
65,1.0,tanh,RMSprop,80,1,2,0.6999667
70,1.0,tanh,RMSprop,5,1,2,0.69780606
70,1.0,tanh,RMSprop,10,1,2,0.6969988
25,1.0,tanh,RMSprop,25,1,2,0.6967248
40,1.0,tanh,RMSprop,30,1,2,0.6964183
30,1.0,tanh,RMSprop,55,1,2,0.6948913
45,1.0,tanh,RMSprop,10,1,2,0.69402474
65,1.0,tanh,RMSprop,10,1,2,0.6939961
30,1.0,tanh,RMSprop,15,1,2,0.690892
5,1.0,tanh,RMSprop,50,1,2,0.68951494
30,1.0,tanh,RMSprop,30,1,2,0.689259
20,1.0,tanh,RMSprop,20,1,2,0.68890345
20,1.0,tanh,RMSprop,5,1,2,0.6875627
25,1.0,tanh,RMSprop,30,1,2,0.6858953
35,1.0,tanh,RMSprop,30,1,2,0.6857024
25,1.0,tanh,RMSprop,55,1,2,0.6853964
35,1.0,tanh,RMSprop,15,1,2,0.6851713
10,1.0,tanh,RMSprop,25,1,2,0.6845323
20,1.0,tanh,RMSprop,50,1,2,0.6843667
15,1.0,tanh,RMSprop,35,1,2,0.6842243
85,1.0,tanh,RMSprop,25,1,2,0.6831816
35,1.0,tanh,RMSprop,10,1,2,0.68300706
50,1.0,tanh,RMSprop,25,1,2,0.68203235
40,1.0,tanh,RMSprop,5,1,2,0.6811096
10,1.0,tanh,RMSprop,15,1,2,0.68109804
15,1.0,tanh,RMSprop,85,1,2,0.6807942
80,1.0,tanh,RMSprop,25,1,2,0.6806842
75,1.0,tanh,RMSprop,5,1,2,0.6802787
65,1.0,tanh,RMSprop,30,1,2,0.6801734
30,1.0,tanh,RMSprop,35,1,2,0.6793119
45,1.0,tanh,RMSprop,55,1,2,0.67859757
60,1.0,tanh,RMSprop,55,1,2,0.6779128
45,1.0,tanh,RMSprop,25,1,2,0.67776
85,1.0,tanh,RMSprop,50,1,2,0.677512
35,1.0,tanh,RMSprop,80,1,2,0.6771855
45,1.0,tanh,RMSprop,20,1,2,0.6770156
35,1.0,tanh,RMSprop,65,1,2,0.6760546
20,1.0,tanh,RMSprop,85,1,2,0.6752493
20,1.0,tanh,RMSprop,70,1,2,0.6748185
70,1.0,tanh,RMSprop,15,1,2,0.6746921
25,1.0,tanh,RMSprop,20,1,2,0.674216
10,1.0,tanh,RMSprop,35,1,2,0.6737175
45,1.0,tanh,RMSprop,15,1,2,0.6735994
35,1.0,tanh,RMSprop,25,1,2,0.67337716
70,1.0,tanh,RMSprop,30,1,2,0.6726037
100,1.0,tanh,RMSprop,5,1,2,0.67230177
70,1.0,tanh,RMSprop,45,1,2,0.6713238
55,1.0,tanh,RMSprop,10,1,2,0.67081875
10,1.0,tanh,RMSprop,10,1,2,0.6695888
45,1.0,tanh,RMSprop,30,1,2,0.6694272
20,1.0,tanh,RMSprop,90,1,2,0.6689738
25,1.0,tanh,RMSprop,45,1,2,0.6686746
75,1.0,tanh,RMSprop,25,1,2,0.6684206
10,1.0,tanh,RMSprop,65,1,2,0.66482985
20,1.0,tanh,RMSprop,35,1,2,0.6648136
15,1.0,tanh,RMSprop,15,1,2,0.6634124
55,1.0,tanh,RMSprop,25,1,2,0.6627837
15,1.0,tanh,RMSprop,40,1,2,0.66269356
20,1.0,tanh,RMSprop,55,1,2,0.66215956
15,1.0,tanh,RMSprop,60,1,2,0.66154444
20,1.0,tanh,RMSprop,75,1,2,0.6614263
20,1.0,tanh,RMSprop,25,1,2,0.6609215
25,1.0,tanh,RMSprop,65,1,2,0.6605544
50,1.0,tanh,RMSprop,60,1,2,0.6601269
10,1.0,tanh,RMSprop,70,1,2,0.6598623
25,1.0,tanh,RMSprop,15,1,2,0.65970385
50,1.0,tanh,RMSprop,10,1,2,0.6596069
25,1.0,tanh,RMSprop,95,1,2,0.6578515
65,1.0,tanh,RMSprop,75,1,2,0.6559078
40,1.0,tanh,RMSprop,35,1,2,0.65544957
25,1.0,tanh,RMSprop,90,1,2,0.65468854
40,1.0,tanh,RMSprop,85,1,2,0.6535746
65,1.0,tanh,RMSprop,45,1,2,0.6522159
20,1.0,tanh,RMSprop,80,1,2,0.65168107
30,1.0,tanh,RMSprop,10,1,2,0.6512762
55,1.0,tanh,RMSprop,90,1,2,0.6512104
20,1.0,tanh,RMSprop,30,1,2,0.6509498
50,1.0,tanh,RMSprop,15,1,2,0.65051466
75,1.0,tanh,RMSprop,10,1,2,0.649911
45,1.0,tanh,RMSprop,45,1,2,0.6493273
40,1.0,tanh,RMSprop,65,1,2,0.64928895
35,1.0,tanh,RMSprop,35,1,2,0.64804
25,1.0,tanh,RMSprop,70,1,2,0.6479765
15,1.0,tanh,RMSprop,65,1,2,0.64774966
30,1.0,tanh,RMSprop,45,1,2,0.6471442
65,1.0,tanh,RMSprop,20,1,2,0.64522094
45,1.0,tanh,RMSprop,60,1,2,0.6450135
15,1.0,tanh,RMSprop,100,1,2,0.6446135
65,1.0,tanh,RMSprop,15,1,2,0.6441389
15,1.0,tanh,RMSprop,80,1,2,0.6433611
15,1.0,tanh,RMSprop,30,1,2,0.64330286
75,1.0,tanh,RMSprop,35,1,2,0.6424754
5,1.0,tanh,RMSprop,20,1,2,0.64218885
20,1.0,tanh,RMSprop,65,1,2,0.64150596
40,1.0,tanh,RMSprop,100,1,2,0.64146143
50,1.0,tanh,RMSprop,20,1,2,0.64135504
75,1.0,tanh,RMSprop,15,1,2,0.63918316
10,1.0,tanh,RMSprop,55,1,2,0.639179
85,1.0,tanh,RMSprop,20,1,2,0.6391476
20,1.0,tanh,RMSprop,100,1,2,0.6388187
30,1.0,tanh,RMSprop,90,1,2,0.6375946
100,1.0,tanh,RMSprop,10,1,2,0.6375063
15,1.0,tanh,RMSprop,70,1,2,0.6358103
10,1.0,tanh,RMSprop,20,1,2,0.6356243
95,1.0,tanh,RMSprop,5,1,2,0.6355521
5,1.0,tanh,RMSprop,45,1,2,0.63498133
60,1.0,tanh,RMSprop,45,1,2,0.6346409
40,1.0,tanh,RMSprop,25,1,2,0.6336444
65,1.0,tanh,RMSprop,60,1,2,0.631191
25,1.0,tanh,RMSprop,35,1,2,0.63024586
95,1.0,tanh,RMSprop,25,1,2,0.6300242
25,1.0,tanh,RMSprop,10,1,2,0.6295797
40,1.0,tanh,RMSprop,55,1,2,0.6264875
15,1.0,tanh,RMSprop,55,1,2,0.6263957
40,1.0,tanh,RMSprop,75,1,2,0.62588626
35,1.0,tanh,RMSprop,95,1,2,0.6257742
90,1.0,tanh,RMSprop,15,1,2,0.6239512
55,1.0,tanh,RMSprop,30,1,2,0.6214743
30,1.0,tanh,RMSprop,70,1,2,0.61943835
20,1.0,tanh,RMSprop,40,1,2,0.6185094
20,1.0,tanh,RMSprop,60,1,2,0.6178503
55,1.0,tanh,RMSprop,40,1,2,0.6161515
90,1.0,tanh,RMSprop,20,1,2,0.61601007
5,1.0,tanh,RMSprop,55,1,2,0.61485577
55,1.0,tanh,RMSprop,20,1,2,0.612919
35,1.0,tanh,RMSprop,50,1,2,0.6113187
35,1.0,tanh,RMSprop,20,1,2,0.6106486
60,1.0,tanh,RMSprop,25,1,2,0.6098814
10,1.0,tanh,RMSprop,40,1,2,0.6093226
5,1.0,tanh,RMSprop,10,1,2,0.6083507
85,1.0,tanh,RMSprop,10,1,2,0.6083292
75,1.0,tanh,RMSprop,30,1,2,0.6072942
90,1.0,tanh,RMSprop,5,1,2,0.60721207
10,1.0,tanh,RMSprop,50,1,2,0.6069921
80,1.0,tanh,RMSprop,85,1,2,0.6047341
70,1.0,tanh,RMSprop,70,1,2,0.60407853
