epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,Adagrad,6,1,2,0.77686155
26,1.0,tanh,Adagrad,6,1,2,0.7200551
28,1.0,tanh,Adagrad,6,1,2,0.7066948
26,1.0,tanh,Adagrad,8,1,2,0.6810797
22,1.0,tanh,Adagrad,8,1,2,0.6787287
22,1.0,tanh,Adagrad,6,1,2,0.6725645
24,1.0,tanh,Adagrad,6,1,2,0.6683994
24,1.0,tanh,Adagrad,10,1,2,0.66598433
30,1.0,tanh,Adagrad,8,1,2,0.66325843
30,1.0,tanh,Adagrad,10,1,2,0.6259244
24,1.0,tanh,Adagrad,8,1,2,0.61679125
20,1.0,tanh,Adagrad,8,1,2,0.61244565
30,1.0,tanh,Adagrad,6,1,2,0.61030185
28,1.0,tanh,Adagrad,8,1,2,0.6028989
28,1.0,tanh,Adagrad,12,1,2,0.59052444
28,1.0,tanh,Adagrad,10,1,2,0.57026803
26,1.0,tanh,Adagrad,10,1,2,0.5682771
30,1.0,tanh,Adagrad,12,1,2,0.5660006
22,1.0,tanh,Adagrad,14,1,2,0.52622646
30,1.0,tanh,Adagrad,14,1,2,0.45663682
20,1.0,tanh,Adagrad,16,1,2,0.43384057
24,1.0,tanh,Adagrad,14,1,2,0.4303826
28,1.0,tanh,Adagrad,14,1,2,0.4303579
20,1.0,tanh,Adagrad,10,1,2,0.42939916
24,1.0,tanh,Adagrad,16,1,2,0.42807797
28,1.0,tanh,Adagrad,16,1,2,0.42782432
22,1.0,tanh,Adagrad,16,1,2,0.42587605
26,1.0,tanh,Adagrad,16,1,2,0.42544705
30,1.0,tanh,Adagrad,16,1,2,0.4234353
22,1.0,tanh,Adagrad,12,1,2,0.42018315
26,1.0,tanh,Adagrad,14,1,2,0.4163013
24,1.0,tanh,Adagrad,12,1,2,0.37477678
20,1.0,tanh,Adagrad,12,1,2,0.3234007
26,1.0,tanh,Adagrad,12,1,2,0.31313297
22,1.0,tanh,Adagrad,10,1,2,0.2884958
20,1.0,tanh,Adagrad,14,1,2,-0.32015237
