epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
85,1.0,tanh,RMSprop,5,1,2,0.5807451
40,1.0,tanh,RMSprop,5,1,2,0.5560973
100,1.0,tanh,RMSprop,10,1,2,0.5454153
45,1.0,tanh,RMSprop,5,1,2,0.51927346
25,1.0,tanh,RMSprop,5,1,2,0.4815835
5,1.0,tanh,RMSprop,5,1,2,0.44012287
5,1.0,tanh,RMSprop,35,1,2,0.42460412
5,1.0,tanh,RMSprop,30,1,2,0.4244008
100,1.0,tanh,RMSprop,15,1,2,0.4145185
5,1.0,tanh,RMSprop,40,1,2,0.41393805
60,1.0,tanh,RMSprop,5,1,2,0.4079511
5,1.0,tanh,RMSprop,45,1,2,0.40579203
80,1.0,tanh,RMSprop,15,1,2,0.40287036
5,1.0,tanh,RMSprop,50,1,2,0.4027801
5,1.0,tanh,RMSprop,55,1,2,0.39929655
5,1.0,tanh,RMSprop,60,1,2,0.39680988
5,1.0,tanh,RMSprop,70,1,2,0.39516386
5,1.0,tanh,RMSprop,65,1,2,0.39229053
60,1.0,tanh,RMSprop,25,1,2,0.3872598
5,1.0,tanh,RMSprop,75,1,2,0.3866509
5,1.0,tanh,RMSprop,80,1,2,0.38413468
5,1.0,tanh,RMSprop,85,1,2,0.38342327
5,1.0,tanh,RMSprop,90,1,2,0.38272837
35,1.0,tanh,RMSprop,5,1,2,0.38053668
20,1.0,tanh,RMSprop,5,1,2,0.37983334
5,1.0,tanh,RMSprop,95,1,2,0.37514758
5,1.0,tanh,RMSprop,100,1,2,0.3741103
10,1.0,tanh,RMSprop,25,1,2,0.37395445
90,1.0,tanh,RMSprop,25,1,2,0.36676067
10,1.0,tanh,RMSprop,35,1,2,0.3563225
15,1.0,tanh,RMSprop,5,1,2,0.35578206
10,1.0,tanh,RMSprop,40,1,2,0.35200194
15,1.0,tanh,RMSprop,30,1,2,0.34981874
10,1.0,tanh,RMSprop,45,1,2,0.34965965
20,1.0,tanh,RMSprop,25,1,2,0.34860656
10,1.0,tanh,RMSprop,50,1,2,0.3483081
15,1.0,tanh,RMSprop,35,1,2,0.34651202
10,1.0,tanh,RMSprop,65,1,2,0.34602168
10,1.0,tanh,RMSprop,55,1,2,0.34500113
20,1.0,tanh,RMSprop,30,1,2,0.34433338
10,1.0,tanh,RMSprop,60,1,2,0.3431863
15,1.0,tanh,RMSprop,40,1,2,0.34255105
10,1.0,tanh,RMSprop,70,1,2,0.34243977
10,1.0,tanh,RMSprop,80,1,2,0.3415514
10,1.0,tanh,RMSprop,85,1,2,0.34113315
10,1.0,tanh,RMSprop,75,1,2,0.3405137
20,1.0,tanh,RMSprop,35,1,2,0.34038866
15,1.0,tanh,RMSprop,45,1,2,0.33979613
10,1.0,tanh,RMSprop,100,1,2,0.33930835
15,1.0,tanh,RMSprop,55,1,2,0.3389885
15,1.0,tanh,RMSprop,50,1,2,0.33847034
25,1.0,tanh,RMSprop,35,1,2,0.33830395
20,1.0,tanh,RMSprop,40,1,2,0.33814874
10,1.0,tanh,RMSprop,95,1,2,0.33783635
10,1.0,tanh,RMSprop,90,1,2,0.33775964
30,1.0,tanh,RMSprop,35,1,2,0.33761755
15,1.0,tanh,RMSprop,70,1,2,0.33617243
30,1.0,tanh,RMSprop,30,1,2,0.33544755
20,1.0,tanh,RMSprop,45,1,2,0.33511943
15,1.0,tanh,RMSprop,60,1,2,0.33472437
15,1.0,tanh,RMSprop,85,1,2,0.33467108
15,1.0,tanh,RMSprop,65,1,2,0.33424243
25,1.0,tanh,RMSprop,45,1,2,0.333192
20,1.0,tanh,RMSprop,60,1,2,0.33318758
35,1.0,tanh,RMSprop,35,1,2,0.33309662
25,1.0,tanh,RMSprop,40,1,2,0.33309284
20,1.0,tanh,RMSprop,55,1,2,0.3329612
15,1.0,tanh,RMSprop,90,1,2,0.33280867
30,1.0,tanh,RMSprop,40,1,2,0.33239225
15,1.0,tanh,RMSprop,75,1,2,0.33238503
20,1.0,tanh,RMSprop,50,1,2,0.33122897
45,1.0,tanh,RMSprop,30,1,2,0.33118
15,1.0,tanh,RMSprop,100,1,2,0.33109164
15,1.0,tanh,RMSprop,95,1,2,0.3310306
20,1.0,tanh,RMSprop,65,1,2,0.33086997
20,1.0,tanh,RMSprop,70,1,2,0.33069292
40,1.0,tanh,RMSprop,30,1,2,0.3306858
15,1.0,tanh,RMSprop,80,1,2,0.329729
25,1.0,tanh,RMSprop,50,1,2,0.32962373
20,1.0,tanh,RMSprop,75,1,2,0.32943472
20,1.0,tanh,RMSprop,90,1,2,0.3294269
25,1.0,tanh,RMSprop,60,1,2,0.32912728
20,1.0,tanh,RMSprop,80,1,2,0.3289548
25,1.0,tanh,RMSprop,55,1,2,0.3287741
30,1.0,tanh,RMSprop,45,1,2,0.32858893
25,1.0,tanh,RMSprop,65,1,2,0.32834584
35,1.0,tanh,RMSprop,40,1,2,0.32756943
40,1.0,tanh,RMSprop,35,1,2,0.32746518
20,1.0,tanh,RMSprop,85,1,2,0.3271595
35,1.0,tanh,RMSprop,45,1,2,0.3267477
20,1.0,tanh,RMSprop,100,1,2,0.32558522
40,1.0,tanh,RMSprop,40,1,2,0.32555154
25,1.0,tanh,RMSprop,70,1,2,0.32546192
30,1.0,tanh,RMSprop,50,1,2,0.32543528
20,1.0,tanh,RMSprop,95,1,2,0.3253781
35,1.0,tanh,RMSprop,50,1,2,0.32529947
25,1.0,tanh,RMSprop,90,1,2,0.32507685
25,1.0,tanh,RMSprop,85,1,2,0.32499143
25,1.0,tanh,RMSprop,80,1,2,0.32461715
35,1.0,tanh,RMSprop,55,1,2,0.32461137
30,1.0,tanh,RMSprop,70,1,2,0.32410428
25,1.0,tanh,RMSprop,95,1,2,0.32393068
25,1.0,tanh,RMSprop,75,1,2,0.32391843
30,1.0,tanh,RMSprop,65,1,2,0.3238695
45,1.0,tanh,RMSprop,40,1,2,0.32370362
30,1.0,tanh,RMSprop,60,1,2,0.32367575
50,1.0,tanh,RMSprop,35,1,2,0.32339308
35,1.0,tanh,RMSprop,65,1,2,0.3226408
55,1.0,tanh,RMSprop,35,1,2,0.32257974
30,1.0,tanh,RMSprop,90,1,2,0.32225123
30,1.0,tanh,RMSprop,75,1,2,0.3222262
40,1.0,tanh,RMSprop,45,1,2,0.32221362
30,1.0,tanh,RMSprop,80,1,2,0.32217252
30,1.0,tanh,RMSprop,55,1,2,0.32195392
