epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
50,1.0,tanh,RMSprop,20,1,2,0.76220727
60,1.0,tanh,RMSprop,20,1,2,0.6779339
100,1.0,tanh,RMSprop,15,1,2,0.6502002
95,1.0,tanh,RMSprop,5,1,2,0.63657737
85,1.0,tanh,RMSprop,10,1,2,0.617896
60,1.0,tanh,RMSprop,10,1,2,0.5918186
75,1.0,tanh,RMSprop,10,1,2,0.59171003
75,1.0,tanh,RMSprop,5,1,2,0.58641547
35,1.0,tanh,RMSprop,10,1,2,0.58359
75,1.0,tanh,RMSprop,15,1,2,0.5800119
55,1.0,tanh,RMSprop,15,1,2,0.57462984
100,1.0,tanh,RMSprop,30,1,2,0.57291317
60,1.0,tanh,RMSprop,5,1,2,0.5728381
40,1.0,tanh,RMSprop,10,1,2,0.5719497
70,1.0,tanh,RMSprop,20,1,2,0.57133526
95,1.0,tanh,RMSprop,10,1,2,0.5688003
95,1.0,tanh,RMSprop,25,1,2,0.56703377
30,1.0,tanh,RMSprop,15,1,2,0.565991
40,1.0,tanh,RMSprop,5,1,2,0.56589234
35,1.0,tanh,RMSprop,15,1,2,0.55921423
60,1.0,tanh,RMSprop,15,1,2,0.5533376
15,1.0,tanh,RMSprop,10,1,2,0.5531379
65,1.0,tanh,RMSprop,15,1,2,0.5487387
45,1.0,tanh,RMSprop,20,1,2,0.54774714
70,1.0,tanh,RMSprop,15,1,2,0.5477148
85,1.0,tanh,RMSprop,15,1,2,0.54522765
45,1.0,tanh,RMSprop,15,1,2,0.5446526
80,1.0,tanh,RMSprop,10,1,2,0.5407554
10,1.0,tanh,RMSprop,10,1,2,0.5346776
25,1.0,tanh,RMSprop,20,1,2,0.52736795
70,1.0,tanh,RMSprop,5,1,2,0.52590066
35,1.0,tanh,RMSprop,20,1,2,0.52463686
25,1.0,tanh,RMSprop,5,1,2,0.5246132
5,1.0,tanh,RMSprop,10,1,2,0.52279305
15,1.0,tanh,RMSprop,5,1,2,0.5224139
15,1.0,tanh,RMSprop,20,1,2,0.52189064
55,1.0,tanh,RMSprop,10,1,2,0.5209426
65,1.0,tanh,RMSprop,10,1,2,0.5207258
65,1.0,tanh,RMSprop,5,1,2,0.51902837
