epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,12,1,2,0.753648
26,1.0,tanh,Adagrad,14,1,2,0.73963875
26,1.0,tanh,Adagrad,16,1,2,0.7374271
30,1.0,tanh,Adagrad,16,1,2,0.7315687
24,1.0,tanh,Adagrad,8,1,2,0.7312226
28,1.0,tanh,Adagrad,16,1,2,0.7244083
20,1.0,tanh,Adagrad,12,1,2,0.7159114
28,1.0,tanh,Adagrad,12,1,2,0.71101385
30,1.0,tanh,Adagrad,6,1,2,0.7087634
20,1.0,tanh,Adagrad,10,1,2,0.70831656
22,1.0,tanh,Adagrad,12,1,2,0.7053915
24,1.0,tanh,Adagrad,16,1,2,0.7051423
28,1.0,tanh,Adagrad,6,1,2,0.7029529
24,1.0,tanh,Adagrad,14,1,2,0.7023134
22,1.0,tanh,Adagrad,16,1,2,0.70229644
30,1.0,tanh,Adagrad,10,1,2,0.6990825
28,1.0,tanh,Adagrad,14,1,2,0.6907272
20,1.0,tanh,Adagrad,14,1,2,0.6882883
24,1.0,tanh,Adagrad,6,1,2,0.68803436
24,1.0,tanh,Adagrad,12,1,2,0.6875156
24,1.0,tanh,Adagrad,10,1,2,0.6780127
20,1.0,tanh,Adagrad,8,1,2,0.67476153
28,1.0,tanh,Adagrad,8,1,2,0.6714456
20,1.0,tanh,Adagrad,16,1,2,0.6653138
26,1.0,tanh,Adagrad,12,1,2,0.6613199
28,1.0,tanh,Adagrad,10,1,2,0.65787816
26,1.0,tanh,Adagrad,8,1,2,0.6372134
20,1.0,tanh,Adagrad,6,1,2,0.63319325
22,1.0,tanh,Adagrad,10,1,2,0.62752825
22,1.0,tanh,Adagrad,14,1,2,0.6267282
22,1.0,tanh,Adagrad,6,1,2,0.6197623
26,1.0,tanh,Adagrad,6,1,2,0.61963856
22,1.0,tanh,Adagrad,8,1,2,0.5946446
30,1.0,tanh,Adagrad,14,1,2,0.58770216
26,1.0,tanh,Adagrad,10,1,2,0.56627405
30,1.0,tanh,Adagrad,8,1,2,0.50501424
