epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
26,1.0,tanh,Adagrad,6,1,2,0.6689053
20,1.0,tanh,Adagrad,6,1,2,0.61092955
26,1.0,tanh,Adagrad,8,1,2,0.5576866
24,1.0,tanh,Adagrad,10,1,2,0.51200444
26,1.0,tanh,Adagrad,12,1,2,0.47072607
24,1.0,tanh,Adagrad,8,1,2,0.454367
30,1.0,tanh,Adagrad,10,1,2,0.44137797
28,1.0,tanh,Adagrad,10,1,2,0.39732274
30,1.0,tanh,Adagrad,8,1,2,0.3860682
20,1.0,tanh,Adagrad,8,1,2,0.37160292
28,1.0,tanh,Adagrad,6,1,2,0.37133554
26,1.0,tanh,Adagrad,10,1,2,0.3647371
26,1.0,tanh,Adagrad,14,1,2,0.34617501
22,1.0,tanh,Adagrad,8,1,2,0.30702287
24,1.0,tanh,Adagrad,12,1,2,0.2980094
20,1.0,tanh,Adagrad,10,1,2,0.27578223
30,1.0,tanh,Adagrad,6,1,2,0.2742073
22,1.0,tanh,Adagrad,10,1,2,0.24687795
28,1.0,tanh,Adagrad,8,1,2,0.1733287
22,1.0,tanh,Adagrad,6,1,2,0.12512286
24,1.0,tanh,Adagrad,6,1,2,0.07957538
22,1.0,tanh,Adagrad,12,1,2,-0.054570623
20,1.0,tanh,Adagrad,12,1,2,-0.054488465
20,1.0,tanh,Adagrad,14,1,2,-0.053788908
30,1.0,tanh,Adagrad,12,1,2,-0.053505123
28,1.0,tanh,Adagrad,12,1,2,-0.053143423
28,1.0,tanh,Adagrad,14,1,2,-0.05300622
22,1.0,tanh,Adagrad,14,1,2,-0.053000163
22,1.0,tanh,Adagrad,16,1,2,-0.05292912
24,1.0,tanh,Adagrad,14,1,2,-0.05282511
30,1.0,tanh,Adagrad,14,1,2,-0.05271975
20,1.0,tanh,Adagrad,16,1,2,-0.05271721
28,1.0,tanh,Adagrad,16,1,2,-0.052696418
26,1.0,tanh,Adagrad,16,1,2,-0.052574713
24,1.0,tanh,Adagrad,16,1,2,-0.052530546
30,1.0,tanh,Adagrad,16,1,2,-0.05206242
