epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
22,1.0,tanh,Adagrad,10,1,2,0.79841685
28,1.0,tanh,Adagrad,10,1,2,0.7973581
30,1.0,tanh,Adagrad,10,1,2,0.754193
26,1.0,tanh,Adagrad,8,1,2,0.72846043
22,1.0,tanh,Adagrad,6,1,2,0.6917279
28,1.0,tanh,Adagrad,6,1,2,0.63935703
30,1.0,tanh,Adagrad,6,1,2,0.60382116
20,1.0,tanh,Adagrad,6,1,2,0.58143497
24,1.0,tanh,Adagrad,6,1,2,0.57798654
24,1.0,tanh,Adagrad,12,1,2,0.5555825
20,1.0,tanh,Adagrad,8,1,2,0.55398476
30,1.0,tanh,Adagrad,8,1,2,0.5345334
20,1.0,tanh,Adagrad,12,1,2,0.5036431
20,1.0,tanh,Adagrad,10,1,2,0.49187636
28,1.0,tanh,Adagrad,8,1,2,0.45147178
24,1.0,tanh,Adagrad,8,1,2,0.39954725
26,1.0,tanh,Adagrad,12,1,2,0.3866151
26,1.0,tanh,Adagrad,6,1,2,0.37032473
22,1.0,tanh,Adagrad,8,1,2,0.29354382
26,1.0,tanh,Adagrad,10,1,2,0.27527773
24,1.0,tanh,Adagrad,14,1,2,0.25223517
28,1.0,tanh,Adagrad,12,1,2,0.17250212
26,1.0,tanh,Adagrad,14,1,2,0.097527996
24,1.0,tanh,Adagrad,10,1,2,-0.025520038
22,1.0,tanh,Adagrad,12,1,2,-0.025045725
20,1.0,tanh,Adagrad,14,1,2,-0.024498252
20,1.0,tanh,Adagrad,16,1,2,-0.024367165
30,1.0,tanh,Adagrad,12,1,2,-0.024347333
22,1.0,tanh,Adagrad,14,1,2,-0.024000868
30,1.0,tanh,Adagrad,14,1,2,-0.02398491
22,1.0,tanh,Adagrad,16,1,2,-0.023829097
28,1.0,tanh,Adagrad,14,1,2,-0.023824431
24,1.0,tanh,Adagrad,16,1,2,-0.023675498
26,1.0,tanh,Adagrad,16,1,2,-0.023635564
30,1.0,tanh,Adagrad,16,1,2,-0.023465475
28,1.0,tanh,Adagrad,16,1,2,-0.023422554
