epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
26,1.0,tanh,Adagrad,14,1,2,0.62653863
24,1.0,tanh,Adagrad,16,1,2,0.61659503
22,1.0,tanh,Adagrad,16,1,2,0.5963417
22,1.0,tanh,Adagrad,8,1,2,0.58803815
20,1.0,tanh,Adagrad,16,1,2,0.5493582
26,1.0,tanh,Adagrad,12,1,2,0.54836786
26,1.0,tanh,Adagrad,16,1,2,0.54071236
22,1.0,tanh,Adagrad,10,1,2,0.52378607
30,1.0,tanh,Adagrad,6,1,2,0.52222985
20,1.0,tanh,Adagrad,14,1,2,0.5202226
26,1.0,tanh,Adagrad,10,1,2,0.51454556
20,1.0,tanh,Adagrad,10,1,2,0.5097355
24,1.0,tanh,Adagrad,12,1,2,0.50019693
30,1.0,tanh,Adagrad,8,1,2,0.47560436
28,1.0,tanh,Adagrad,8,1,2,0.47521526
22,1.0,tanh,Adagrad,12,1,2,0.47240537
20,1.0,tanh,Adagrad,8,1,2,0.46903697
28,1.0,tanh,Adagrad,10,1,2,0.46672422
28,1.0,tanh,Adagrad,16,1,2,0.46261334
30,1.0,tanh,Adagrad,10,1,2,0.4565549
24,1.0,tanh,Adagrad,14,1,2,0.4366389
24,1.0,tanh,Adagrad,10,1,2,0.43483058
26,1.0,tanh,Adagrad,6,1,2,0.43442944
30,1.0,tanh,Adagrad,14,1,2,0.4305053
30,1.0,tanh,Adagrad,16,1,2,0.4117064
22,1.0,tanh,Adagrad,14,1,2,0.40566617
20,1.0,tanh,Adagrad,12,1,2,0.4026858
20,1.0,tanh,Adagrad,6,1,2,0.38498235
28,1.0,tanh,Adagrad,14,1,2,0.38173357
22,1.0,tanh,Adagrad,6,1,2,0.37944096
30,1.0,tanh,Adagrad,12,1,2,0.3791723
24,1.0,tanh,Adagrad,8,1,2,0.37832516
28,1.0,tanh,Adagrad,6,1,2,0.37346253
26,1.0,tanh,Adagrad,8,1,2,0.3604763
24,1.0,tanh,Adagrad,6,1,2,0.35071978
28,1.0,tanh,Adagrad,12,1,2,0.18270053
