epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,Adagrad,6,1,2,0.70516664
30,1.0,tanh,Adagrad,6,1,2,0.6809261
26,1.0,tanh,Adagrad,6,1,2,0.6475758
28,1.0,tanh,Adagrad,6,1,2,0.6399917
20,1.0,tanh,Adagrad,8,1,2,0.6284996
30,1.0,tanh,Adagrad,8,1,2,0.6282917
24,1.0,tanh,Adagrad,8,1,2,0.62327266
22,1.0,tanh,Adagrad,10,1,2,0.6223054
20,1.0,tanh,Adagrad,10,1,2,0.59282744
24,1.0,tanh,Adagrad,10,1,2,0.5557257
22,1.0,tanh,Adagrad,6,1,2,0.54797477
28,1.0,tanh,Adagrad,8,1,2,0.54359716
22,1.0,tanh,Adagrad,8,1,2,0.52993
28,1.0,tanh,Adagrad,12,1,2,0.5145281
26,1.0,tanh,Adagrad,8,1,2,0.48645377
24,1.0,tanh,Adagrad,6,1,2,0.4382759
26,1.0,tanh,Adagrad,10,1,2,0.38897467
30,1.0,tanh,Adagrad,10,1,2,0.3747277
28,1.0,tanh,Adagrad,10,1,2,0.034544818
28,1.0,tanh,Adagrad,16,1,2,-0.0068455804
28,1.0,tanh,Adagrad,14,1,2,-0.0067598843
26,1.0,tanh,Adagrad,16,1,2,-0.006745075
30,1.0,tanh,Adagrad,16,1,2,-0.006721235
20,1.0,tanh,Adagrad,14,1,2,-0.0067157093
30,1.0,tanh,Adagrad,14,1,2,-0.006706127
24,1.0,tanh,Adagrad,14,1,2,-0.006681845
26,1.0,tanh,Adagrad,14,1,2,-0.0066774944
24,1.0,tanh,Adagrad,12,1,2,-0.0066416217
24,1.0,tanh,Adagrad,16,1,2,-0.006635479
20,1.0,tanh,Adagrad,16,1,2,-0.0066271084
26,1.0,tanh,Adagrad,12,1,2,-0.0065190834
20,1.0,tanh,Adagrad,12,1,2,-0.0065160426
22,1.0,tanh,Adagrad,16,1,2,-0.0065117762
22,1.0,tanh,Adagrad,14,1,2,-0.0064939875
30,1.0,tanh,Adagrad,12,1,2,-0.006440529
22,1.0,tanh,Adagrad,12,1,2,-0.0063190176
