epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
22,1.0,tanh,Adagrad,6,1,2,0.7843296
30,1.0,tanh,Adagrad,6,1,2,0.7608399
26,1.0,tanh,Adagrad,10,1,2,0.74582696
28,1.0,tanh,Adagrad,6,1,2,0.740672
20,1.0,tanh,Adagrad,8,1,2,0.72216684
28,1.0,tanh,Adagrad,8,1,2,0.6998004
26,1.0,tanh,Adagrad,8,1,2,0.6904354
20,1.0,tanh,Adagrad,10,1,2,0.68251395
22,1.0,tanh,Adagrad,10,1,2,0.67985445
20,1.0,tanh,Adagrad,6,1,2,0.67289335
22,1.0,tanh,Adagrad,8,1,2,0.6704991
24,1.0,tanh,Adagrad,8,1,2,0.6635404
26,1.0,tanh,Adagrad,6,1,2,0.51658994
24,1.0,tanh,Adagrad,6,1,2,0.5122399
30,1.0,tanh,Adagrad,8,1,2,0.37211168
30,1.0,tanh,Adagrad,10,1,2,0.34099707
24,1.0,tanh,Adagrad,14,1,2,0.20200299
20,1.0,tanh,Adagrad,12,1,2,-0.08332578
24,1.0,tanh,Adagrad,10,1,2,-0.08127938
20,1.0,tanh,Adagrad,14,1,2,-0.0798841
22,1.0,tanh,Adagrad,12,1,2,-0.07901674
24,1.0,tanh,Adagrad,12,1,2,-0.07729902
28,1.0,tanh,Adagrad,10,1,2,-0.07711219
26,1.0,tanh,Adagrad,12,1,2,-0.07529446
22,1.0,tanh,Adagrad,14,1,2,-0.07514386
20,1.0,tanh,Adagrad,16,1,2,-0.074674904
30,1.0,tanh,Adagrad,12,1,2,-0.07341599
26,1.0,tanh,Adagrad,14,1,2,-0.072957024
28,1.0,tanh,Adagrad,12,1,2,-0.072878644
22,1.0,tanh,Adagrad,16,1,2,-0.072815515
24,1.0,tanh,Adagrad,16,1,2,-0.07094911
30,1.0,tanh,Adagrad,14,1,2,-0.070547044
28,1.0,tanh,Adagrad,14,1,2,-0.070513695
26,1.0,tanh,Adagrad,16,1,2,-0.069885164
28,1.0,tanh,Adagrad,16,1,2,-0.06883617
30,1.0,tanh,Adagrad,16,1,2,-0.06847477
