epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,12,1,2,0.29810816
30,1.0,tanh,Adagrad,8,1,2,0.2444499
22,1.0,tanh,Adagrad,8,1,2,0.23141666
22,1.0,tanh,Adagrad,6,1,2,0.22274649
26,1.0,tanh,Adagrad,12,1,2,0.1927909
28,1.0,tanh,Adagrad,6,1,2,0.19161102
28,1.0,tanh,Adagrad,10,1,2,0.18870972
26,1.0,tanh,Adagrad,8,1,2,0.17062128
22,1.0,tanh,Adagrad,10,1,2,0.16907692
24,1.0,tanh,Adagrad,8,1,2,0.16767325
26,1.0,tanh,Adagrad,6,1,2,0.16241856
28,1.0,tanh,Adagrad,8,1,2,0.1556947
24,1.0,tanh,Adagrad,10,1,2,0.14934956
30,1.0,tanh,Adagrad,10,1,2,0.1463801
22,1.0,tanh,Adagrad,14,1,2,0.14502952
20,1.0,tanh,Adagrad,14,1,2,0.14050123
26,1.0,tanh,Adagrad,10,1,2,0.1383635
28,1.0,tanh,Adagrad,14,1,2,0.13347705
20,1.0,tanh,Adagrad,6,1,2,0.13096416
20,1.0,tanh,Adagrad,10,1,2,0.124157086
20,1.0,tanh,Adagrad,8,1,2,0.10711546
30,1.0,tanh,Adagrad,14,1,2,0.091685206
30,1.0,tanh,Adagrad,6,1,2,0.08611019
24,1.0,tanh,Adagrad,14,1,2,0.047386963
20,1.0,tanh,Adagrad,12,1,2,0.02527882
24,1.0,tanh,Adagrad,12,1,2,-0.24968554
22,1.0,tanh,Adagrad,12,1,2,-0.021877239
30,1.0,tanh,Adagrad,16,1,2,-0.008426905
28,1.0,tanh,Adagrad,16,1,2,-0.008312812
26,1.0,tanh,Adagrad,16,1,2,-0.008263245
26,1.0,tanh,Adagrad,14,1,2,-0.008166612
22,1.0,tanh,Adagrad,16,1,2,-0.008149048
24,1.0,tanh,Adagrad,16,1,2,-0.008082248
30,1.0,tanh,Adagrad,12,1,2,-0.008081786
20,1.0,tanh,Adagrad,16,1,2,-0.007923345
24,1.0,tanh,Adagrad,6,1,2,-0.0068853353
