epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,16,1,2,0.5669307
20,1.0,tanh,Adagrad,10,1,2,0.4864925
26,1.0,tanh,Adagrad,16,1,2,0.40981004
20,1.0,tanh,Adagrad,16,1,2,0.40963063
22,1.0,tanh,Adagrad,10,1,2,0.40515575
30,1.0,tanh,Adagrad,14,1,2,0.3947108
22,1.0,tanh,Adagrad,16,1,2,0.38705644
26,1.0,tanh,Adagrad,6,1,2,0.38128814
26,1.0,tanh,Adagrad,14,1,2,0.36656645
24,1.0,tanh,Adagrad,14,1,2,0.34998387
24,1.0,tanh,Adagrad,12,1,2,0.33969042
28,1.0,tanh,Adagrad,16,1,2,0.32411033
26,1.0,tanh,Adagrad,12,1,2,0.32121846
22,1.0,tanh,Adagrad,12,1,2,0.31377608
20,1.0,tanh,Adagrad,14,1,2,0.3008613
30,1.0,tanh,Adagrad,12,1,2,0.2970023
24,1.0,tanh,Adagrad,10,1,2,0.2848708
30,1.0,tanh,Adagrad,10,1,2,0.2805665
22,1.0,tanh,Adagrad,6,1,2,0.27530894
20,1.0,tanh,Adagrad,6,1,2,0.26105052
26,1.0,tanh,Adagrad,10,1,2,0.26075277
26,1.0,tanh,Adagrad,8,1,2,0.2549653
24,1.0,tanh,Adagrad,16,1,2,0.25201267
24,1.0,tanh,Adagrad,6,1,2,0.24409829
30,1.0,tanh,Adagrad,6,1,2,0.23606548
28,1.0,tanh,Adagrad,10,1,2,0.23080917
28,1.0,tanh,Adagrad,12,1,2,0.22632791
28,1.0,tanh,Adagrad,6,1,2,0.21597229
22,1.0,tanh,Adagrad,8,1,2,0.21562715
20,1.0,tanh,Adagrad,8,1,2,0.20624901
20,1.0,tanh,Adagrad,12,1,2,0.19695526
24,1.0,tanh,Adagrad,8,1,2,0.19000123
22,1.0,tanh,Adagrad,14,1,2,0.15958807
30,1.0,tanh,Adagrad,8,1,2,0.11001598
28,1.0,tanh,Adagrad,8,1,2,0.10743633
28,1.0,tanh,Adagrad,14,1,2,-0.013637874
