epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,12,1,2,0.5524428
20,1.0,tanh,Adagrad,10,1,2,0.51850146
30,1.0,tanh,Adagrad,14,1,2,0.4967136
30,1.0,tanh,Adagrad,12,1,2,0.49470738
24,1.0,tanh,Adagrad,14,1,2,0.48052448
26,1.0,tanh,Adagrad,10,1,2,0.4229261
22,1.0,tanh,Adagrad,10,1,2,0.40807322
24,1.0,tanh,Adagrad,12,1,2,0.39072418
20,1.0,tanh,Adagrad,8,1,2,0.3769121
26,1.0,tanh,Adagrad,6,1,2,0.3702703
26,1.0,tanh,Adagrad,12,1,2,0.3699341
26,1.0,tanh,Adagrad,14,1,2,0.36591327
20,1.0,tanh,Adagrad,14,1,2,0.36216202
28,1.0,tanh,Adagrad,8,1,2,0.35310352
30,1.0,tanh,Adagrad,8,1,2,0.3452388
20,1.0,tanh,Adagrad,6,1,2,0.34334475
22,1.0,tanh,Adagrad,6,1,2,0.3274957
26,1.0,tanh,Adagrad,16,1,2,0.31585518
24,1.0,tanh,Adagrad,10,1,2,0.31102547
20,1.0,tanh,Adagrad,12,1,2,0.30746058
22,1.0,tanh,Adagrad,12,1,2,0.30480602
28,1.0,tanh,Adagrad,16,1,2,0.2744185
22,1.0,tanh,Adagrad,14,1,2,0.2645355
22,1.0,tanh,Adagrad,16,1,2,0.26192498
24,1.0,tanh,Adagrad,8,1,2,0.23585507
30,1.0,tanh,Adagrad,10,1,2,0.2353545
20,1.0,tanh,Adagrad,16,1,2,0.23414685
24,1.0,tanh,Adagrad,6,1,2,0.22539327
24,1.0,tanh,Adagrad,16,1,2,0.20706353
30,1.0,tanh,Adagrad,16,1,2,0.2049262
30,1.0,tanh,Adagrad,6,1,2,0.16739191
22,1.0,tanh,Adagrad,8,1,2,0.12541084
28,1.0,tanh,Adagrad,14,1,2,0.11002705
26,1.0,tanh,Adagrad,8,1,2,0.089320354
28,1.0,tanh,Adagrad,10,1,2,0.07366259
28,1.0,tanh,Adagrad,6,1,2,-0.0052348133
