epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,8,1,2,0.7644455
26,1.0,tanh,Adagrad,12,1,2,0.73922867
26,1.0,tanh,Adagrad,16,1,2,0.7358668
22,1.0,tanh,Adagrad,16,1,2,0.7243271
26,1.0,tanh,Adagrad,14,1,2,0.7214424
22,1.0,tanh,Adagrad,12,1,2,0.7190149
28,1.0,tanh,Adagrad,14,1,2,0.7155572
24,1.0,tanh,Adagrad,8,1,2,0.7155516
20,1.0,tanh,Adagrad,12,1,2,0.7020793
20,1.0,tanh,Adagrad,10,1,2,0.6988103
28,1.0,tanh,Adagrad,12,1,2,0.69334435
22,1.0,tanh,Adagrad,8,1,2,0.6929942
28,1.0,tanh,Adagrad,16,1,2,0.6897505
30,1.0,tanh,Adagrad,10,1,2,0.6891754
30,1.0,tanh,Adagrad,16,1,2,0.6887977
28,1.0,tanh,Adagrad,8,1,2,0.685054
20,1.0,tanh,Adagrad,16,1,2,0.68351126
26,1.0,tanh,Adagrad,8,1,2,0.68063056
26,1.0,tanh,Adagrad,10,1,2,0.66340804
28,1.0,tanh,Adagrad,10,1,2,0.6564405
22,1.0,tanh,Adagrad,10,1,2,0.65551835
20,1.0,tanh,Adagrad,8,1,2,0.65435135
30,1.0,tanh,Adagrad,12,1,2,0.6524062
22,1.0,tanh,Adagrad,14,1,2,0.64587563
24,1.0,tanh,Adagrad,6,1,2,0.64363754
30,1.0,tanh,Adagrad,6,1,2,0.62924504
26,1.0,tanh,Adagrad,6,1,2,0.6206173
24,1.0,tanh,Adagrad,10,1,2,0.61871254
24,1.0,tanh,Adagrad,14,1,2,0.6174553
24,1.0,tanh,Adagrad,16,1,2,0.60964733
22,1.0,tanh,Adagrad,6,1,2,0.59445703
20,1.0,tanh,Adagrad,14,1,2,0.5772461
24,1.0,tanh,Adagrad,12,1,2,0.55547637
30,1.0,tanh,Adagrad,14,1,2,0.47700834
28,1.0,tanh,Adagrad,6,1,2,0.43993565
20,1.0,tanh,Adagrad,6,1,2,0.36951795
