epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
26,1.0,tanh,Adagrad,10,1,2,0.73095304
26,1.0,tanh,Adagrad,12,1,2,0.72193676
22,1.0,tanh,Adagrad,8,1,2,0.7209519
22,1.0,tanh,Adagrad,14,1,2,0.7195331
22,1.0,tanh,Adagrad,16,1,2,0.7189743
28,1.0,tanh,Adagrad,14,1,2,0.7178831
26,1.0,tanh,Adagrad,14,1,2,0.7156899
30,1.0,tanh,Adagrad,12,1,2,0.7154632
28,1.0,tanh,Adagrad,8,1,2,0.71167153
28,1.0,tanh,Adagrad,16,1,2,0.70397466
22,1.0,tanh,Adagrad,12,1,2,0.70266783
28,1.0,tanh,Adagrad,6,1,2,0.70253456
28,1.0,tanh,Adagrad,10,1,2,0.70246416
22,1.0,tanh,Adagrad,10,1,2,0.7012468
20,1.0,tanh,Adagrad,14,1,2,0.70121914
20,1.0,tanh,Adagrad,10,1,2,0.69797623
26,1.0,tanh,Adagrad,16,1,2,0.6972961
24,1.0,tanh,Adagrad,14,1,2,0.6959205
30,1.0,tanh,Adagrad,16,1,2,0.6940795
28,1.0,tanh,Adagrad,12,1,2,0.69339496
26,1.0,tanh,Adagrad,8,1,2,0.6927203
24,1.0,tanh,Adagrad,6,1,2,0.6846756
20,1.0,tanh,Adagrad,8,1,2,0.6841327
24,1.0,tanh,Adagrad,12,1,2,0.6827729
20,1.0,tanh,Adagrad,12,1,2,0.68209535
20,1.0,tanh,Adagrad,16,1,2,0.67839754
24,1.0,tanh,Adagrad,16,1,2,0.6771063
20,1.0,tanh,Adagrad,6,1,2,0.67161757
30,1.0,tanh,Adagrad,14,1,2,0.66638845
30,1.0,tanh,Adagrad,8,1,2,0.6609894
30,1.0,tanh,Adagrad,10,1,2,0.66091126
22,1.0,tanh,Adagrad,6,1,2,0.6583861
24,1.0,tanh,Adagrad,10,1,2,0.6003487
24,1.0,tanh,Adagrad,8,1,2,0.56297565
26,1.0,tanh,Adagrad,6,1,2,0.5251403
30,1.0,tanh,Adagrad,6,1,2,0.42822692
