epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
100,1.0,tanh,RMSprop,50,1,2,0.5242544
95,1.0,tanh,RMSprop,15,1,2,0.52068883
25,1.0,tanh,RMSprop,5,1,2,0.4989859
5,1.0,tanh,RMSprop,20,1,2,0.496776
85,1.0,tanh,RMSprop,20,1,2,0.45315543
15,1.0,tanh,RMSprop,20,1,2,0.44625416
10,1.0,tanh,RMSprop,5,1,2,0.43933398
90,1.0,tanh,RMSprop,20,1,2,0.43301615
20,1.0,tanh,RMSprop,5,1,2,0.43199766
90,1.0,tanh,RMSprop,10,1,2,0.42986095
95,1.0,tanh,RMSprop,20,1,2,0.42646512
30,1.0,tanh,RMSprop,20,1,2,0.4192236
45,1.0,tanh,RMSprop,20,1,2,0.41739398
80,1.0,tanh,RMSprop,45,1,2,0.4136558
75,1.0,tanh,RMSprop,20,1,2,0.41061983
15,1.0,tanh,RMSprop,5,1,2,0.40726453
40,1.0,tanh,RMSprop,5,1,2,0.3736428
65,1.0,tanh,RMSprop,10,1,2,0.37132096
35,1.0,tanh,RMSprop,10,1,2,0.37099433
15,1.0,tanh,RMSprop,15,1,2,0.3500695
55,1.0,tanh,RMSprop,15,1,2,0.33864194
100,1.0,tanh,RMSprop,15,1,2,0.33781543
80,1.0,tanh,RMSprop,10,1,2,0.3304235
50,1.0,tanh,RMSprop,5,1,2,0.3293056
60,1.0,tanh,RMSprop,10,1,2,0.32450733
35,1.0,tanh,RMSprop,15,1,2,0.32297435
20,1.0,tanh,RMSprop,10,1,2,0.31791687
95,1.0,tanh,RMSprop,30,1,2,0.31140342
65,1.0,tanh,RMSprop,5,1,2,0.31028116
50,1.0,tanh,RMSprop,20,1,2,0.30993742
90,1.0,tanh,RMSprop,55,1,2,0.3097228
100,1.0,tanh,RMSprop,20,1,2,0.28814858
5,1.0,tanh,RMSprop,5,1,2,0.28638873
55,1.0,tanh,RMSprop,20,1,2,0.2705608
60,1.0,tanh,RMSprop,20,1,2,0.26699537
100,1.0,tanh,RMSprop,10,1,2,0.26144907
25,1.0,tanh,RMSprop,10,1,2,0.25860932
25,1.0,tanh,RMSprop,20,1,2,0.2580108
5,1.0,tanh,RMSprop,25,1,2,0.24979855
60,1.0,tanh,RMSprop,25,1,2,0.24919161
40,1.0,tanh,RMSprop,10,1,2,0.24358508
35,1.0,tanh,RMSprop,5,1,2,0.240632
30,1.0,tanh,RMSprop,5,1,2,0.23889229
85,1.0,tanh,RMSprop,15,1,2,0.23752466
40,1.0,tanh,RMSprop,25,1,2,0.22073193
60,1.0,tanh,RMSprop,5,1,2,0.21633023
95,1.0,tanh,RMSprop,10,1,2,0.2152581
5,1.0,tanh,RMSprop,30,1,2,0.20424588
85,1.0,tanh,RMSprop,35,1,2,0.20256166
75,1.0,tanh,RMSprop,10,1,2,0.20236999
5,1.0,tanh,RMSprop,35,1,2,0.20040463
5,1.0,tanh,RMSprop,40,1,2,0.1998682
5,1.0,tanh,RMSprop,45,1,2,0.19917415
10,1.0,tanh,RMSprop,20,1,2,0.19913463
5,1.0,tanh,RMSprop,50,1,2,0.19899343
80,1.0,tanh,RMSprop,40,1,2,0.19809806
5,1.0,tanh,RMSprop,55,1,2,0.19785836
5,1.0,tanh,RMSprop,60,1,2,0.19744419
85,1.0,tanh,RMSprop,30,1,2,0.19490352
