epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,10,1,2,0.7173528
26,1.0,tanh,Adagrad,8,1,2,0.6397862
26,1.0,tanh,Adagrad,14,1,2,0.6238875
20,1.0,tanh,Adagrad,10,1,2,0.62202805
26,1.0,tanh,Adagrad,6,1,2,0.62182325
20,1.0,tanh,Adagrad,8,1,2,0.6187094
28,1.0,tanh,Adagrad,6,1,2,0.6183825
24,1.0,tanh,Adagrad,14,1,2,0.6182111
22,1.0,tanh,Adagrad,6,1,2,0.6165063
30,1.0,tanh,Adagrad,6,1,2,0.6161199
26,1.0,tanh,Adagrad,12,1,2,0.61487955
22,1.0,tanh,Adagrad,10,1,2,0.610804
24,1.0,tanh,Adagrad,12,1,2,0.6076917
30,1.0,tanh,Adagrad,14,1,2,0.591816
20,1.0,tanh,Adagrad,12,1,2,0.59024966
20,1.0,tanh,Adagrad,14,1,2,0.5736533
22,1.0,tanh,Adagrad,14,1,2,0.5553065
28,1.0,tanh,Adagrad,8,1,2,0.5307153
24,1.0,tanh,Adagrad,10,1,2,0.52677476
28,1.0,tanh,Adagrad,14,1,2,0.5107679
22,1.0,tanh,Adagrad,12,1,2,0.50471306
26,1.0,tanh,Adagrad,10,1,2,0.50163585
30,1.0,tanh,Adagrad,16,1,2,0.4902162
22,1.0,tanh,Adagrad,8,1,2,0.48130822
30,1.0,tanh,Adagrad,8,1,2,0.47671565
20,1.0,tanh,Adagrad,6,1,2,0.472775
30,1.0,tanh,Adagrad,10,1,2,0.45845163
22,1.0,tanh,Adagrad,16,1,2,0.4460968
30,1.0,tanh,Adagrad,12,1,2,0.44526264
28,1.0,tanh,Adagrad,12,1,2,0.439048
24,1.0,tanh,Adagrad,8,1,2,0.41224688
26,1.0,tanh,Adagrad,16,1,2,0.38364294
20,1.0,tanh,Adagrad,16,1,2,0.3810127
24,1.0,tanh,Adagrad,6,1,2,0.38095194
24,1.0,tanh,Adagrad,16,1,2,-0.006493058
28,1.0,tanh,Adagrad,16,1,2,-0.0026756397
