epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
40,1.0,tanh,RMSprop,25,1,2,0.6843361
5,1.0,tanh,RMSprop,20,1,2,0.6728273
10,1.0,tanh,RMSprop,10,1,2,0.67254925
10,1.0,tanh,RMSprop,55,1,2,0.6541766
25,1.0,tanh,RMSprop,55,1,2,0.6512909
20,1.0,tanh,RMSprop,30,1,2,0.65047467
50,1.0,tanh,RMSprop,15,1,2,0.6423344
10,1.0,tanh,RMSprop,15,1,2,0.64058554
90,1.0,tanh,RMSprop,10,1,2,0.63997793
30,1.0,tanh,RMSprop,60,1,2,0.63278115
10,1.0,tanh,RMSprop,25,1,2,0.6297399
15,1.0,tanh,RMSprop,45,1,2,0.6275813
5,1.0,tanh,RMSprop,50,1,2,0.62675834
20,1.0,tanh,RMSprop,5,1,2,0.62661046
10,1.0,tanh,RMSprop,60,1,2,0.61564916
5,1.0,tanh,RMSprop,100,1,2,0.61418694
15,1.0,tanh,RMSprop,55,1,2,0.61139077
95,1.0,tanh,RMSprop,10,1,2,0.60876155
5,1.0,tanh,RMSprop,60,1,2,0.6057173
40,1.0,tanh,RMSprop,75,1,2,0.6046196
10,1.0,tanh,RMSprop,30,1,2,0.60387576
50,1.0,tanh,RMSprop,5,1,2,0.6036145
20,1.0,tanh,RMSprop,15,1,2,0.60129994
60,1.0,tanh,RMSprop,85,1,2,0.60091114
10,1.0,tanh,RMSprop,75,1,2,0.60006166
15,1.0,tanh,RMSprop,15,1,2,0.59966445
30,1.0,tanh,RMSprop,25,1,2,0.5994116
30,1.0,tanh,RMSprop,95,1,2,0.59903634
15,1.0,tanh,RMSprop,75,1,2,0.5982408
20,1.0,tanh,RMSprop,100,1,2,0.59728694
10,1.0,tanh,RMSprop,70,1,2,0.58789253
15,1.0,tanh,RMSprop,70,1,2,0.583129
50,1.0,tanh,RMSprop,60,1,2,0.5829235
5,1.0,tanh,RMSprop,10,1,2,0.5826589
10,1.0,tanh,RMSprop,20,1,2,0.581856
25,1.0,tanh,RMSprop,100,1,2,0.5781977
55,1.0,tanh,RMSprop,55,1,2,0.57798165
55,1.0,tanh,RMSprop,10,1,2,0.57590395
70,1.0,tanh,RMSprop,5,1,2,0.57406974
5,1.0,tanh,RMSprop,45,1,2,0.57087207
100,1.0,tanh,RMSprop,5,1,2,0.5692032
5,1.0,tanh,RMSprop,90,1,2,0.5652946
20,1.0,tanh,RMSprop,50,1,2,0.5651701
90,1.0,tanh,RMSprop,5,1,2,0.5647585
10,1.0,tanh,RMSprop,45,1,2,0.5596559
50,1.0,tanh,RMSprop,30,1,2,0.5589699
25,1.0,tanh,RMSprop,45,1,2,0.55625457
35,1.0,tanh,RMSprop,35,1,2,0.55563295
45,1.0,tanh,RMSprop,20,1,2,0.5547188
15,1.0,tanh,RMSprop,100,1,2,0.55370235
90,1.0,tanh,RMSprop,15,1,2,0.55148417
10,1.0,tanh,RMSprop,50,1,2,0.5501254
35,1.0,tanh,RMSprop,5,1,2,0.5487781
95,1.0,tanh,RMSprop,50,1,2,0.5474385
5,1.0,tanh,RMSprop,85,1,2,0.54699266
35,1.0,tanh,RMSprop,95,1,2,0.5451443
15,1.0,tanh,RMSprop,95,1,2,0.544148
10,1.0,tanh,RMSprop,80,1,2,0.5409891
45,1.0,tanh,RMSprop,5,1,2,0.5397976
10,1.0,tanh,RMSprop,90,1,2,0.5366317
5,1.0,tanh,RMSprop,65,1,2,0.53520346
10,1.0,tanh,RMSprop,100,1,2,0.5308287
15,1.0,tanh,RMSprop,10,1,2,0.530131
15,1.0,tanh,RMSprop,5,1,2,0.53000295
40,1.0,tanh,RMSprop,5,1,2,0.52891856
40,1.0,tanh,RMSprop,45,1,2,0.52655953
95,1.0,tanh,RMSprop,5,1,2,0.5211037
40,1.0,tanh,RMSprop,40,1,2,0.52074045
100,1.0,tanh,RMSprop,10,1,2,0.52053934
100,1.0,tanh,RMSprop,25,1,2,0.52007353
5,1.0,tanh,RMSprop,30,1,2,0.51958585
10,1.0,tanh,RMSprop,85,1,2,0.51937884
60,1.0,tanh,RMSprop,5,1,2,0.5174458
