epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
85,1.0,tanh,RMSprop,80,1,2,0.79641813
80,1.0,tanh,RMSprop,5,1,2,0.6579885
15,1.0,tanh,RMSprop,5,1,2,0.61351687
90,1.0,tanh,RMSprop,10,1,2,0.6020111
10,1.0,tanh,RMSprop,5,1,2,0.5771158
30,1.0,tanh,RMSprop,5,1,2,0.49811512
100,1.0,tanh,RMSprop,5,1,2,0.49320117
90,1.0,tanh,RMSprop,55,1,2,0.43201557
100,1.0,tanh,RMSprop,10,1,2,0.42908093
65,1.0,tanh,RMSprop,20,1,2,0.4240243
100,1.0,tanh,RMSprop,100,1,2,0.41283867
60,1.0,tanh,RMSprop,30,1,2,0.4032512
40,1.0,tanh,RMSprop,10,1,2,0.3827915
40,1.0,tanh,RMSprop,20,1,2,0.37954068
20,1.0,tanh,RMSprop,5,1,2,0.3626241
5,1.0,tanh,RMSprop,15,1,2,0.3593465
80,1.0,tanh,RMSprop,35,1,2,0.3521029
60,1.0,tanh,RMSprop,20,1,2,0.3515474
45,1.0,tanh,RMSprop,20,1,2,0.35108837
95,1.0,tanh,RMSprop,60,1,2,0.34710768
100,1.0,tanh,RMSprop,45,1,2,0.33385178
35,1.0,tanh,RMSprop,20,1,2,0.33321208
100,1.0,tanh,RMSprop,15,1,2,0.31459904
60,1.0,tanh,RMSprop,15,1,2,0.30806527
85,1.0,tanh,RMSprop,10,1,2,0.30566505
25,1.0,tanh,RMSprop,5,1,2,0.2970871
90,1.0,tanh,RMSprop,65,1,2,0.2949925
50,1.0,tanh,RMSprop,10,1,2,0.2891684
30,1.0,tanh,RMSprop,15,1,2,0.28407848
30,1.0,tanh,RMSprop,10,1,2,0.2786384
95,1.0,tanh,RMSprop,5,1,2,0.27522227
10,1.0,tanh,RMSprop,10,1,2,0.23520215
85,1.0,tanh,RMSprop,25,1,2,0.22715849
80,1.0,tanh,RMSprop,15,1,2,0.22440721
45,1.0,tanh,RMSprop,10,1,2,0.20906638
15,1.0,tanh,RMSprop,15,1,2,0.20827432
90,1.0,tanh,RMSprop,5,1,2,0.20670328
60,1.0,tanh,RMSprop,60,1,2,0.20039894
40,1.0,tanh,RMSprop,15,1,2,0.19315067
85,1.0,tanh,RMSprop,100,1,2,0.190946
5,1.0,tanh,RMSprop,30,1,2,0.18380386
50,1.0,tanh,RMSprop,20,1,2,0.18108608
80,1.0,tanh,RMSprop,70,1,2,0.17937094
90,1.0,tanh,RMSprop,20,1,2,0.17718132
80,1.0,tanh,RMSprop,85,1,2,0.17275783
75,1.0,tanh,RMSprop,20,1,2,0.1683505
100,1.0,tanh,RMSprop,20,1,2,0.16590066
95,1.0,tanh,RMSprop,10,1,2,0.16331565
50,1.0,tanh,RMSprop,5,1,2,0.16220559
75,1.0,tanh,RMSprop,10,1,2,0.15424743
5,1.0,tanh,RMSprop,20,1,2,0.15321504
90,1.0,tanh,RMSprop,60,1,2,0.14974092
20,1.0,tanh,RMSprop,10,1,2,0.14963707
100,1.0,tanh,RMSprop,85,1,2,0.1357334
35,1.0,tanh,RMSprop,5,1,2,0.13422252
40,1.0,tanh,RMSprop,5,1,2,0.12542433
10,1.0,tanh,RMSprop,15,1,2,0.12018412
5,1.0,tanh,RMSprop,5,1,2,0.11350623
70,1.0,tanh,RMSprop,70,1,2,0.1061178
50,1.0,tanh,RMSprop,15,1,2,0.10310141
25,1.0,tanh,RMSprop,15,1,2,0.10276391
90,1.0,tanh,RMSprop,45,1,2,0.102477975
25,1.0,tanh,RMSprop,30,1,2,0.10241801
55,1.0,tanh,RMSprop,10,1,2,0.10187522
