epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,10,1,2,0.714251
20,1.0,tanh,Adagrad,8,1,2,0.7045806
30,1.0,tanh,Adagrad,10,1,2,0.6995744
28,1.0,tanh,Adagrad,12,1,2,0.69342506
24,1.0,tanh,Adagrad,8,1,2,0.6878534
26,1.0,tanh,Adagrad,10,1,2,0.68031865
22,1.0,tanh,Adagrad,10,1,2,0.6595485
30,1.0,tanh,Adagrad,8,1,2,0.65351415
20,1.0,tanh,Adagrad,6,1,2,0.6427251
26,1.0,tanh,Adagrad,6,1,2,0.631684
28,1.0,tanh,Adagrad,6,1,2,0.6254909
26,1.0,tanh,Adagrad,8,1,2,0.6241504
30,1.0,tanh,Adagrad,6,1,2,0.6217509
24,1.0,tanh,Adagrad,6,1,2,0.6200412
22,1.0,tanh,Adagrad,8,1,2,0.5908451
24,1.0,tanh,Adagrad,10,1,2,0.5769768
30,1.0,tanh,Adagrad,12,1,2,0.5660499
22,1.0,tanh,Adagrad,6,1,2,0.56017476
20,1.0,tanh,Adagrad,10,1,2,0.54826355
28,1.0,tanh,Adagrad,8,1,2,0.3908639
20,1.0,tanh,Adagrad,12,1,2,0.008075171
22,1.0,tanh,Adagrad,14,1,2,0.007676151
20,1.0,tanh,Adagrad,14,1,2,0.007598476
22,1.0,tanh,Adagrad,12,1,2,0.007208395
24,1.0,tanh,Adagrad,14,1,2,0.0069773374
24,1.0,tanh,Adagrad,12,1,2,0.0069249743
26,1.0,tanh,Adagrad,12,1,2,0.006618475
20,1.0,tanh,Adagrad,16,1,2,0.006508177
22,1.0,tanh,Adagrad,16,1,2,0.0064742942
26,1.0,tanh,Adagrad,14,1,2,0.006384517
26,1.0,tanh,Adagrad,16,1,2,0.0061973543
24,1.0,tanh,Adagrad,16,1,2,0.0061910413
28,1.0,tanh,Adagrad,14,1,2,0.0061899982
30,1.0,tanh,Adagrad,14,1,2,0.0060593938
28,1.0,tanh,Adagrad,16,1,2,0.0059188283
30,1.0,tanh,Adagrad,16,1,2,0.005612576
