epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,RMSprop,10,1,2,0.6415116
10,1.0,tanh,RMSprop,5,1,2,0.6148228
65,1.0,tanh,RMSprop,5,1,2,0.5829446
60,1.0,tanh,RMSprop,5,1,2,0.57816815
20,1.0,tanh,RMSprop,5,1,2,0.56661034
70,1.0,tanh,RMSprop,15,1,2,0.510734
15,1.0,tanh,RMSprop,15,1,2,0.50475687
80,1.0,tanh,RMSprop,5,1,2,0.50323415
20,1.0,tanh,RMSprop,15,1,2,0.4981238
25,1.0,tanh,RMSprop,15,1,2,0.4695172
50,1.0,tanh,RMSprop,10,1,2,0.46684647
5,1.0,tanh,RMSprop,15,1,2,0.46633685
15,1.0,tanh,RMSprop,5,1,2,0.46481568
70,1.0,tanh,RMSprop,10,1,2,0.4493771
60,1.0,tanh,RMSprop,10,1,2,0.4433077
30,1.0,tanh,RMSprop,5,1,2,0.4419528
30,1.0,tanh,RMSprop,15,1,2,0.43680996
45,1.0,tanh,RMSprop,5,1,2,0.39600822
95,1.0,tanh,RMSprop,10,1,2,0.39065635
20,1.0,tanh,RMSprop,10,1,2,0.3901222
10,1.0,tanh,RMSprop,15,1,2,0.38350385
30,1.0,tanh,RMSprop,20,1,2,0.37397116
10,1.0,tanh,RMSprop,10,1,2,0.36566827
95,1.0,tanh,RMSprop,5,1,2,0.3612469
70,1.0,tanh,RMSprop,5,1,2,0.33376336
35,1.0,tanh,RMSprop,5,1,2,0.33255044
45,1.0,tanh,RMSprop,10,1,2,0.33087915
5,1.0,tanh,RMSprop,5,1,2,0.32327068
55,1.0,tanh,RMSprop,5,1,2,0.3225698
25,1.0,tanh,RMSprop,20,1,2,0.31324595
60,1.0,tanh,RMSprop,25,1,2,0.30211386
100,1.0,tanh,RMSprop,15,1,2,0.29015368
5,1.0,tanh,RMSprop,10,1,2,0.2889172
15,1.0,tanh,RMSprop,10,1,2,0.2859046
90,1.0,tanh,RMSprop,5,1,2,0.28529432
25,1.0,tanh,RMSprop,5,1,2,0.27568737
75,1.0,tanh,RMSprop,5,1,2,0.2552224
35,1.0,tanh,RMSprop,10,1,2,0.25230542
25,1.0,tanh,RMSprop,10,1,2,0.2423069
80,1.0,tanh,RMSprop,10,1,2,0.24106067
65,1.0,tanh,RMSprop,20,1,2,0.24053667
15,1.0,tanh,RMSprop,20,1,2,0.21666238
100,1.0,tanh,RMSprop,10,1,2,0.21413763
50,1.0,tanh,RMSprop,5,1,2,0.20652816
35,1.0,tanh,RMSprop,15,1,2,0.2038534
60,1.0,tanh,RMSprop,15,1,2,0.19248423
50,1.0,tanh,RMSprop,15,1,2,0.19168125
40,1.0,tanh,RMSprop,5,1,2,0.17099187
95,1.0,tanh,RMSprop,15,1,2,0.16898656
40,1.0,tanh,RMSprop,15,1,2,0.16816247
65,1.0,tanh,RMSprop,10,1,2,0.16165555
85,1.0,tanh,RMSprop,10,1,2,0.15408567
85,1.0,tanh,RMSprop,5,1,2,0.15304886
85,1.0,tanh,RMSprop,15,1,2,0.15271802
50,1.0,tanh,RMSprop,20,1,2,0.1390474
55,1.0,tanh,RMSprop,10,1,2,0.12737711
90,1.0,tanh,RMSprop,20,1,2,0.12304334
90,1.0,tanh,RMSprop,10,1,2,0.10172901
100,1.0,tanh,RMSprop,5,1,2,0.08585895
20,1.0,tanh,RMSprop,20,1,2,0.085384384
40,1.0,tanh,RMSprop,10,1,2,0.07612386
85,1.0,tanh,RMSprop,20,1,2,0.06239412
40,1.0,tanh,RMSprop,25,1,2,0.053312223
45,1.0,tanh,RMSprop,20,1,2,0.047699668
90,1.0,tanh,RMSprop,15,1,2,0.046837177
95,1.0,tanh,RMSprop,20,1,2,0.046496883
15,1.0,tanh,RMSprop,25,1,2,0.0019370072
55,1.0,tanh,RMSprop,20,1,2,-0.4542604
55,1.0,tanh,RMSprop,25,1,2,-0.42781386
40,1.0,tanh,RMSprop,30,1,2,-0.3526198
80,1.0,tanh,RMSprop,20,1,2,-0.29753566
