epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,6,1,2,0.70029205
28,1.0,tanh,Adagrad,10,1,2,0.69900274
24,1.0,tanh,Adagrad,10,1,2,0.6926674
30,1.0,tanh,Adagrad,8,1,2,0.6867195
20,1.0,tanh,Adagrad,6,1,2,0.68170285
24,1.0,tanh,Adagrad,14,1,2,0.6734834
20,1.0,tanh,Adagrad,12,1,2,0.6437367
22,1.0,tanh,Adagrad,8,1,2,0.636268
22,1.0,tanh,Adagrad,16,1,2,0.6319809
28,1.0,tanh,Adagrad,8,1,2,0.6094828
20,1.0,tanh,Adagrad,16,1,2,0.6049074
26,1.0,tanh,Adagrad,12,1,2,0.602983
22,1.0,tanh,Adagrad,14,1,2,0.5792024
24,1.0,tanh,Adagrad,8,1,2,0.57846314
30,1.0,tanh,Adagrad,16,1,2,0.5658789
26,1.0,tanh,Adagrad,14,1,2,0.5627856
30,1.0,tanh,Adagrad,6,1,2,0.5527052
30,1.0,tanh,Adagrad,10,1,2,0.54563636
28,1.0,tanh,Adagrad,14,1,2,0.53192663
20,1.0,tanh,Adagrad,8,1,2,0.51884615
24,1.0,tanh,Adagrad,12,1,2,0.5181376
26,1.0,tanh,Adagrad,10,1,2,0.5090167
22,1.0,tanh,Adagrad,12,1,2,0.50866985
26,1.0,tanh,Adagrad,16,1,2,0.50676507
28,1.0,tanh,Adagrad,12,1,2,0.5067071
28,1.0,tanh,Adagrad,16,1,2,0.50577354
22,1.0,tanh,Adagrad,6,1,2,0.47553873
24,1.0,tanh,Adagrad,6,1,2,0.46657446
26,1.0,tanh,Adagrad,8,1,2,0.4513299
22,1.0,tanh,Adagrad,10,1,2,0.44564077
20,1.0,tanh,Adagrad,14,1,2,0.4451788
30,1.0,tanh,Adagrad,12,1,2,0.4360028
30,1.0,tanh,Adagrad,14,1,2,0.4267808
20,1.0,tanh,Adagrad,10,1,2,0.410239
26,1.0,tanh,Adagrad,6,1,2,0.36787722
24,1.0,tanh,Adagrad,16,1,2,0.31618074
