epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,RMSprop,5,1,2,0.67125356
35,1.0,tanh,RMSprop,60,1,2,0.65786475
15,1.0,tanh,RMSprop,65,1,2,0.65341944
10,1.0,tanh,RMSprop,10,1,2,0.6518758
60,1.0,tanh,RMSprop,40,1,2,0.64674294
10,1.0,tanh,RMSprop,95,1,2,0.6430027
45,1.0,tanh,RMSprop,5,1,2,0.6343502
25,1.0,tanh,RMSprop,10,1,2,0.62557054
65,1.0,tanh,RMSprop,20,1,2,0.6239764
75,1.0,tanh,RMSprop,5,1,2,0.62117
5,1.0,tanh,RMSprop,65,1,2,0.6204198
15,1.0,tanh,RMSprop,25,1,2,0.6144253
40,1.0,tanh,RMSprop,90,1,2,0.6119946
10,1.0,tanh,RMSprop,5,1,2,0.60519505
35,1.0,tanh,RMSprop,5,1,2,0.60406965
20,1.0,tanh,RMSprop,50,1,2,0.6007952
15,1.0,tanh,RMSprop,90,1,2,0.5958054
20,1.0,tanh,RMSprop,30,1,2,0.59515196
20,1.0,tanh,RMSprop,5,1,2,0.58793926
50,1.0,tanh,RMSprop,10,1,2,0.5869105
65,1.0,tanh,RMSprop,5,1,2,0.58635914
10,1.0,tanh,RMSprop,20,1,2,0.58351105
10,1.0,tanh,RMSprop,25,1,2,0.581954
55,1.0,tanh,RMSprop,5,1,2,0.58122647
20,1.0,tanh,RMSprop,40,1,2,0.58119816
25,1.0,tanh,RMSprop,40,1,2,0.57949483
10,1.0,tanh,RMSprop,50,1,2,0.5756842
35,1.0,tanh,RMSprop,30,1,2,0.57490486
90,1.0,tanh,RMSprop,5,1,2,0.5746054
25,1.0,tanh,RMSprop,55,1,2,0.5735557
60,1.0,tanh,RMSprop,5,1,2,0.5719101
95,1.0,tanh,RMSprop,30,1,2,0.5709041
5,1.0,tanh,RMSprop,45,1,2,0.5694897
55,1.0,tanh,RMSprop,10,1,2,0.5672136
20,1.0,tanh,RMSprop,100,1,2,0.5660477
40,1.0,tanh,RMSprop,15,1,2,0.56557864
15,1.0,tanh,RMSprop,50,1,2,0.56231505
80,1.0,tanh,RMSprop,5,1,2,0.5620738
20,1.0,tanh,RMSprop,15,1,2,0.5598874
95,1.0,tanh,RMSprop,5,1,2,0.559263
10,1.0,tanh,RMSprop,85,1,2,0.55856353
10,1.0,tanh,RMSprop,80,1,2,0.5569107
15,1.0,tanh,RMSprop,10,1,2,0.5498883
15,1.0,tanh,RMSprop,85,1,2,0.5478383
15,1.0,tanh,RMSprop,95,1,2,0.5470643
10,1.0,tanh,RMSprop,90,1,2,0.54433984
10,1.0,tanh,RMSprop,75,1,2,0.54429436
50,1.0,tanh,RMSprop,5,1,2,0.54413074
20,1.0,tanh,RMSprop,60,1,2,0.5427684
15,1.0,tanh,RMSprop,80,1,2,0.5396944
5,1.0,tanh,RMSprop,30,1,2,0.53535664
10,1.0,tanh,RMSprop,60,1,2,0.53197014
15,1.0,tanh,RMSprop,5,1,2,0.5317963
20,1.0,tanh,RMSprop,65,1,2,0.5295099
10,1.0,tanh,RMSprop,40,1,2,0.52920455
10,1.0,tanh,RMSprop,65,1,2,0.5286227
10,1.0,tanh,RMSprop,15,1,2,0.52629817
30,1.0,tanh,RMSprop,15,1,2,0.52581525
5,1.0,tanh,RMSprop,95,1,2,0.523113
25,1.0,tanh,RMSprop,80,1,2,0.5170387
20,1.0,tanh,RMSprop,70,1,2,0.5165709
5,1.0,tanh,RMSprop,90,1,2,0.5137636
70,1.0,tanh,RMSprop,5,1,2,0.51142395
5,1.0,tanh,RMSprop,100,1,2,0.5078139
5,1.0,tanh,RMSprop,75,1,2,0.5077125
25,1.0,tanh,RMSprop,5,1,2,0.5029292
5,1.0,tanh,RMSprop,5,1,2,0.50255895
35,1.0,tanh,RMSprop,35,1,2,0.4982779
100,1.0,tanh,RMSprop,5,1,2,0.49696523
25,1.0,tanh,RMSprop,85,1,2,0.4939649
60,1.0,tanh,RMSprop,100,1,2,0.49294865
10,1.0,tanh,RMSprop,70,1,2,0.48978278
40,1.0,tanh,RMSprop,20,1,2,0.48966524
75,1.0,tanh,RMSprop,15,1,2,0.4887325
15,1.0,tanh,RMSprop,15,1,2,0.4858438
20,1.0,tanh,RMSprop,20,1,2,0.48510903
5,1.0,tanh,RMSprop,85,1,2,0.48452678
85,1.0,tanh,RMSprop,5,1,2,0.48271048
25,1.0,tanh,RMSprop,20,1,2,0.48252562
95,1.0,tanh,RMSprop,15,1,2,0.480891
45,1.0,tanh,RMSprop,15,1,2,0.47850809
5,1.0,tanh,RMSprop,80,1,2,0.4781552
25,1.0,tanh,RMSprop,15,1,2,0.47719422
65,1.0,tanh,RMSprop,10,1,2,0.47643703
25,1.0,tanh,RMSprop,95,1,2,0.47511306
20,1.0,tanh,RMSprop,95,1,2,0.4713737
15,1.0,tanh,RMSprop,60,1,2,0.4696739
75,1.0,tanh,RMSprop,25,1,2,0.46761099
95,1.0,tanh,RMSprop,20,1,2,0.4663267
5,1.0,tanh,RMSprop,55,1,2,0.46564645
55,1.0,tanh,RMSprop,60,1,2,0.46546817
60,1.0,tanh,RMSprop,20,1,2,0.46514496
80,1.0,tanh,RMSprop,10,1,2,0.46211168
10,1.0,tanh,RMSprop,100,1,2,0.4618931
35,1.0,tanh,RMSprop,65,1,2,0.45953768
55,1.0,tanh,RMSprop,65,1,2,0.4559575
35,1.0,tanh,RMSprop,15,1,2,0.45048732
