epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,10,1,2,0.4328392
22,1.0,tanh,Adagrad,12,1,2,0.36699757
26,1.0,tanh,Adagrad,8,1,2,0.35635084
26,1.0,tanh,Adagrad,14,1,2,0.34140527
20,1.0,tanh,Adagrad,10,1,2,0.32652444
26,1.0,tanh,Adagrad,12,1,2,0.30742314
22,1.0,tanh,Adagrad,10,1,2,0.30709457
30,1.0,tanh,Adagrad,10,1,2,0.29345438
24,1.0,tanh,Adagrad,6,1,2,0.27643856
28,1.0,tanh,Adagrad,6,1,2,0.26505
30,1.0,tanh,Adagrad,12,1,2,0.24962427
28,1.0,tanh,Adagrad,8,1,2,0.23965205
26,1.0,tanh,Adagrad,10,1,2,0.2185333
28,1.0,tanh,Adagrad,10,1,2,0.21822242
30,1.0,tanh,Adagrad,8,1,2,0.20501484
20,1.0,tanh,Adagrad,14,1,2,0.20477273
30,1.0,tanh,Adagrad,16,1,2,0.16524146
28,1.0,tanh,Adagrad,16,1,2,0.16070904
24,1.0,tanh,Adagrad,12,1,2,0.16030517
30,1.0,tanh,Adagrad,6,1,2,0.10801381
22,1.0,tanh,Adagrad,16,1,2,0.106888674
22,1.0,tanh,Adagrad,6,1,2,0.08883569
20,1.0,tanh,Adagrad,6,1,2,0.075933754
30,1.0,tanh,Adagrad,14,1,2,0.07124529
20,1.0,tanh,Adagrad,12,1,2,0.06547291
28,1.0,tanh,Adagrad,12,1,2,0.010969746
22,1.0,tanh,Adagrad,8,1,2,0.0007300082
20,1.0,tanh,Adagrad,8,1,2,-0.481015
24,1.0,tanh,Adagrad,8,1,2,-0.182211
26,1.0,tanh,Adagrad,6,1,2,-0.08739733
24,1.0,tanh,Adagrad,14,1,2,-0.03703261
20,1.0,tanh,Adagrad,16,1,2,-0.033015728
22,1.0,tanh,Adagrad,14,1,2,-0.032577153
26,1.0,tanh,Adagrad,16,1,2,-0.030654542
24,1.0,tanh,Adagrad,16,1,2,-0.030537361
28,1.0,tanh,Adagrad,14,1,2,-0.024700105
