epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
50,1.0,tanh,RMSprop,10,1,2,0.4735543
45,1.0,tanh,RMSprop,10,1,2,0.4677932
25,1.0,tanh,RMSprop,10,1,2,0.43190596
75,1.0,tanh,RMSprop,10,1,2,0.42776203
30,1.0,tanh,RMSprop,10,1,2,0.42644027
40,1.0,tanh,RMSprop,10,1,2,0.40181097
35,1.0,tanh,RMSprop,10,1,2,0.38135996
70,1.0,tanh,RMSprop,10,1,2,0.37704474
90,1.0,tanh,RMSprop,10,1,2,0.32949898
65,1.0,tanh,RMSprop,10,1,2,0.32421812
55,1.0,tanh,RMSprop,10,1,2,0.29080924
95,1.0,tanh,RMSprop,10,1,2,0.27003926
100,1.0,tanh,RMSprop,10,1,2,0.2598001
60,1.0,tanh,RMSprop,10,1,2,0.22868086
80,1.0,tanh,RMSprop,10,1,2,0.22501433
85,1.0,tanh,RMSprop,10,1,2,0.17057241
