epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,14,1,2,0.55710626
26,1.0,tanh,Adagrad,16,1,2,0.54410785
28,1.0,tanh,Adagrad,16,1,2,0.5354457
30,1.0,tanh,Adagrad,16,1,2,0.5343397
26,1.0,tanh,Adagrad,10,1,2,0.5288774
24,1.0,tanh,Adagrad,10,1,2,0.5080424
22,1.0,tanh,Adagrad,16,1,2,0.49230558
20,1.0,tanh,Adagrad,10,1,2,0.4873973
30,1.0,tanh,Adagrad,8,1,2,0.47952786
20,1.0,tanh,Adagrad,8,1,2,0.47925738
30,1.0,tanh,Adagrad,12,1,2,0.475425
24,1.0,tanh,Adagrad,12,1,2,0.4663995
24,1.0,tanh,Adagrad,16,1,2,0.46286744
26,1.0,tanh,Adagrad,12,1,2,0.4616864
28,1.0,tanh,Adagrad,8,1,2,0.44209576
26,1.0,tanh,Adagrad,6,1,2,0.4415071
28,1.0,tanh,Adagrad,14,1,2,0.43891332
26,1.0,tanh,Adagrad,14,1,2,0.4342261
20,1.0,tanh,Adagrad,12,1,2,0.4339071
20,1.0,tanh,Adagrad,16,1,2,0.43015265
22,1.0,tanh,Adagrad,12,1,2,0.4282252
22,1.0,tanh,Adagrad,10,1,2,0.41744265
30,1.0,tanh,Adagrad,10,1,2,0.39358196
22,1.0,tanh,Adagrad,8,1,2,0.39274377
22,1.0,tanh,Adagrad,14,1,2,0.39160055
24,1.0,tanh,Adagrad,8,1,2,0.38867816
28,1.0,tanh,Adagrad,10,1,2,0.3602064
30,1.0,tanh,Adagrad,14,1,2,0.35914788
30,1.0,tanh,Adagrad,6,1,2,0.34640533
20,1.0,tanh,Adagrad,6,1,2,0.34333336
28,1.0,tanh,Adagrad,6,1,2,0.33968094
24,1.0,tanh,Adagrad,6,1,2,0.33360603
28,1.0,tanh,Adagrad,12,1,2,0.32595286
26,1.0,tanh,Adagrad,8,1,2,0.3144115
20,1.0,tanh,Adagrad,14,1,2,0.26549354
22,1.0,tanh,Adagrad,6,1,2,0.19980167
