epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,Adagrad,16,1,2,0.6741515
22,1.0,tanh,Adagrad,16,1,2,0.6620542
26,1.0,tanh,Adagrad,16,1,2,0.65830463
28,1.0,tanh,Adagrad,10,1,2,0.6517285
22,1.0,tanh,Adagrad,10,1,2,0.6313817
28,1.0,tanh,Adagrad,12,1,2,0.62817603
26,1.0,tanh,Adagrad,14,1,2,0.6229811
22,1.0,tanh,Adagrad,6,1,2,0.61934805
26,1.0,tanh,Adagrad,8,1,2,0.60591
22,1.0,tanh,Adagrad,12,1,2,0.6015483
20,1.0,tanh,Adagrad,14,1,2,0.59727865
24,1.0,tanh,Adagrad,12,1,2,0.59462285
20,1.0,tanh,Adagrad,10,1,2,0.5929043
20,1.0,tanh,Adagrad,8,1,2,0.5920748
22,1.0,tanh,Adagrad,8,1,2,0.5881098
26,1.0,tanh,Adagrad,10,1,2,0.5873393
28,1.0,tanh,Adagrad,6,1,2,0.58431226
30,1.0,tanh,Adagrad,16,1,2,0.582852
30,1.0,tanh,Adagrad,10,1,2,0.5795058
30,1.0,tanh,Adagrad,12,1,2,0.5784547
30,1.0,tanh,Adagrad,14,1,2,0.577269
28,1.0,tanh,Adagrad,14,1,2,0.5763134
24,1.0,tanh,Adagrad,16,1,2,0.575213
24,1.0,tanh,Adagrad,14,1,2,0.5697293
30,1.0,tanh,Adagrad,8,1,2,0.5596166
28,1.0,tanh,Adagrad,16,1,2,0.54740775
30,1.0,tanh,Adagrad,6,1,2,0.5343398
26,1.0,tanh,Adagrad,12,1,2,0.52794313
28,1.0,tanh,Adagrad,8,1,2,0.5240898
24,1.0,tanh,Adagrad,6,1,2,0.4949005
22,1.0,tanh,Adagrad,14,1,2,0.4906131
24,1.0,tanh,Adagrad,8,1,2,0.48881012
20,1.0,tanh,Adagrad,6,1,2,0.4719803
20,1.0,tanh,Adagrad,12,1,2,0.4681019
24,1.0,tanh,Adagrad,10,1,2,0.43746287
26,1.0,tanh,Adagrad,6,1,2,0.3433937
