epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,8,1,2,0.49800873
28,1.0,tanh,Adagrad,10,1,2,0.48892495
30,1.0,tanh,Adagrad,10,1,2,0.48737174
26,1.0,tanh,Adagrad,6,1,2,0.46716446
22,1.0,tanh,Adagrad,8,1,2,0.44679594
24,1.0,tanh,Adagrad,10,1,2,0.4248811
24,1.0,tanh,Adagrad,6,1,2,0.42250064
22,1.0,tanh,Adagrad,10,1,2,0.41709414
26,1.0,tanh,Adagrad,10,1,2,0.40955752
30,1.0,tanh,Adagrad,6,1,2,0.4086519
28,1.0,tanh,Adagrad,12,1,2,0.39838135
26,1.0,tanh,Adagrad,8,1,2,0.3916306
24,1.0,tanh,Adagrad,8,1,2,0.3889444
22,1.0,tanh,Adagrad,6,1,2,0.32833987
30,1.0,tanh,Adagrad,8,1,2,0.32517552
24,1.0,tanh,Adagrad,12,1,2,0.23943281
20,1.0,tanh,Adagrad,6,1,2,0.23015141
30,1.0,tanh,Adagrad,12,1,2,0.22969535
20,1.0,tanh,Adagrad,8,1,2,0.21690594
28,1.0,tanh,Adagrad,6,1,2,0.14091809
20,1.0,tanh,Adagrad,10,1,2,0.10484442
20,1.0,tanh,Adagrad,12,1,2,0.09053895
20,1.0,tanh,Adagrad,14,1,2,0.032714512
22,1.0,tanh,Adagrad,12,1,2,0.03268582
22,1.0,tanh,Adagrad,14,1,2,0.03267904
26,1.0,tanh,Adagrad,12,1,2,0.032641605
20,1.0,tanh,Adagrad,16,1,2,0.032599036
24,1.0,tanh,Adagrad,14,1,2,0.032499164
26,1.0,tanh,Adagrad,14,1,2,0.032396384
22,1.0,tanh,Adagrad,16,1,2,0.032214172
24,1.0,tanh,Adagrad,16,1,2,0.03218618
28,1.0,tanh,Adagrad,14,1,2,0.031575963
26,1.0,tanh,Adagrad,16,1,2,0.0315585
30,1.0,tanh,Adagrad,14,1,2,0.031542297
28,1.0,tanh,Adagrad,16,1,2,0.031430956
30,1.0,tanh,Adagrad,16,1,2,0.031305205
