epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,16,1,2,0.527085
30,1.0,tanh,Adagrad,6,1,2,0.521656
20,1.0,tanh,Adagrad,14,1,2,0.51404214
28,1.0,tanh,Adagrad,16,1,2,0.5129927
22,1.0,tanh,Adagrad,14,1,2,0.5029283
26,1.0,tanh,Adagrad,16,1,2,0.49716872
26,1.0,tanh,Adagrad,14,1,2,0.4956551
24,1.0,tanh,Adagrad,10,1,2,0.49499807
24,1.0,tanh,Adagrad,14,1,2,0.49157724
26,1.0,tanh,Adagrad,12,1,2,0.48497653
30,1.0,tanh,Adagrad,14,1,2,0.48483866
24,1.0,tanh,Adagrad,12,1,2,0.48200074
20,1.0,tanh,Adagrad,12,1,2,0.4819249
20,1.0,tanh,Adagrad,10,1,2,0.47961813
30,1.0,tanh,Adagrad,16,1,2,0.47404167
30,1.0,tanh,Adagrad,12,1,2,0.4714092
30,1.0,tanh,Adagrad,8,1,2,0.4694893
28,1.0,tanh,Adagrad,12,1,2,0.46554697
28,1.0,tanh,Adagrad,14,1,2,0.46262628
20,1.0,tanh,Adagrad,16,1,2,0.45934644
20,1.0,tanh,Adagrad,8,1,2,0.45099413
22,1.0,tanh,Adagrad,8,1,2,0.4425336
22,1.0,tanh,Adagrad,16,1,2,0.43833008
26,1.0,tanh,Adagrad,6,1,2,0.42104316
22,1.0,tanh,Adagrad,12,1,2,0.41360328
26,1.0,tanh,Adagrad,8,1,2,0.40755808
28,1.0,tanh,Adagrad,10,1,2,0.40711334
28,1.0,tanh,Adagrad,6,1,2,0.40314147
30,1.0,tanh,Adagrad,10,1,2,0.39907315
22,1.0,tanh,Adagrad,10,1,2,0.39229202
26,1.0,tanh,Adagrad,10,1,2,0.38077614
20,1.0,tanh,Adagrad,6,1,2,0.36089772
24,1.0,tanh,Adagrad,8,1,2,0.35776204
28,1.0,tanh,Adagrad,8,1,2,0.35478932
24,1.0,tanh,Adagrad,6,1,2,0.3200012
22,1.0,tanh,Adagrad,6,1,2,0.13589454
