epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
26,1.0,tanh,Adagrad,6,1,2,0.52907073
30,1.0,tanh,Adagrad,8,1,2,0.46160993
28,1.0,tanh,Adagrad,8,1,2,0.45861247
22,1.0,tanh,Adagrad,12,1,2,0.44294903
24,1.0,tanh,Adagrad,14,1,2,0.44270125
30,1.0,tanh,Adagrad,6,1,2,0.43934
24,1.0,tanh,Adagrad,10,1,2,0.43257356
28,1.0,tanh,Adagrad,12,1,2,0.42857835
24,1.0,tanh,Adagrad,8,1,2,0.4276668
28,1.0,tanh,Adagrad,10,1,2,0.42206994
22,1.0,tanh,Adagrad,10,1,2,0.41637194
28,1.0,tanh,Adagrad,14,1,2,0.41108686
24,1.0,tanh,Adagrad,6,1,2,0.41107628
26,1.0,tanh,Adagrad,10,1,2,0.40547746
30,1.0,tanh,Adagrad,10,1,2,0.4001565
30,1.0,tanh,Adagrad,12,1,2,0.3986619
20,1.0,tanh,Adagrad,6,1,2,0.3944366
20,1.0,tanh,Adagrad,8,1,2,0.39356336
28,1.0,tanh,Adagrad,6,1,2,0.38018602
26,1.0,tanh,Adagrad,12,1,2,0.37956384
20,1.0,tanh,Adagrad,12,1,2,0.37738904
22,1.0,tanh,Adagrad,8,1,2,0.3700967
26,1.0,tanh,Adagrad,14,1,2,0.36755162
26,1.0,tanh,Adagrad,8,1,2,0.33976394
22,1.0,tanh,Adagrad,6,1,2,0.31585094
20,1.0,tanh,Adagrad,10,1,2,0.07207198
24,1.0,tanh,Adagrad,12,1,2,0.067697965
20,1.0,tanh,Adagrad,14,1,2,0.06699347
22,1.0,tanh,Adagrad,14,1,2,0.066816665
20,1.0,tanh,Adagrad,16,1,2,0.066718146
22,1.0,tanh,Adagrad,16,1,2,0.0654604
30,1.0,tanh,Adagrad,14,1,2,0.06526546
26,1.0,tanh,Adagrad,16,1,2,0.06519103
24,1.0,tanh,Adagrad,16,1,2,0.06500096
28,1.0,tanh,Adagrad,16,1,2,0.06496945
30,1.0,tanh,Adagrad,16,1,2,0.06491066
