epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,10,1,2,0.40543786
30,1.0,tanh,Adagrad,10,1,2,0.40118492
26,1.0,tanh,Adagrad,8,1,2,0.39869073
26,1.0,tanh,Adagrad,12,1,2,0.39690477
26,1.0,tanh,Adagrad,10,1,2,0.39536357
28,1.0,tanh,Adagrad,6,1,2,0.3924295
26,1.0,tanh,Adagrad,6,1,2,0.39096576
22,1.0,tanh,Adagrad,12,1,2,0.38876125
30,1.0,tanh,Adagrad,6,1,2,0.38670546
30,1.0,tanh,Adagrad,12,1,2,0.38584483
28,1.0,tanh,Adagrad,8,1,2,0.38356045
30,1.0,tanh,Adagrad,8,1,2,0.38130057
22,1.0,tanh,Adagrad,10,1,2,0.38042945
24,1.0,tanh,Adagrad,14,1,2,0.37443992
20,1.0,tanh,Adagrad,12,1,2,0.36097333
20,1.0,tanh,Adagrad,6,1,2,0.3600857
24,1.0,tanh,Adagrad,8,1,2,0.35610557
22,1.0,tanh,Adagrad,6,1,2,0.34610957
20,1.0,tanh,Adagrad,8,1,2,0.34413338
28,1.0,tanh,Adagrad,14,1,2,0.3254128
22,1.0,tanh,Adagrad,16,1,2,0.29436463
30,1.0,tanh,Adagrad,16,1,2,0.2913011
20,1.0,tanh,Adagrad,14,1,2,0.28700948
22,1.0,tanh,Adagrad,14,1,2,0.2856557
26,1.0,tanh,Adagrad,14,1,2,0.28417194
30,1.0,tanh,Adagrad,14,1,2,0.27816984
24,1.0,tanh,Adagrad,12,1,2,0.27490556
24,1.0,tanh,Adagrad,6,1,2,0.27227262
20,1.0,tanh,Adagrad,10,1,2,0.26452354
28,1.0,tanh,Adagrad,12,1,2,0.2498953
22,1.0,tanh,Adagrad,8,1,2,0.17982896
26,1.0,tanh,Adagrad,16,1,2,0.16670458
24,1.0,tanh,Adagrad,16,1,2,0.14457005
28,1.0,tanh,Adagrad,16,1,2,0.1350067
24,1.0,tanh,Adagrad,10,1,2,0.1076341
20,1.0,tanh,Adagrad,16,1,2,0.016227555
