epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,6,1,2,0.5754505
26,1.0,tanh,Adagrad,16,1,2,0.5716771
26,1.0,tanh,Adagrad,6,1,2,0.5678054
28,1.0,tanh,Adagrad,6,1,2,0.56749094
24,1.0,tanh,Adagrad,8,1,2,0.5504997
28,1.0,tanh,Adagrad,16,1,2,0.54933894
26,1.0,tanh,Adagrad,10,1,2,0.5489848
22,1.0,tanh,Adagrad,10,1,2,0.54837984
20,1.0,tanh,Adagrad,10,1,2,0.5465623
30,1.0,tanh,Adagrad,6,1,2,0.54321814
30,1.0,tanh,Adagrad,12,1,2,0.5404429
28,1.0,tanh,Adagrad,14,1,2,0.5388627
28,1.0,tanh,Adagrad,8,1,2,0.53282815
24,1.0,tanh,Adagrad,12,1,2,0.5321635
30,1.0,tanh,Adagrad,8,1,2,0.5303833
24,1.0,tanh,Adagrad,10,1,2,0.52872854
30,1.0,tanh,Adagrad,10,1,2,0.52627087
30,1.0,tanh,Adagrad,14,1,2,0.5256191
20,1.0,tanh,Adagrad,8,1,2,0.52083504
28,1.0,tanh,Adagrad,10,1,2,0.51973355
26,1.0,tanh,Adagrad,8,1,2,0.5184591
24,1.0,tanh,Adagrad,14,1,2,0.51802033
20,1.0,tanh,Adagrad,14,1,2,0.5175274
22,1.0,tanh,Adagrad,12,1,2,0.51660067
20,1.0,tanh,Adagrad,16,1,2,0.5155623
22,1.0,tanh,Adagrad,14,1,2,0.5152259
22,1.0,tanh,Adagrad,8,1,2,0.50970006
30,1.0,tanh,Adagrad,16,1,2,0.50871265
20,1.0,tanh,Adagrad,12,1,2,0.49613097
24,1.0,tanh,Adagrad,16,1,2,0.48952508
26,1.0,tanh,Adagrad,12,1,2,0.4884297
26,1.0,tanh,Adagrad,14,1,2,0.46083936
22,1.0,tanh,Adagrad,16,1,2,0.45423433
22,1.0,tanh,Adagrad,6,1,2,0.3843347
28,1.0,tanh,Adagrad,12,1,2,0.32789406
20,1.0,tanh,Adagrad,6,1,2,0.31635806
