epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,10,1,2,0.80683106
20,1.0,tanh,Adagrad,10,1,2,0.80356973
26,1.0,tanh,Adagrad,6,1,2,0.7859617
24,1.0,tanh,Adagrad,12,1,2,0.78414965
24,1.0,tanh,Adagrad,6,1,2,0.78332883
26,1.0,tanh,Adagrad,8,1,2,0.7777689
22,1.0,tanh,Adagrad,6,1,2,0.77769655
24,1.0,tanh,Adagrad,16,1,2,0.7715348
26,1.0,tanh,Adagrad,16,1,2,0.7708471
20,1.0,tanh,Adagrad,14,1,2,0.7619758
22,1.0,tanh,Adagrad,8,1,2,0.7560222
22,1.0,tanh,Adagrad,10,1,2,0.75593066
26,1.0,tanh,Adagrad,14,1,2,0.7505664
26,1.0,tanh,Adagrad,12,1,2,0.74741644
22,1.0,tanh,Adagrad,12,1,2,0.74537224
20,1.0,tanh,Adagrad,12,1,2,0.74373424
28,1.0,tanh,Adagrad,10,1,2,0.74094903
26,1.0,tanh,Adagrad,10,1,2,0.731972
24,1.0,tanh,Adagrad,8,1,2,0.7282249
30,1.0,tanh,Adagrad,14,1,2,0.7211819
28,1.0,tanh,Adagrad,16,1,2,0.71957135
30,1.0,tanh,Adagrad,12,1,2,0.7179641
20,1.0,tanh,Adagrad,8,1,2,0.6983473
20,1.0,tanh,Adagrad,16,1,2,0.68726635
24,1.0,tanh,Adagrad,10,1,2,0.6790356
28,1.0,tanh,Adagrad,6,1,2,0.67292035
20,1.0,tanh,Adagrad,6,1,2,0.66058326
28,1.0,tanh,Adagrad,14,1,2,0.64700407
24,1.0,tanh,Adagrad,14,1,2,0.64217395
28,1.0,tanh,Adagrad,8,1,2,0.60014427
30,1.0,tanh,Adagrad,6,1,2,0.583299
30,1.0,tanh,Adagrad,8,1,2,0.55230176
30,1.0,tanh,Adagrad,16,1,2,0.5319806
22,1.0,tanh,Adagrad,14,1,2,0.49332333
28,1.0,tanh,Adagrad,12,1,2,0.45019937
22,1.0,tanh,Adagrad,16,1,2,0.32757145
