epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
22,1.0,tanh,Adagrad,10,1,2,0.7343137
24,1.0,tanh,Adagrad,6,1,2,0.71969277
26,1.0,tanh,Adagrad,6,1,2,0.7195731
24,1.0,tanh,Adagrad,10,1,2,0.71487504
24,1.0,tanh,Adagrad,14,1,2,0.71432334
26,1.0,tanh,Adagrad,10,1,2,0.71368706
24,1.0,tanh,Adagrad,8,1,2,0.71200556
20,1.0,tanh,Adagrad,10,1,2,0.7097817
22,1.0,tanh,Adagrad,14,1,2,0.7097233
22,1.0,tanh,Adagrad,12,1,2,0.70912164
26,1.0,tanh,Adagrad,16,1,2,0.7074464
22,1.0,tanh,Adagrad,8,1,2,0.7051678
26,1.0,tanh,Adagrad,12,1,2,0.7036457
28,1.0,tanh,Adagrad,10,1,2,0.7031444
30,1.0,tanh,Adagrad,16,1,2,0.7014445
28,1.0,tanh,Adagrad,14,1,2,0.69926345
20,1.0,tanh,Adagrad,8,1,2,0.69820637
20,1.0,tanh,Adagrad,12,1,2,0.6974486
30,1.0,tanh,Adagrad,10,1,2,0.69663054
30,1.0,tanh,Adagrad,14,1,2,0.69196945
20,1.0,tanh,Adagrad,14,1,2,0.6914974
28,1.0,tanh,Adagrad,12,1,2,0.6896523
28,1.0,tanh,Adagrad,16,1,2,0.6892281
28,1.0,tanh,Adagrad,8,1,2,0.689086
20,1.0,tanh,Adagrad,16,1,2,0.6809811
24,1.0,tanh,Adagrad,12,1,2,0.6766611
20,1.0,tanh,Adagrad,6,1,2,0.67637056
26,1.0,tanh,Adagrad,14,1,2,0.6712711
22,1.0,tanh,Adagrad,6,1,2,0.66938597
22,1.0,tanh,Adagrad,16,1,2,0.6630859
30,1.0,tanh,Adagrad,8,1,2,0.6519751
30,1.0,tanh,Adagrad,12,1,2,0.6443922
26,1.0,tanh,Adagrad,8,1,2,0.6427979
24,1.0,tanh,Adagrad,16,1,2,0.6388257
30,1.0,tanh,Adagrad,6,1,2,0.62224144
28,1.0,tanh,Adagrad,6,1,2,0.6212113
