epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
22,1.0,tanh,Adagrad,14,1,2,0.8157641
24,1.0,tanh,Adagrad,6,1,2,0.78775334
28,1.0,tanh,Adagrad,10,1,2,0.78121775
30,1.0,tanh,Adagrad,14,1,2,0.7809408
28,1.0,tanh,Adagrad,16,1,2,0.7798202
28,1.0,tanh,Adagrad,12,1,2,0.77850944
30,1.0,tanh,Adagrad,12,1,2,0.775635
26,1.0,tanh,Adagrad,16,1,2,0.7752269
22,1.0,tanh,Adagrad,12,1,2,0.77295506
26,1.0,tanh,Adagrad,12,1,2,0.7659281
30,1.0,tanh,Adagrad,16,1,2,0.76320213
28,1.0,tanh,Adagrad,14,1,2,0.7626208
28,1.0,tanh,Adagrad,6,1,2,0.7624564
24,1.0,tanh,Adagrad,8,1,2,0.7578143
20,1.0,tanh,Adagrad,10,1,2,0.75274885
24,1.0,tanh,Adagrad,10,1,2,0.7510145
20,1.0,tanh,Adagrad,16,1,2,0.74831015
24,1.0,tanh,Adagrad,16,1,2,0.74649143
24,1.0,tanh,Adagrad,14,1,2,0.7458783
22,1.0,tanh,Adagrad,8,1,2,0.7402578
20,1.0,tanh,Adagrad,8,1,2,0.734115
20,1.0,tanh,Adagrad,12,1,2,0.7174368
30,1.0,tanh,Adagrad,8,1,2,0.7098818
26,1.0,tanh,Adagrad,8,1,2,0.70973164
22,1.0,tanh,Adagrad,16,1,2,0.7083762
28,1.0,tanh,Adagrad,8,1,2,0.6982338
30,1.0,tanh,Adagrad,10,1,2,0.6827671
24,1.0,tanh,Adagrad,12,1,2,0.67866075
26,1.0,tanh,Adagrad,10,1,2,0.6768877
20,1.0,tanh,Adagrad,6,1,2,0.6675111
20,1.0,tanh,Adagrad,14,1,2,0.66139066
22,1.0,tanh,Adagrad,10,1,2,0.65425324
22,1.0,tanh,Adagrad,6,1,2,0.6387451
26,1.0,tanh,Adagrad,6,1,2,0.6340764
26,1.0,tanh,Adagrad,14,1,2,0.61554945
30,1.0,tanh,Adagrad,6,1,2,0.57521176
