epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,6,1,2,0.30945548
28,1.0,tanh,Adagrad,16,1,2,0.096327305
26,1.0,tanh,Adagrad,16,1,2,0.090377934
24,1.0,tanh,Adagrad,16,1,2,0.090290464
26,1.0,tanh,Adagrad,14,1,2,0.002395241
20,1.0,tanh,Adagrad,14,1,2,-0.8199203
30,1.0,tanh,Adagrad,14,1,2,-0.8119037
22,1.0,tanh,Adagrad,16,1,2,-0.75520384
22,1.0,tanh,Adagrad,14,1,2,-0.7170716
30,1.0,tanh,Adagrad,16,1,2,-0.716868
22,1.0,tanh,Adagrad,12,1,2,-0.67207927
28,1.0,tanh,Adagrad,12,1,2,-0.6626534
26,1.0,tanh,Adagrad,6,1,2,-0.6588215
22,1.0,tanh,Adagrad,10,1,2,-0.5856382
22,1.0,tanh,Adagrad,8,1,2,-0.51469487
24,1.0,tanh,Adagrad,12,1,2,-0.4731524
24,1.0,tanh,Adagrad,6,1,2,-0.44010505
24,1.0,tanh,Adagrad,10,1,2,-0.3980061
28,1.0,tanh,Adagrad,8,1,2,-0.3509784
20,1.0,tanh,Adagrad,6,1,2,-0.34194702
20,1.0,tanh,Adagrad,10,1,2,-0.33703157
22,1.0,tanh,Adagrad,6,1,2,-0.3233954
30,1.0,tanh,Adagrad,12,1,2,-0.3228001
28,1.0,tanh,Adagrad,14,1,2,-0.2906939
20,1.0,tanh,Adagrad,12,1,2,-0.2754132
30,1.0,tanh,Adagrad,10,1,2,-0.21411556
30,1.0,tanh,Adagrad,8,1,2,-0.21097586
26,1.0,tanh,Adagrad,8,1,2,-0.19818582
26,1.0,tanh,Adagrad,12,1,2,-0.18889889
26,1.0,tanh,Adagrad,10,1,2,-0.18776937
20,1.0,tanh,Adagrad,16,1,2,-0.16063704
28,1.0,tanh,Adagrad,6,1,2,-0.13782753
24,1.0,tanh,Adagrad,8,1,2,-0.13248132
20,1.0,tanh,Adagrad,8,1,2,-0.12345658
28,1.0,tanh,Adagrad,10,1,2,-0.062477473
24,1.0,tanh,Adagrad,14,1,2,-0.029859783
