epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,Adagrad,6,1,2,0.7290244
28,1.0,tanh,Adagrad,6,1,2,0.7195904
30,1.0,tanh,Adagrad,10,1,2,0.6763959
22,1.0,tanh,Adagrad,6,1,2,0.6762135
30,1.0,tanh,Adagrad,8,1,2,0.64367044
26,1.0,tanh,Adagrad,8,1,2,0.63491213
26,1.0,tanh,Adagrad,6,1,2,0.61275226
24,1.0,tanh,Adagrad,6,1,2,0.6116165
22,1.0,tanh,Adagrad,8,1,2,0.6016689
28,1.0,tanh,Adagrad,8,1,2,0.5968911
30,1.0,tanh,Adagrad,6,1,2,0.58011866
22,1.0,tanh,Adagrad,10,1,2,0.5566083
24,1.0,tanh,Adagrad,10,1,2,0.5297589
28,1.0,tanh,Adagrad,10,1,2,0.52644455
20,1.0,tanh,Adagrad,8,1,2,0.49469838
24,1.0,tanh,Adagrad,16,1,2,0.48812458
24,1.0,tanh,Adagrad,14,1,2,0.47639704
28,1.0,tanh,Adagrad,12,1,2,0.46785188
20,1.0,tanh,Adagrad,10,1,2,0.46163338
22,1.0,tanh,Adagrad,14,1,2,0.4487652
26,1.0,tanh,Adagrad,16,1,2,0.43472227
26,1.0,tanh,Adagrad,14,1,2,0.4326129
30,1.0,tanh,Adagrad,14,1,2,0.42830193
20,1.0,tanh,Adagrad,16,1,2,0.42816988
22,1.0,tanh,Adagrad,16,1,2,0.42752823
26,1.0,tanh,Adagrad,10,1,2,0.4268512
28,1.0,tanh,Adagrad,16,1,2,0.42599374
30,1.0,tanh,Adagrad,16,1,2,0.42486078
30,1.0,tanh,Adagrad,12,1,2,0.41878086
20,1.0,tanh,Adagrad,12,1,2,0.3820525
24,1.0,tanh,Adagrad,12,1,2,0.34680167
26,1.0,tanh,Adagrad,12,1,2,0.33795643
20,1.0,tanh,Adagrad,14,1,2,0.12755613
24,1.0,tanh,Adagrad,8,1,2,0.11244864
28,1.0,tanh,Adagrad,14,1,2,0.06383046
22,1.0,tanh,Adagrad,12,1,2,0.038577057
