epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,16,1,2,0.8181005
26,1.0,tanh,Adagrad,16,1,2,0.81700665
22,1.0,tanh,Adagrad,8,1,2,0.81036156
24,1.0,tanh,Adagrad,14,1,2,0.8089651
30,1.0,tanh,Adagrad,14,1,2,0.80545217
24,1.0,tanh,Adagrad,10,1,2,0.8054272
26,1.0,tanh,Adagrad,10,1,2,0.8051498
26,1.0,tanh,Adagrad,8,1,2,0.8047488
26,1.0,tanh,Adagrad,14,1,2,0.8038321
24,1.0,tanh,Adagrad,12,1,2,0.80131435
20,1.0,tanh,Adagrad,8,1,2,0.80082864
20,1.0,tanh,Adagrad,6,1,2,0.79551464
24,1.0,tanh,Adagrad,6,1,2,0.7946442
22,1.0,tanh,Adagrad,10,1,2,0.79399854
28,1.0,tanh,Adagrad,14,1,2,0.7934902
22,1.0,tanh,Adagrad,16,1,2,0.7917929
30,1.0,tanh,Adagrad,8,1,2,0.7913608
28,1.0,tanh,Adagrad,12,1,2,0.7879404
28,1.0,tanh,Adagrad,6,1,2,0.7874032
20,1.0,tanh,Adagrad,10,1,2,0.7861702
30,1.0,tanh,Adagrad,10,1,2,0.7841762
24,1.0,tanh,Adagrad,16,1,2,0.78407705
28,1.0,tanh,Adagrad,16,1,2,0.78385615
30,1.0,tanh,Adagrad,6,1,2,0.783738
20,1.0,tanh,Adagrad,14,1,2,0.77942413
22,1.0,tanh,Adagrad,12,1,2,0.7782834
28,1.0,tanh,Adagrad,10,1,2,0.77182555
22,1.0,tanh,Adagrad,14,1,2,0.7625356
26,1.0,tanh,Adagrad,12,1,2,0.76079315
24,1.0,tanh,Adagrad,8,1,2,0.7593061
20,1.0,tanh,Adagrad,12,1,2,0.75574225
28,1.0,tanh,Adagrad,8,1,2,0.75325507
20,1.0,tanh,Adagrad,16,1,2,0.74394125
30,1.0,tanh,Adagrad,12,1,2,0.74086696
26,1.0,tanh,Adagrad,6,1,2,0.72752196
22,1.0,tanh,Adagrad,6,1,2,0.72429335
