epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,Adagrad,16,1,2,0.5132853
26,1.0,tanh,Adagrad,12,1,2,0.41272077
26,1.0,tanh,Adagrad,6,1,2,0.39875603
30,1.0,tanh,Adagrad,10,1,2,0.34434426
24,1.0,tanh,Adagrad,10,1,2,0.3443221
28,1.0,tanh,Adagrad,10,1,2,0.2935983
30,1.0,tanh,Adagrad,6,1,2,0.29348078
20,1.0,tanh,Adagrad,6,1,2,0.2921529
24,1.0,tanh,Adagrad,8,1,2,0.28796524
28,1.0,tanh,Adagrad,6,1,2,0.25044474
24,1.0,tanh,Adagrad,12,1,2,0.23284686
20,1.0,tanh,Adagrad,10,1,2,0.21922895
26,1.0,tanh,Adagrad,10,1,2,0.1932113
20,1.0,tanh,Adagrad,8,1,2,0.18277967
26,1.0,tanh,Adagrad,8,1,2,0.13051969
22,1.0,tanh,Adagrad,8,1,2,0.027965102
30,1.0,tanh,Adagrad,14,1,2,-0.5755133
26,1.0,tanh,Adagrad,16,1,2,-0.5189915
22,1.0,tanh,Adagrad,12,1,2,-0.51549536
24,1.0,tanh,Adagrad,14,1,2,-0.49510583
24,1.0,tanh,Adagrad,16,1,2,-0.4908159
30,1.0,tanh,Adagrad,12,1,2,-0.47687915
28,1.0,tanh,Adagrad,14,1,2,-0.44919825
22,1.0,tanh,Adagrad,10,1,2,-0.4279718
20,1.0,tanh,Adagrad,12,1,2,-0.3209571
22,1.0,tanh,Adagrad,14,1,2,-0.3103635
22,1.0,tanh,Adagrad,16,1,2,-0.28979993
28,1.0,tanh,Adagrad,12,1,2,-0.2844765
20,1.0,tanh,Adagrad,14,1,2,-0.24590378
28,1.0,tanh,Adagrad,16,1,2,-0.18413512
28,1.0,tanh,Adagrad,8,1,2,-0.1714938
26,1.0,tanh,Adagrad,14,1,2,-0.13232039
30,1.0,tanh,Adagrad,8,1,2,-0.12436272
22,1.0,tanh,Adagrad,6,1,2,-0.046284653
24,1.0,tanh,Adagrad,6,1,2,-0.034045696
30,1.0,tanh,Adagrad,16,1,2,-0.0017761244
