epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
22,1.0,tanh,Adagrad,8,1,2,0.66501886
26,1.0,tanh,Adagrad,6,1,2,0.65594137
28,1.0,tanh,Adagrad,10,1,2,0.64635175
22,1.0,tanh,Adagrad,12,1,2,0.63283557
24,1.0,tanh,Adagrad,8,1,2,0.6273286
28,1.0,tanh,Adagrad,6,1,2,0.6170382
24,1.0,tanh,Adagrad,10,1,2,0.6103876
22,1.0,tanh,Adagrad,10,1,2,0.60846925
26,1.0,tanh,Adagrad,10,1,2,0.5994571
30,1.0,tanh,Adagrad,6,1,2,0.59475166
24,1.0,tanh,Adagrad,12,1,2,0.5711115
26,1.0,tanh,Adagrad,12,1,2,0.56958735
26,1.0,tanh,Adagrad,8,1,2,0.5649131
20,1.0,tanh,Adagrad,10,1,2,0.54940844
20,1.0,tanh,Adagrad,12,1,2,0.5447954
22,1.0,tanh,Adagrad,6,1,2,0.53098756
24,1.0,tanh,Adagrad,6,1,2,0.5304017
20,1.0,tanh,Adagrad,8,1,2,0.52555996
28,1.0,tanh,Adagrad,8,1,2,0.51751876
30,1.0,tanh,Adagrad,12,1,2,0.500924
28,1.0,tanh,Adagrad,16,1,2,0.4962884
28,1.0,tanh,Adagrad,12,1,2,0.47939554
30,1.0,tanh,Adagrad,8,1,2,0.47536772
22,1.0,tanh,Adagrad,14,1,2,0.4732442
20,1.0,tanh,Adagrad,6,1,2,0.4475828
26,1.0,tanh,Adagrad,14,1,2,0.44503528
20,1.0,tanh,Adagrad,16,1,2,0.42399147
30,1.0,tanh,Adagrad,10,1,2,0.42209265
30,1.0,tanh,Adagrad,14,1,2,0.3595691
20,1.0,tanh,Adagrad,14,1,2,0.19032429
24,1.0,tanh,Adagrad,14,1,2,0.099886835
24,1.0,tanh,Adagrad,16,1,2,0.09688696
26,1.0,tanh,Adagrad,16,1,2,0.09487093
28,1.0,tanh,Adagrad,14,1,2,0.094650164
30,1.0,tanh,Adagrad,16,1,2,0.087921545
22,1.0,tanh,Adagrad,16,1,2,0.027453868
