epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,8,1,2,0.48733327
30,1.0,tanh,Adagrad,16,1,2,0.48596132
24,1.0,tanh,Adagrad,8,1,2,0.48572776
22,1.0,tanh,Adagrad,12,1,2,0.48171848
26,1.0,tanh,Adagrad,16,1,2,0.4804619
24,1.0,tanh,Adagrad,16,1,2,0.47584042
24,1.0,tanh,Adagrad,12,1,2,0.47130075
28,1.0,tanh,Adagrad,12,1,2,0.47087762
26,1.0,tanh,Adagrad,10,1,2,0.47070578
28,1.0,tanh,Adagrad,6,1,2,0.46615267
20,1.0,tanh,Adagrad,14,1,2,0.46590507
20,1.0,tanh,Adagrad,10,1,2,0.46551844
24,1.0,tanh,Adagrad,10,1,2,0.4652176
30,1.0,tanh,Adagrad,12,1,2,0.46375704
30,1.0,tanh,Adagrad,10,1,2,0.4586236
28,1.0,tanh,Adagrad,16,1,2,0.4552256
24,1.0,tanh,Adagrad,6,1,2,0.45434433
22,1.0,tanh,Adagrad,8,1,2,0.45183483
22,1.0,tanh,Adagrad,16,1,2,0.44707927
28,1.0,tanh,Adagrad,14,1,2,0.44574508
30,1.0,tanh,Adagrad,14,1,2,0.43681037
28,1.0,tanh,Adagrad,8,1,2,0.43092108
26,1.0,tanh,Adagrad,14,1,2,0.4301045
30,1.0,tanh,Adagrad,6,1,2,0.42850843
20,1.0,tanh,Adagrad,16,1,2,0.4217622
26,1.0,tanh,Adagrad,12,1,2,0.41989172
24,1.0,tanh,Adagrad,14,1,2,0.4158088
26,1.0,tanh,Adagrad,6,1,2,0.41338408
20,1.0,tanh,Adagrad,8,1,2,0.41302544
22,1.0,tanh,Adagrad,10,1,2,0.4008857
20,1.0,tanh,Adagrad,12,1,2,0.3941773
22,1.0,tanh,Adagrad,14,1,2,0.3786077
26,1.0,tanh,Adagrad,8,1,2,0.3616937
20,1.0,tanh,Adagrad,6,1,2,0.36050594
28,1.0,tanh,Adagrad,10,1,2,0.3395677
22,1.0,tanh,Adagrad,6,1,2,0.30948883
