epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,12,1,2,0.45419565
22,1.0,tanh,Adagrad,6,1,2,0.4499749
26,1.0,tanh,Adagrad,6,1,2,0.44150677
22,1.0,tanh,Adagrad,16,1,2,0.43736637
28,1.0,tanh,Adagrad,14,1,2,0.43526873
28,1.0,tanh,Adagrad,8,1,2,0.43347377
20,1.0,tanh,Adagrad,8,1,2,0.42987618
20,1.0,tanh,Adagrad,14,1,2,0.42939863
30,1.0,tanh,Adagrad,14,1,2,0.42480484
30,1.0,tanh,Adagrad,10,1,2,0.424467
26,1.0,tanh,Adagrad,16,1,2,0.42346272
28,1.0,tanh,Adagrad,16,1,2,0.4214501
28,1.0,tanh,Adagrad,6,1,2,0.41708195
24,1.0,tanh,Adagrad,12,1,2,0.41701758
30,1.0,tanh,Adagrad,16,1,2,0.4085381
22,1.0,tanh,Adagrad,10,1,2,0.4081868
24,1.0,tanh,Adagrad,6,1,2,0.40771118
24,1.0,tanh,Adagrad,16,1,2,0.39610395
26,1.0,tanh,Adagrad,10,1,2,0.39254257
30,1.0,tanh,Adagrad,6,1,2,0.38865873
20,1.0,tanh,Adagrad,6,1,2,0.38626686
30,1.0,tanh,Adagrad,12,1,2,0.3851657
22,1.0,tanh,Adagrad,14,1,2,0.3847428
24,1.0,tanh,Adagrad,10,1,2,0.38334092
22,1.0,tanh,Adagrad,12,1,2,0.38226154
30,1.0,tanh,Adagrad,8,1,2,0.382071
26,1.0,tanh,Adagrad,8,1,2,0.37575632
26,1.0,tanh,Adagrad,12,1,2,0.3707304
24,1.0,tanh,Adagrad,14,1,2,0.35569224
20,1.0,tanh,Adagrad,16,1,2,0.34431642
28,1.0,tanh,Adagrad,10,1,2,0.34008998
20,1.0,tanh,Adagrad,12,1,2,0.32596877
20,1.0,tanh,Adagrad,10,1,2,0.32530943
22,1.0,tanh,Adagrad,8,1,2,0.29051515
26,1.0,tanh,Adagrad,14,1,2,0.2798454
24,1.0,tanh,Adagrad,8,1,2,0.2529802
