epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,12,1,2,0.56523
26,1.0,tanh,Adagrad,12,1,2,0.5644992
28,1.0,tanh,Adagrad,8,1,2,0.5540076
30,1.0,tanh,Adagrad,10,1,2,0.51435214
30,1.0,tanh,Adagrad,12,1,2,0.51424474
22,1.0,tanh,Adagrad,12,1,2,0.489001
26,1.0,tanh,Adagrad,16,1,2,0.48558086
24,1.0,tanh,Adagrad,14,1,2,0.47739428
22,1.0,tanh,Adagrad,14,1,2,0.47338676
26,1.0,tanh,Adagrad,14,1,2,0.47250524
28,1.0,tanh,Adagrad,6,1,2,0.46298492
26,1.0,tanh,Adagrad,6,1,2,0.44089824
20,1.0,tanh,Adagrad,10,1,2,0.4334281
28,1.0,tanh,Adagrad,14,1,2,0.40887433
20,1.0,tanh,Adagrad,6,1,2,0.40045542
24,1.0,tanh,Adagrad,6,1,2,0.3871365
24,1.0,tanh,Adagrad,10,1,2,0.36701638
20,1.0,tanh,Adagrad,8,1,2,0.3646888
26,1.0,tanh,Adagrad,10,1,2,0.35013077
20,1.0,tanh,Adagrad,14,1,2,0.3307378
28,1.0,tanh,Adagrad,12,1,2,0.2755203
28,1.0,tanh,Adagrad,10,1,2,0.2739245
22,1.0,tanh,Adagrad,16,1,2,0.2735515
30,1.0,tanh,Adagrad,8,1,2,0.27048668
22,1.0,tanh,Adagrad,8,1,2,0.2591767
30,1.0,tanh,Adagrad,16,1,2,0.25535667
30,1.0,tanh,Adagrad,6,1,2,0.25412542
24,1.0,tanh,Adagrad,16,1,2,0.24014902
30,1.0,tanh,Adagrad,14,1,2,0.2243991
24,1.0,tanh,Adagrad,8,1,2,0.17839913
22,1.0,tanh,Adagrad,6,1,2,0.17257464
28,1.0,tanh,Adagrad,16,1,2,0.16412155
22,1.0,tanh,Adagrad,10,1,2,0.08700862
26,1.0,tanh,Adagrad,8,1,2,0.08583981
20,1.0,tanh,Adagrad,16,1,2,0.08217571
20,1.0,tanh,Adagrad,12,1,2,0.05625259
