epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,Adagrad,8,1,2,0.6746698
28,1.0,tanh,Adagrad,6,1,2,0.67169654
28,1.0,tanh,Adagrad,10,1,2,0.664922
30,1.0,tanh,Adagrad,10,1,2,0.65485513
28,1.0,tanh,Adagrad,16,1,2,0.6541936
28,1.0,tanh,Adagrad,14,1,2,0.65121144
26,1.0,tanh,Adagrad,12,1,2,0.65094024
20,1.0,tanh,Adagrad,10,1,2,0.64962983
22,1.0,tanh,Adagrad,8,1,2,0.64761275
24,1.0,tanh,Adagrad,10,1,2,0.6446881
26,1.0,tanh,Adagrad,6,1,2,0.6443283
24,1.0,tanh,Adagrad,16,1,2,0.6411258
28,1.0,tanh,Adagrad,8,1,2,0.6408634
26,1.0,tanh,Adagrad,10,1,2,0.63572145
30,1.0,tanh,Adagrad,8,1,2,0.63302577
30,1.0,tanh,Adagrad,14,1,2,0.6329192
22,1.0,tanh,Adagrad,10,1,2,0.6315235
22,1.0,tanh,Adagrad,16,1,2,0.6283056
30,1.0,tanh,Adagrad,16,1,2,0.62281066
20,1.0,tanh,Adagrad,14,1,2,0.6200784
26,1.0,tanh,Adagrad,8,1,2,0.6194081
24,1.0,tanh,Adagrad,14,1,2,0.6173243
20,1.0,tanh,Adagrad,12,1,2,0.6160978
22,1.0,tanh,Adagrad,12,1,2,0.61391276
26,1.0,tanh,Adagrad,16,1,2,0.6103945
24,1.0,tanh,Adagrad,6,1,2,0.6065143
28,1.0,tanh,Adagrad,12,1,2,0.606312
24,1.0,tanh,Adagrad,8,1,2,0.60135394
30,1.0,tanh,Adagrad,6,1,2,0.58454156
20,1.0,tanh,Adagrad,16,1,2,0.5720758
26,1.0,tanh,Adagrad,14,1,2,0.56746614
30,1.0,tanh,Adagrad,12,1,2,0.5650282
20,1.0,tanh,Adagrad,6,1,2,0.55896664
24,1.0,tanh,Adagrad,12,1,2,0.5409708
22,1.0,tanh,Adagrad,14,1,2,0.5091594
22,1.0,tanh,Adagrad,6,1,2,0.4890989
