epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
26,1.0,tanh,Adagrad,6,1,2,0.253204
24,1.0,tanh,Adagrad,6,1,2,0.25044596
22,1.0,tanh,Adagrad,6,1,2,0.24473776
22,1.0,tanh,Adagrad,8,1,2,0.24110769
28,1.0,tanh,Adagrad,10,1,2,0.23446642
26,1.0,tanh,Adagrad,12,1,2,0.2294911
20,1.0,tanh,Adagrad,6,1,2,0.2273267
20,1.0,tanh,Adagrad,10,1,2,0.21972814
26,1.0,tanh,Adagrad,8,1,2,0.20746301
28,1.0,tanh,Adagrad,8,1,2,0.20361765
30,1.0,tanh,Adagrad,12,1,2,0.20148957
28,1.0,tanh,Adagrad,6,1,2,0.18614452
30,1.0,tanh,Adagrad,6,1,2,0.18565784
30,1.0,tanh,Adagrad,8,1,2,0.16780643
24,1.0,tanh,Adagrad,10,1,2,0.16682257
22,1.0,tanh,Adagrad,12,1,2,0.132086
24,1.0,tanh,Adagrad,8,1,2,0.11705866
30,1.0,tanh,Adagrad,10,1,2,0.11593768
26,1.0,tanh,Adagrad,10,1,2,0.11235854
20,1.0,tanh,Adagrad,8,1,2,-0.06305199
22,1.0,tanh,Adagrad,10,1,2,-0.044406455
20,1.0,tanh,Adagrad,12,1,2,-0.044404447
26,1.0,tanh,Adagrad,16,1,2,-0.044359967
22,1.0,tanh,Adagrad,14,1,2,-0.04435427
24,1.0,tanh,Adagrad,12,1,2,-0.044351716
28,1.0,tanh,Adagrad,12,1,2,-0.044349816
26,1.0,tanh,Adagrad,14,1,2,-0.044348974
24,1.0,tanh,Adagrad,14,1,2,-0.044348877
30,1.0,tanh,Adagrad,14,1,2,-0.0443459
28,1.0,tanh,Adagrad,14,1,2,-0.044345737
22,1.0,tanh,Adagrad,16,1,2,-0.04434437
20,1.0,tanh,Adagrad,16,1,2,-0.04434428
24,1.0,tanh,Adagrad,16,1,2,-0.044344243
20,1.0,tanh,Adagrad,14,1,2,-0.044344194
30,1.0,tanh,Adagrad,16,1,2,-0.044342928
28,1.0,tanh,Adagrad,16,1,2,-0.044342402
