epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
26,1.0,tanh,Adagrad,8,1,2,0.6145205
24,1.0,tanh,Adagrad,6,1,2,0.6032649
26,1.0,tanh,Adagrad,10,1,2,0.58374274
30,1.0,tanh,Adagrad,10,1,2,0.58341664
20,1.0,tanh,Adagrad,12,1,2,0.58265126
28,1.0,tanh,Adagrad,10,1,2,0.57662207
26,1.0,tanh,Adagrad,14,1,2,0.56783336
28,1.0,tanh,Adagrad,8,1,2,0.5661042
26,1.0,tanh,Adagrad,16,1,2,0.56139493
20,1.0,tanh,Adagrad,10,1,2,0.5580501
28,1.0,tanh,Adagrad,14,1,2,0.5574843
28,1.0,tanh,Adagrad,12,1,2,0.5557905
30,1.0,tanh,Adagrad,12,1,2,0.55219597
22,1.0,tanh,Adagrad,16,1,2,0.551939
30,1.0,tanh,Adagrad,14,1,2,0.54849213
24,1.0,tanh,Adagrad,8,1,2,0.5467846
22,1.0,tanh,Adagrad,12,1,2,0.5434496
24,1.0,tanh,Adagrad,10,1,2,0.54312474
22,1.0,tanh,Adagrad,10,1,2,0.542822
28,1.0,tanh,Adagrad,16,1,2,0.5426973
30,1.0,tanh,Adagrad,16,1,2,0.5400141
20,1.0,tanh,Adagrad,16,1,2,0.539694
24,1.0,tanh,Adagrad,16,1,2,0.5392471
24,1.0,tanh,Adagrad,12,1,2,0.5388511
22,1.0,tanh,Adagrad,8,1,2,0.5387843
22,1.0,tanh,Adagrad,6,1,2,0.53828615
26,1.0,tanh,Adagrad,12,1,2,0.5376896
30,1.0,tanh,Adagrad,6,1,2,0.5353324
26,1.0,tanh,Adagrad,6,1,2,0.53483576
20,1.0,tanh,Adagrad,14,1,2,0.5342549
28,1.0,tanh,Adagrad,6,1,2,0.53327245
20,1.0,tanh,Adagrad,6,1,2,0.5282111
24,1.0,tanh,Adagrad,14,1,2,0.5268082
20,1.0,tanh,Adagrad,8,1,2,0.5265144
30,1.0,tanh,Adagrad,8,1,2,0.52521527
22,1.0,tanh,Adagrad,14,1,2,0.51871574
