epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,16,1,2,0.7004634
26,1.0,tanh,Adagrad,8,1,2,0.69615597
30,1.0,tanh,Adagrad,10,1,2,0.68864965
26,1.0,tanh,Adagrad,10,1,2,0.6720853
28,1.0,tanh,Adagrad,12,1,2,0.6539115
20,1.0,tanh,Adagrad,8,1,2,0.65227413
26,1.0,tanh,Adagrad,16,1,2,0.6505778
22,1.0,tanh,Adagrad,10,1,2,0.6489365
24,1.0,tanh,Adagrad,10,1,2,0.64406955
28,1.0,tanh,Adagrad,6,1,2,0.6384857
28,1.0,tanh,Adagrad,8,1,2,0.6357106
28,1.0,tanh,Adagrad,10,1,2,0.6316798
24,1.0,tanh,Adagrad,12,1,2,0.6270265
24,1.0,tanh,Adagrad,14,1,2,0.62548405
24,1.0,tanh,Adagrad,16,1,2,0.6213566
28,1.0,tanh,Adagrad,16,1,2,0.6148814
22,1.0,tanh,Adagrad,14,1,2,0.6101206
30,1.0,tanh,Adagrad,14,1,2,0.595809
20,1.0,tanh,Adagrad,6,1,2,0.5921713
22,1.0,tanh,Adagrad,6,1,2,0.5875948
20,1.0,tanh,Adagrad,12,1,2,0.5825697
24,1.0,tanh,Adagrad,6,1,2,0.581177
30,1.0,tanh,Adagrad,8,1,2,0.575745
22,1.0,tanh,Adagrad,12,1,2,0.5724032
28,1.0,tanh,Adagrad,14,1,2,0.56999916
22,1.0,tanh,Adagrad,16,1,2,0.5695088
24,1.0,tanh,Adagrad,8,1,2,0.565955
22,1.0,tanh,Adagrad,8,1,2,0.55877244
30,1.0,tanh,Adagrad,12,1,2,0.55208766
26,1.0,tanh,Adagrad,12,1,2,0.5507137
26,1.0,tanh,Adagrad,14,1,2,0.54203314
20,1.0,tanh,Adagrad,16,1,2,0.5395216
30,1.0,tanh,Adagrad,6,1,2,0.5372287
20,1.0,tanh,Adagrad,14,1,2,0.5156588
20,1.0,tanh,Adagrad,10,1,2,0.51402575
26,1.0,tanh,Adagrad,6,1,2,0.45314717
