epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
22,1.0,tanh,Adagrad,16,1,2,0.8043216
28,1.0,tanh,Adagrad,16,1,2,0.7769423
20,1.0,tanh,Adagrad,8,1,2,0.7757258
26,1.0,tanh,Adagrad,12,1,2,0.76189584
30,1.0,tanh,Adagrad,10,1,2,0.74772626
20,1.0,tanh,Adagrad,6,1,2,0.7457666
30,1.0,tanh,Adagrad,8,1,2,0.7310705
26,1.0,tanh,Adagrad,16,1,2,0.7277479
30,1.0,tanh,Adagrad,12,1,2,0.71430296
28,1.0,tanh,Adagrad,6,1,2,0.6672842
24,1.0,tanh,Adagrad,16,1,2,0.6662147
30,1.0,tanh,Adagrad,14,1,2,0.6655914
22,1.0,tanh,Adagrad,14,1,2,0.6588631
30,1.0,tanh,Adagrad,6,1,2,0.6466955
28,1.0,tanh,Adagrad,14,1,2,0.62603974
20,1.0,tanh,Adagrad,12,1,2,0.62206733
24,1.0,tanh,Adagrad,6,1,2,0.59092575
20,1.0,tanh,Adagrad,10,1,2,0.5900851
26,1.0,tanh,Adagrad,6,1,2,0.58131003
28,1.0,tanh,Adagrad,10,1,2,0.5488327
24,1.0,tanh,Adagrad,8,1,2,0.54346204
24,1.0,tanh,Adagrad,12,1,2,0.5131778
30,1.0,tanh,Adagrad,16,1,2,0.5039582
22,1.0,tanh,Adagrad,8,1,2,0.4673296
20,1.0,tanh,Adagrad,14,1,2,0.44148105
26,1.0,tanh,Adagrad,10,1,2,0.43930387
26,1.0,tanh,Adagrad,8,1,2,0.39814383
22,1.0,tanh,Adagrad,10,1,2,0.3656604
28,1.0,tanh,Adagrad,12,1,2,0.35441214
22,1.0,tanh,Adagrad,6,1,2,0.3322342
26,1.0,tanh,Adagrad,14,1,2,0.3025854
24,1.0,tanh,Adagrad,14,1,2,0.23101595
20,1.0,tanh,Adagrad,16,1,2,0.1872636
22,1.0,tanh,Adagrad,12,1,2,0.14734529
24,1.0,tanh,Adagrad,10,1,2,0.049756892
28,1.0,tanh,Adagrad,8,1,2,-0.0028044034
