epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,10,1,2,0.79240435
22,1.0,tanh,Adagrad,6,1,2,0.7834193
28,1.0,tanh,Adagrad,8,1,2,0.78066796
30,1.0,tanh,Adagrad,6,1,2,0.7679283
28,1.0,tanh,Adagrad,12,1,2,0.7660904
28,1.0,tanh,Adagrad,16,1,2,0.7625407
22,1.0,tanh,Adagrad,8,1,2,0.75245464
30,1.0,tanh,Adagrad,16,1,2,0.7426875
26,1.0,tanh,Adagrad,8,1,2,0.6914404
24,1.0,tanh,Adagrad,12,1,2,0.689965
24,1.0,tanh,Adagrad,14,1,2,0.6875791
30,1.0,tanh,Adagrad,14,1,2,0.6132724
22,1.0,tanh,Adagrad,14,1,2,0.5882093
26,1.0,tanh,Adagrad,6,1,2,0.5597781
20,1.0,tanh,Adagrad,8,1,2,0.5544491
24,1.0,tanh,Adagrad,8,1,2,0.5325224
28,1.0,tanh,Adagrad,14,1,2,0.53022575
26,1.0,tanh,Adagrad,10,1,2,0.51910037
30,1.0,tanh,Adagrad,10,1,2,0.50050855
30,1.0,tanh,Adagrad,12,1,2,0.49185628
28,1.0,tanh,Adagrad,6,1,2,0.43105042
26,1.0,tanh,Adagrad,12,1,2,0.4128495
22,1.0,tanh,Adagrad,12,1,2,0.31284556
20,1.0,tanh,Adagrad,6,1,2,0.31168014
24,1.0,tanh,Adagrad,6,1,2,0.25361985
30,1.0,tanh,Adagrad,8,1,2,0.2056464
24,1.0,tanh,Adagrad,10,1,2,0.15504795
26,1.0,tanh,Adagrad,14,1,2,0.050749205
26,1.0,tanh,Adagrad,16,1,2,-0.06269644
22,1.0,tanh,Adagrad,10,1,2,-0.027138991
24,1.0,tanh,Adagrad,16,1,2,-0.026565557
20,1.0,tanh,Adagrad,14,1,2,-0.026397051
22,1.0,tanh,Adagrad,16,1,2,-0.026202207
20,1.0,tanh,Adagrad,12,1,2,-0.024598995
20,1.0,tanh,Adagrad,16,1,2,-0.022434203
20,1.0,tanh,Adagrad,10,1,2,-0.008425972
