epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,16,1,2,0.50951463
24,1.0,tanh,Adagrad,14,1,2,0.49219218
22,1.0,tanh,Adagrad,10,1,2,0.48768023
24,1.0,tanh,Adagrad,6,1,2,0.48358008
22,1.0,tanh,Adagrad,12,1,2,0.4822769
26,1.0,tanh,Adagrad,10,1,2,0.46561226
20,1.0,tanh,Adagrad,6,1,2,0.46534395
22,1.0,tanh,Adagrad,8,1,2,0.46357608
30,1.0,tanh,Adagrad,8,1,2,0.46283028
28,1.0,tanh,Adagrad,10,1,2,0.45860577
28,1.0,tanh,Adagrad,12,1,2,0.45628297
26,1.0,tanh,Adagrad,8,1,2,0.4556367
24,1.0,tanh,Adagrad,8,1,2,0.45525637
24,1.0,tanh,Adagrad,10,1,2,0.4532585
26,1.0,tanh,Adagrad,6,1,2,0.45190236
28,1.0,tanh,Adagrad,6,1,2,0.44766745
24,1.0,tanh,Adagrad,12,1,2,0.40756148
22,1.0,tanh,Adagrad,14,1,2,0.3838998
26,1.0,tanh,Adagrad,14,1,2,0.37987942
30,1.0,tanh,Adagrad,6,1,2,0.3747338
28,1.0,tanh,Adagrad,8,1,2,0.3744413
30,1.0,tanh,Adagrad,14,1,2,0.35368663
30,1.0,tanh,Adagrad,12,1,2,0.3536352
22,1.0,tanh,Adagrad,6,1,2,0.35349253
30,1.0,tanh,Adagrad,10,1,2,0.3328808
20,1.0,tanh,Adagrad,10,1,2,0.31091067
26,1.0,tanh,Adagrad,12,1,2,0.3025496
20,1.0,tanh,Adagrad,16,1,2,0.269774
28,1.0,tanh,Adagrad,14,1,2,0.1950268
26,1.0,tanh,Adagrad,16,1,2,0.130982
30,1.0,tanh,Adagrad,16,1,2,0.11994286
20,1.0,tanh,Adagrad,8,1,2,0.10891787
22,1.0,tanh,Adagrad,16,1,2,0.10341321
20,1.0,tanh,Adagrad,12,1,2,0.09623758
20,1.0,tanh,Adagrad,14,1,2,0.06315328
24,1.0,tanh,Adagrad,16,1,2,0.041373003
