epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,6,1,2,0.7433825
24,1.0,tanh,Adagrad,8,1,2,0.7013415
22,1.0,tanh,Adagrad,10,1,2,0.69023085
20,1.0,tanh,Adagrad,8,1,2,0.6710752
30,1.0,tanh,Adagrad,10,1,2,0.6686987
28,1.0,tanh,Adagrad,12,1,2,0.66747254
28,1.0,tanh,Adagrad,6,1,2,0.6528148
24,1.0,tanh,Adagrad,6,1,2,0.64968663
20,1.0,tanh,Adagrad,6,1,2,0.64810956
26,1.0,tanh,Adagrad,8,1,2,0.63095826
30,1.0,tanh,Adagrad,12,1,2,0.630092
28,1.0,tanh,Adagrad,8,1,2,0.6156448
26,1.0,tanh,Adagrad,10,1,2,0.61422163
24,1.0,tanh,Adagrad,12,1,2,0.6116515
30,1.0,tanh,Adagrad,8,1,2,0.6114631
24,1.0,tanh,Adagrad,10,1,2,0.60128284
22,1.0,tanh,Adagrad,8,1,2,0.5723131
26,1.0,tanh,Adagrad,6,1,2,0.5699975
26,1.0,tanh,Adagrad,12,1,2,0.53099924
22,1.0,tanh,Adagrad,6,1,2,0.51342225
22,1.0,tanh,Adagrad,12,1,2,0.48817214
20,1.0,tanh,Adagrad,10,1,2,0.18629311
20,1.0,tanh,Adagrad,12,1,2,-0.027785199
20,1.0,tanh,Adagrad,14,1,2,-0.026905416
28,1.0,tanh,Adagrad,10,1,2,-0.026634036
28,1.0,tanh,Adagrad,14,1,2,-0.02574713
30,1.0,tanh,Adagrad,14,1,2,-0.02525526
20,1.0,tanh,Adagrad,16,1,2,-0.02510188
22,1.0,tanh,Adagrad,14,1,2,-0.024317965
24,1.0,tanh,Adagrad,14,1,2,-0.024251988
22,1.0,tanh,Adagrad,16,1,2,-0.024018306
28,1.0,tanh,Adagrad,16,1,2,-0.023387525
24,1.0,tanh,Adagrad,16,1,2,-0.02325566
26,1.0,tanh,Adagrad,14,1,2,-0.023164785
26,1.0,tanh,Adagrad,16,1,2,-0.022864418
30,1.0,tanh,Adagrad,16,1,2,-0.022705412
