epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,16,1,2,0.79564315
28,1.0,tanh,Adagrad,10,1,2,0.7918396
20,1.0,tanh,Adagrad,12,1,2,0.7879156
22,1.0,tanh,Adagrad,16,1,2,0.7834601
22,1.0,tanh,Adagrad,8,1,2,0.7805946
20,1.0,tanh,Adagrad,14,1,2,0.7667085
22,1.0,tanh,Adagrad,14,1,2,0.76313066
26,1.0,tanh,Adagrad,14,1,2,0.7616011
22,1.0,tanh,Adagrad,12,1,2,0.7590645
30,1.0,tanh,Adagrad,12,1,2,0.7541606
28,1.0,tanh,Adagrad,14,1,2,0.7520336
26,1.0,tanh,Adagrad,12,1,2,0.7502747
24,1.0,tanh,Adagrad,10,1,2,0.7500576
20,1.0,tanh,Adagrad,10,1,2,0.7466134
26,1.0,tanh,Adagrad,16,1,2,0.7397448
28,1.0,tanh,Adagrad,16,1,2,0.73864716
22,1.0,tanh,Adagrad,10,1,2,0.73568326
24,1.0,tanh,Adagrad,8,1,2,0.73171693
30,1.0,tanh,Adagrad,8,1,2,0.730889
26,1.0,tanh,Adagrad,10,1,2,0.71601087
28,1.0,tanh,Adagrad,8,1,2,0.71538925
30,1.0,tanh,Adagrad,10,1,2,0.7121467
22,1.0,tanh,Adagrad,6,1,2,0.7102159
26,1.0,tanh,Adagrad,8,1,2,0.7077801
24,1.0,tanh,Adagrad,16,1,2,0.68740755
20,1.0,tanh,Adagrad,16,1,2,0.68439835
28,1.0,tanh,Adagrad,12,1,2,0.67358094
30,1.0,tanh,Adagrad,6,1,2,0.66146755
24,1.0,tanh,Adagrad,6,1,2,0.6590051
24,1.0,tanh,Adagrad,14,1,2,0.6489299
30,1.0,tanh,Adagrad,14,1,2,0.6423511
20,1.0,tanh,Adagrad,8,1,2,0.6096561
26,1.0,tanh,Adagrad,6,1,2,0.57604057
24,1.0,tanh,Adagrad,12,1,2,0.57462674
28,1.0,tanh,Adagrad,6,1,2,0.5397193
20,1.0,tanh,Adagrad,6,1,2,0.47004595
