epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
22,1.0,tanh,Adagrad,10,1,2,0.537394
20,1.0,tanh,Adagrad,12,1,2,0.5326196
20,1.0,tanh,Adagrad,8,1,2,0.5090351
20,1.0,tanh,Adagrad,10,1,2,0.49564692
30,1.0,tanh,Adagrad,16,1,2,0.4943933
26,1.0,tanh,Adagrad,10,1,2,0.49391636
24,1.0,tanh,Adagrad,16,1,2,0.4815874
26,1.0,tanh,Adagrad,14,1,2,0.47905037
20,1.0,tanh,Adagrad,16,1,2,0.47406107
28,1.0,tanh,Adagrad,16,1,2,0.4657196
28,1.0,tanh,Adagrad,8,1,2,0.46423784
22,1.0,tanh,Adagrad,8,1,2,0.4628407
26,1.0,tanh,Adagrad,16,1,2,0.43771783
28,1.0,tanh,Adagrad,14,1,2,0.43605766
20,1.0,tanh,Adagrad,14,1,2,0.43405524
24,1.0,tanh,Adagrad,8,1,2,0.43375206
24,1.0,tanh,Adagrad,12,1,2,0.4324298
24,1.0,tanh,Adagrad,10,1,2,0.43177518
22,1.0,tanh,Adagrad,16,1,2,0.4245026
30,1.0,tanh,Adagrad,12,1,2,0.40963244
26,1.0,tanh,Adagrad,8,1,2,0.40219378
22,1.0,tanh,Adagrad,14,1,2,0.39641783
30,1.0,tanh,Adagrad,8,1,2,0.38820964
22,1.0,tanh,Adagrad,12,1,2,0.3481122
24,1.0,tanh,Adagrad,14,1,2,0.3461703
26,1.0,tanh,Adagrad,6,1,2,0.3197742
22,1.0,tanh,Adagrad,6,1,2,0.3143852
20,1.0,tanh,Adagrad,6,1,2,0.30807787
30,1.0,tanh,Adagrad,6,1,2,0.2965478
28,1.0,tanh,Adagrad,12,1,2,0.2938627
26,1.0,tanh,Adagrad,12,1,2,0.28293478
30,1.0,tanh,Adagrad,10,1,2,0.2597398
28,1.0,tanh,Adagrad,10,1,2,0.2505076
30,1.0,tanh,Adagrad,14,1,2,0.24787639
24,1.0,tanh,Adagrad,6,1,2,0.12743542
28,1.0,tanh,Adagrad,6,1,2,0.06269825
