epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,8,1,2,0.69028646
26,1.0,tanh,Adagrad,10,1,2,0.6587493
22,1.0,tanh,Adagrad,6,1,2,0.6566718
22,1.0,tanh,Adagrad,8,1,2,0.6273582
22,1.0,tanh,Adagrad,10,1,2,0.60780716
22,1.0,tanh,Adagrad,14,1,2,0.6024487
30,1.0,tanh,Adagrad,12,1,2,0.5909911
28,1.0,tanh,Adagrad,6,1,2,0.5893793
24,1.0,tanh,Adagrad,12,1,2,0.58743155
28,1.0,tanh,Adagrad,12,1,2,0.5671094
24,1.0,tanh,Adagrad,6,1,2,0.5499687
24,1.0,tanh,Adagrad,10,1,2,0.5482961
28,1.0,tanh,Adagrad,14,1,2,0.5384825
24,1.0,tanh,Adagrad,16,1,2,0.5379243
20,1.0,tanh,Adagrad,10,1,2,0.5340774
26,1.0,tanh,Adagrad,14,1,2,0.5298252
24,1.0,tanh,Adagrad,8,1,2,0.5247303
24,1.0,tanh,Adagrad,14,1,2,0.52184325
20,1.0,tanh,Adagrad,16,1,2,0.51961774
26,1.0,tanh,Adagrad,6,1,2,0.5180295
20,1.0,tanh,Adagrad,12,1,2,0.51638514
30,1.0,tanh,Adagrad,6,1,2,0.50808465
26,1.0,tanh,Adagrad,16,1,2,0.49713296
20,1.0,tanh,Adagrad,6,1,2,0.49392608
28,1.0,tanh,Adagrad,8,1,2,0.49095714
26,1.0,tanh,Adagrad,12,1,2,0.49018314
30,1.0,tanh,Adagrad,14,1,2,0.4854973
30,1.0,tanh,Adagrad,10,1,2,0.46693337
28,1.0,tanh,Adagrad,10,1,2,0.43619263
22,1.0,tanh,Adagrad,16,1,2,0.43255535
20,1.0,tanh,Adagrad,8,1,2,0.43139276
30,1.0,tanh,Adagrad,16,1,2,0.4286282
26,1.0,tanh,Adagrad,8,1,2,0.3328335
22,1.0,tanh,Adagrad,12,1,2,0.25986043
28,1.0,tanh,Adagrad,16,1,2,0.25459784
20,1.0,tanh,Adagrad,14,1,2,0.083159044
