epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
70,1.0,tanh,RMSprop,10,1,2,0.43624455
25,1.0,tanh,RMSprop,10,1,2,0.43544576
95,1.0,tanh,RMSprop,10,1,2,0.41634622
90,1.0,tanh,RMSprop,10,1,2,0.411675
65,1.0,tanh,RMSprop,10,1,2,0.39195555
45,1.0,tanh,RMSprop,10,1,2,0.3864128
30,1.0,tanh,RMSprop,10,1,2,0.35965037
80,1.0,tanh,RMSprop,10,1,2,0.34800395
60,1.0,tanh,RMSprop,10,1,2,0.34742263
100,1.0,tanh,RMSprop,10,1,2,0.3040027
35,1.0,tanh,RMSprop,10,1,2,0.28668654
40,1.0,tanh,RMSprop,10,1,2,0.2811368
55,1.0,tanh,RMSprop,10,1,2,0.15982395
75,1.0,tanh,RMSprop,10,1,2,0.133386
85,1.0,tanh,RMSprop,10,1,2,0.07330369
50,1.0,tanh,RMSprop,10,1,2,0.06256101
