epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,RMSprop,10,1,2,0.68236023
40,1.0,tanh,RMSprop,10,1,2,0.6681307
10,1.0,tanh,RMSprop,15,1,2,0.65378946
50,1.0,tanh,RMSprop,5,1,2,0.62898815
15,1.0,tanh,RMSprop,10,1,2,0.6260373
80,1.0,tanh,RMSprop,5,1,2,0.6238259
100,1.0,tanh,RMSprop,10,1,2,0.6238081
20,1.0,tanh,RMSprop,20,1,2,0.6211997
30,1.0,tanh,RMSprop,15,1,2,0.5967596
15,1.0,tanh,RMSprop,15,1,2,0.5882647
75,1.0,tanh,RMSprop,5,1,2,0.5678618
65,1.0,tanh,RMSprop,10,1,2,0.5671564
45,1.0,tanh,RMSprop,5,1,2,0.5668027
50,1.0,tanh,RMSprop,20,1,2,0.56670934
85,1.0,tanh,RMSprop,5,1,2,0.55915886
15,1.0,tanh,RMSprop,5,1,2,0.5576694
70,1.0,tanh,RMSprop,5,1,2,0.55337685
35,1.0,tanh,RMSprop,15,1,2,0.5513146
55,1.0,tanh,RMSprop,20,1,2,0.5442927
70,1.0,tanh,RMSprop,20,1,2,0.53382653
55,1.0,tanh,RMSprop,10,1,2,0.53318936
60,1.0,tanh,RMSprop,20,1,2,0.53185445
20,1.0,tanh,RMSprop,10,1,2,0.53133154
5,1.0,tanh,RMSprop,20,1,2,0.53122187
40,1.0,tanh,RMSprop,5,1,2,0.5293952
45,1.0,tanh,RMSprop,10,1,2,0.527801
35,1.0,tanh,RMSprop,10,1,2,0.5240725
35,1.0,tanh,RMSprop,20,1,2,0.52189076
30,1.0,tanh,RMSprop,5,1,2,0.51232207
90,1.0,tanh,RMSprop,5,1,2,0.5083307
90,1.0,tanh,RMSprop,20,1,2,0.5057002
55,1.0,tanh,RMSprop,5,1,2,0.50562525
45,1.0,tanh,RMSprop,25,1,2,0.5003962
5,1.0,tanh,RMSprop,10,1,2,0.5003467
65,1.0,tanh,RMSprop,20,1,2,0.4944975
40,1.0,tanh,RMSprop,20,1,2,0.48934156
35,1.0,tanh,RMSprop,5,1,2,0.48542166
50,1.0,tanh,RMSprop,15,1,2,0.4828946
60,1.0,tanh,RMSprop,15,1,2,0.47474653
