epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
65,1.0,tanh,RMSprop,10,1,2,0.86376196
85,1.0,tanh,RMSprop,10,1,2,0.7945026
50,1.0,tanh,RMSprop,15,1,2,0.78322035
70,1.0,tanh,RMSprop,10,1,2,0.7705989
40,1.0,tanh,RMSprop,15,1,2,0.77033055
80,1.0,tanh,RMSprop,5,1,2,0.76080674
35,1.0,tanh,RMSprop,10,1,2,0.7605819
25,1.0,tanh,RMSprop,10,1,2,0.75747436
15,1.0,tanh,RMSprop,15,1,2,0.75533175
100,1.0,tanh,RMSprop,50,1,2,0.7525163
10,1.0,tanh,RMSprop,10,1,2,0.7517107
45,1.0,tanh,RMSprop,10,1,2,0.75144273
95,1.0,tanh,RMSprop,40,1,2,0.7474075
100,1.0,tanh,RMSprop,10,1,2,0.7468215
95,1.0,tanh,RMSprop,10,1,2,0.7464022
30,1.0,tanh,RMSprop,15,1,2,0.745437
55,1.0,tanh,RMSprop,85,1,2,0.7449755
20,1.0,tanh,RMSprop,15,1,2,0.74482083
25,1.0,tanh,RMSprop,15,1,2,0.7448137
15,1.0,tanh,RMSprop,10,1,2,0.7438492
80,1.0,tanh,RMSprop,10,1,2,0.74300027
95,1.0,tanh,RMSprop,5,1,2,0.73658967
40,1.0,tanh,RMSprop,20,1,2,0.7350621
55,1.0,tanh,RMSprop,10,1,2,0.731977
50,1.0,tanh,RMSprop,95,1,2,0.73043406
30,1.0,tanh,RMSprop,5,1,2,0.729624
65,1.0,tanh,RMSprop,5,1,2,0.72844446
80,1.0,tanh,RMSprop,90,1,2,0.7281112
20,1.0,tanh,RMSprop,10,1,2,0.728102
75,1.0,tanh,RMSprop,10,1,2,0.7268926
80,1.0,tanh,RMSprop,85,1,2,0.7245616
45,1.0,tanh,RMSprop,15,1,2,0.722117
60,1.0,tanh,RMSprop,85,1,2,0.7197961
55,1.0,tanh,RMSprop,5,1,2,0.71759975
15,1.0,tanh,RMSprop,5,1,2,0.7157714
70,1.0,tanh,RMSprop,90,1,2,0.71564114
100,1.0,tanh,RMSprop,15,1,2,0.7116923
95,1.0,tanh,RMSprop,100,1,2,0.71059734
50,1.0,tanh,RMSprop,10,1,2,0.7098239
10,1.0,tanh,RMSprop,15,1,2,0.70597655
85,1.0,tanh,RMSprop,60,1,2,0.7017747
40,1.0,tanh,RMSprop,5,1,2,0.70132387
70,1.0,tanh,RMSprop,5,1,2,0.6976194
50,1.0,tanh,RMSprop,5,1,2,0.695987
65,1.0,tanh,RMSprop,100,1,2,0.694632
90,1.0,tanh,RMSprop,10,1,2,0.6942602
95,1.0,tanh,RMSprop,75,1,2,0.6935252
55,1.0,tanh,RMSprop,95,1,2,0.689711
60,1.0,tanh,RMSprop,60,1,2,0.6870621
55,1.0,tanh,RMSprop,100,1,2,0.6853688
40,1.0,tanh,RMSprop,10,1,2,0.6811115
35,1.0,tanh,RMSprop,15,1,2,0.6804788
90,1.0,tanh,RMSprop,30,1,2,0.6800655
65,1.0,tanh,RMSprop,80,1,2,0.67964786
65,1.0,tanh,RMSprop,85,1,2,0.6789904
80,1.0,tanh,RMSprop,100,1,2,0.6789175
90,1.0,tanh,RMSprop,70,1,2,0.6748282
75,1.0,tanh,RMSprop,90,1,2,0.67428064
70,1.0,tanh,RMSprop,55,1,2,0.67423254
95,1.0,tanh,RMSprop,45,1,2,0.67398
5,1.0,tanh,RMSprop,15,1,2,0.6719981
60,1.0,tanh,RMSprop,20,1,2,0.67015606
90,1.0,tanh,RMSprop,5,1,2,0.66695285
75,1.0,tanh,RMSprop,95,1,2,0.66675615
90,1.0,tanh,RMSprop,45,1,2,0.6649552
60,1.0,tanh,RMSprop,10,1,2,0.6636706
100,1.0,tanh,RMSprop,35,1,2,0.66292447
100,1.0,tanh,RMSprop,25,1,2,0.66248745
60,1.0,tanh,RMSprop,65,1,2,0.6624098
70,1.0,tanh,RMSprop,60,1,2,0.6575922
50,1.0,tanh,RMSprop,70,1,2,0.6550187
50,1.0,tanh,RMSprop,100,1,2,0.6542084
75,1.0,tanh,RMSprop,5,1,2,0.65267056
10,1.0,tanh,RMSprop,20,1,2,0.64870256
60,1.0,tanh,RMSprop,75,1,2,0.6483562
60,1.0,tanh,RMSprop,95,1,2,0.64581525
20,1.0,tanh,RMSprop,5,1,2,0.6453094
50,1.0,tanh,RMSprop,25,1,2,0.64524585
100,1.0,tanh,RMSprop,30,1,2,0.64427423
95,1.0,tanh,RMSprop,30,1,2,0.64295423
75,1.0,tanh,RMSprop,80,1,2,0.6406122
10,1.0,tanh,RMSprop,5,1,2,0.6402054
60,1.0,tanh,RMSprop,70,1,2,0.63829786
75,1.0,tanh,RMSprop,100,1,2,0.63688785
100,1.0,tanh,RMSprop,65,1,2,0.63503045
80,1.0,tanh,RMSprop,60,1,2,0.6337248
5,1.0,tanh,RMSprop,10,1,2,0.6330557
60,1.0,tanh,RMSprop,15,1,2,0.6317351
65,1.0,tanh,RMSprop,95,1,2,0.6295999
25,1.0,tanh,RMSprop,20,1,2,0.6289435
65,1.0,tanh,RMSprop,25,1,2,0.62811184
70,1.0,tanh,RMSprop,45,1,2,0.6253059
45,1.0,tanh,RMSprop,95,1,2,0.6219145
75,1.0,tanh,RMSprop,55,1,2,0.62160283
60,1.0,tanh,RMSprop,80,1,2,0.62102795
35,1.0,tanh,RMSprop,5,1,2,0.6147836
45,1.0,tanh,RMSprop,80,1,2,0.6137819
50,1.0,tanh,RMSprop,20,1,2,0.6136877
45,1.0,tanh,RMSprop,5,1,2,0.610755
70,1.0,tanh,RMSprop,100,1,2,0.6100454
100,1.0,tanh,RMSprop,5,1,2,0.6086077
25,1.0,tanh,RMSprop,5,1,2,0.60820377
55,1.0,tanh,RMSprop,80,1,2,0.60794795
90,1.0,tanh,RMSprop,100,1,2,0.60733116
55,1.0,tanh,RMSprop,90,1,2,0.60581964
90,1.0,tanh,RMSprop,65,1,2,0.60499233
30,1.0,tanh,RMSprop,10,1,2,0.60494876
45,1.0,tanh,RMSprop,100,1,2,0.6026163
85,1.0,tanh,RMSprop,55,1,2,0.6001233
30,1.0,tanh,RMSprop,20,1,2,0.59760296
70,1.0,tanh,RMSprop,20,1,2,0.59285
95,1.0,tanh,RMSprop,70,1,2,0.59278923
85,1.0,tanh,RMSprop,45,1,2,0.5904216
65,1.0,tanh,RMSprop,60,1,2,0.58994955
95,1.0,tanh,RMSprop,35,1,2,0.5896161
85,1.0,tanh,RMSprop,5,1,2,0.58845985
75,1.0,tanh,RMSprop,50,1,2,0.5881954
50,1.0,tanh,RMSprop,80,1,2,0.58542806
75,1.0,tanh,RMSprop,45,1,2,0.58439165
50,1.0,tanh,RMSprop,90,1,2,0.58320844
70,1.0,tanh,RMSprop,80,1,2,0.58199143
60,1.0,tanh,RMSprop,5,1,2,0.5812217
95,1.0,tanh,RMSprop,20,1,2,0.5812079
5,1.0,tanh,RMSprop,5,1,2,0.5754107
95,1.0,tanh,RMSprop,50,1,2,0.56985056
70,1.0,tanh,RMSprop,70,1,2,0.5678697
100,1.0,tanh,RMSprop,55,1,2,0.5664368
50,1.0,tanh,RMSprop,85,1,2,0.564826
60,1.0,tanh,RMSprop,50,1,2,0.56075376
70,1.0,tanh,RMSprop,50,1,2,0.5574675
80,1.0,tanh,RMSprop,55,1,2,0.5565577
90,1.0,tanh,RMSprop,15,1,2,0.55563533
90,1.0,tanh,RMSprop,75,1,2,0.5553641
40,1.0,tanh,RMSprop,100,1,2,0.5533766
65,1.0,tanh,RMSprop,75,1,2,0.5523079
80,1.0,tanh,RMSprop,45,1,2,0.5464444
65,1.0,tanh,RMSprop,90,1,2,0.5454878
55,1.0,tanh,RMSprop,75,1,2,0.5448885
85,1.0,tanh,RMSprop,40,1,2,0.5417149
80,1.0,tanh,RMSprop,40,1,2,0.5412704
75,1.0,tanh,RMSprop,60,1,2,0.5389702
65,1.0,tanh,RMSprop,20,1,2,0.53892833
75,1.0,tanh,RMSprop,25,1,2,0.535678
90,1.0,tanh,RMSprop,20,1,2,0.520097
45,1.0,tanh,RMSprop,90,1,2,0.5191142
35,1.0,tanh,RMSprop,20,1,2,0.51715314
85,1.0,tanh,RMSprop,65,1,2,0.51654696
75,1.0,tanh,RMSprop,65,1,2,0.5164466
90,1.0,tanh,RMSprop,35,1,2,0.514055
95,1.0,tanh,RMSprop,25,1,2,0.5117764
55,1.0,tanh,RMSprop,70,1,2,0.50880504
70,1.0,tanh,RMSprop,25,1,2,0.5064934
60,1.0,tanh,RMSprop,100,1,2,0.5050852
45,1.0,tanh,RMSprop,85,1,2,0.49179485
85,1.0,tanh,RMSprop,95,1,2,0.4890513
65,1.0,tanh,RMSprop,65,1,2,0.46441454
20,1.0,tanh,RMSprop,20,1,2,0.46431223
80,1.0,tanh,RMSprop,20,1,2,0.4454185
85,1.0,tanh,RMSprop,35,1,2,0.4368485
80,1.0,tanh,RMSprop,50,1,2,0.43397823
65,1.0,tanh,RMSprop,70,1,2,0.42422098
90,1.0,tanh,RMSprop,40,1,2,0.41795722
40,1.0,tanh,RMSprop,25,1,2,0.41546786
45,1.0,tanh,RMSprop,20,1,2,0.41373524
5,1.0,tanh,RMSprop,20,1,2,0.408198
90,1.0,tanh,RMSprop,55,1,2,0.3893544
55,1.0,tanh,RMSprop,15,1,2,0.37412474
5,1.0,tanh,RMSprop,25,1,2,0.3591525
5,1.0,tanh,RMSprop,30,1,2,0.3581473
5,1.0,tanh,RMSprop,35,1,2,0.35807148
5,1.0,tanh,RMSprop,40,1,2,0.3561834
5,1.0,tanh,RMSprop,45,1,2,0.35301864
5,1.0,tanh,RMSprop,50,1,2,0.35264015
80,1.0,tanh,RMSprop,25,1,2,0.3524042
40,1.0,tanh,RMSprop,85,1,2,0.35237974
40,1.0,tanh,RMSprop,95,1,2,0.35182658
5,1.0,tanh,RMSprop,60,1,2,0.35172692
75,1.0,tanh,RMSprop,30,1,2,0.35120022
5,1.0,tanh,RMSprop,55,1,2,0.35051188
70,1.0,tanh,RMSprop,40,1,2,0.35048628
65,1.0,tanh,RMSprop,55,1,2,0.34994343
75,1.0,tanh,RMSprop,40,1,2,0.3494689
5,1.0,tanh,RMSprop,65,1,2,0.3491128
70,1.0,tanh,RMSprop,35,1,2,0.34857783
80,1.0,tanh,RMSprop,30,1,2,0.34855428
5,1.0,tanh,RMSprop,70,1,2,0.34847227
5,1.0,tanh,RMSprop,75,1,2,0.3476362
5,1.0,tanh,RMSprop,90,1,2,0.34701708
65,1.0,tanh,RMSprop,45,1,2,0.34672296
65,1.0,tanh,RMSprop,40,1,2,0.34637883
5,1.0,tanh,RMSprop,80,1,2,0.3461738
70,1.0,tanh,RMSprop,30,1,2,0.34566924
5,1.0,tanh,RMSprop,85,1,2,0.34211695
60,1.0,tanh,RMSprop,45,1,2,0.34203672
55,1.0,tanh,RMSprop,60,1,2,0.34154332
60,1.0,tanh,RMSprop,35,1,2,0.34108958
60,1.0,tanh,RMSprop,40,1,2,0.34011164
5,1.0,tanh,RMSprop,95,1,2,0.3398639
65,1.0,tanh,RMSprop,30,1,2,0.3394253
65,1.0,tanh,RMSprop,35,1,2,0.3386975
65,1.0,tanh,RMSprop,50,1,2,0.3352251
60,1.0,tanh,RMSprop,30,1,2,0.3341179
55,1.0,tanh,RMSprop,20,1,2,0.33238325
85,1.0,tanh,RMSprop,15,1,2,0.3319348
55,1.0,tanh,RMSprop,50,1,2,0.33179057
55,1.0,tanh,RMSprop,35,1,2,0.33065534
55,1.0,tanh,RMSprop,25,1,2,0.3299185
50,1.0,tanh,RMSprop,75,1,2,0.32962808
55,1.0,tanh,RMSprop,45,1,2,0.32843676
55,1.0,tanh,RMSprop,40,1,2,0.32778084
55,1.0,tanh,RMSprop,55,1,2,0.32700455
50,1.0,tanh,RMSprop,65,1,2,0.32619733
55,1.0,tanh,RMSprop,30,1,2,0.32448488
50,1.0,tanh,RMSprop,55,1,2,0.3240343
5,1.0,tanh,RMSprop,100,1,2,0.3240079
50,1.0,tanh,RMSprop,60,1,2,0.32258993
80,1.0,tanh,RMSprop,35,1,2,0.3207202
45,1.0,tanh,RMSprop,75,1,2,0.32068396
50,1.0,tanh,RMSprop,45,1,2,0.3198923
50,1.0,tanh,RMSprop,50,1,2,0.3198753
45,1.0,tanh,RMSprop,65,1,2,0.318747
45,1.0,tanh,RMSprop,50,1,2,0.31824115
50,1.0,tanh,RMSprop,40,1,2,0.31666535
50,1.0,tanh,RMSprop,35,1,2,0.31642038
45,1.0,tanh,RMSprop,25,1,2,0.31627777
50,1.0,tanh,RMSprop,30,1,2,0.31598338
45,1.0,tanh,RMSprop,30,1,2,0.31388143
45,1.0,tanh,RMSprop,70,1,2,0.3133851
45,1.0,tanh,RMSprop,55,1,2,0.31281927
45,1.0,tanh,RMSprop,60,1,2,0.31162825
40,1.0,tanh,RMSprop,65,1,2,0.31020543
40,1.0,tanh,RMSprop,90,1,2,0.31016755
45,1.0,tanh,RMSprop,35,1,2,0.30993405
45,1.0,tanh,RMSprop,40,1,2,0.30961746
40,1.0,tanh,RMSprop,40,1,2,0.3091836
40,1.0,tanh,RMSprop,75,1,2,0.30904806
40,1.0,tanh,RMSprop,80,1,2,0.3081757
10,1.0,tanh,RMSprop,25,1,2,0.30631164
40,1.0,tanh,RMSprop,70,1,2,0.30609804
40,1.0,tanh,RMSprop,45,1,2,0.3059114
45,1.0,tanh,RMSprop,45,1,2,0.3054195
35,1.0,tanh,RMSprop,30,1,2,0.30372244
35,1.0,tanh,RMSprop,80,1,2,0.3016987
35,1.0,tanh,RMSprop,90,1,2,0.301461
35,1.0,tanh,RMSprop,45,1,2,0.30082187
40,1.0,tanh,RMSprop,35,1,2,0.3006276
35,1.0,tanh,RMSprop,100,1,2,0.30024108
35,1.0,tanh,RMSprop,55,1,2,0.29991987
35,1.0,tanh,RMSprop,85,1,2,0.29974633
35,1.0,tanh,RMSprop,60,1,2,0.2992676
35,1.0,tanh,RMSprop,65,1,2,0.29890805
35,1.0,tanh,RMSprop,70,1,2,0.2980856
55,1.0,tanh,RMSprop,65,1,2,0.29793712
35,1.0,tanh,RMSprop,95,1,2,0.29714176
40,1.0,tanh,RMSprop,60,1,2,0.29705158
60,1.0,tanh,RMSprop,90,1,2,0.29642457
40,1.0,tanh,RMSprop,50,1,2,0.29592928
35,1.0,tanh,RMSprop,35,1,2,0.29575488
100,1.0,tanh,RMSprop,85,1,2,0.29501578
35,1.0,tanh,RMSprop,75,1,2,0.2939134
35,1.0,tanh,RMSprop,40,1,2,0.29361656
30,1.0,tanh,RMSprop,95,1,2,0.293255
30,1.0,tanh,RMSprop,75,1,2,0.29283056
30,1.0,tanh,RMSprop,90,1,2,0.29281908
40,1.0,tanh,RMSprop,55,1,2,0.2926802
10,1.0,tanh,RMSprop,30,1,2,0.29244
30,1.0,tanh,RMSprop,35,1,2,0.29220673
10,1.0,tanh,RMSprop,35,1,2,0.29218873
30,1.0,tanh,RMSprop,30,1,2,0.29202417
35,1.0,tanh,RMSprop,50,1,2,0.29195172
30,1.0,tanh,RMSprop,50,1,2,0.29128742
30,1.0,tanh,RMSprop,100,1,2,0.2911274
25,1.0,tanh,RMSprop,25,1,2,0.290956
30,1.0,tanh,RMSprop,70,1,2,0.29078713
30,1.0,tanh,RMSprop,85,1,2,0.29075933
30,1.0,tanh,RMSprop,55,1,2,0.290548
30,1.0,tanh,RMSprop,60,1,2,0.28967324
30,1.0,tanh,RMSprop,65,1,2,0.28845453
30,1.0,tanh,RMSprop,40,1,2,0.28798655
25,1.0,tanh,RMSprop,60,1,2,0.28753844
30,1.0,tanh,RMSprop,80,1,2,0.28693596
25,1.0,tanh,RMSprop,95,1,2,0.2862015
25,1.0,tanh,RMSprop,30,1,2,0.28532013
25,1.0,tanh,RMSprop,35,1,2,0.28492564
25,1.0,tanh,RMSprop,50,1,2,0.28488144
25,1.0,tanh,RMSprop,65,1,2,0.2847647
25,1.0,tanh,RMSprop,70,1,2,0.2843834
25,1.0,tanh,RMSprop,100,1,2,0.28437153
30,1.0,tanh,RMSprop,45,1,2,0.28375107
15,1.0,tanh,RMSprop,20,1,2,0.28339997
25,1.0,tanh,RMSprop,55,1,2,0.28146932
25,1.0,tanh,RMSprop,45,1,2,0.28145078
20,1.0,tanh,RMSprop,25,1,2,0.28125802
25,1.0,tanh,RMSprop,40,1,2,0.28123525
25,1.0,tanh,RMSprop,85,1,2,0.28013235
25,1.0,tanh,RMSprop,80,1,2,0.27972978
25,1.0,tanh,RMSprop,90,1,2,0.27872938
25,1.0,tanh,RMSprop,75,1,2,0.2784205
20,1.0,tanh,RMSprop,65,1,2,0.27788207
20,1.0,tanh,RMSprop,50,1,2,0.2772776
20,1.0,tanh,RMSprop,45,1,2,0.2770363
20,1.0,tanh,RMSprop,60,1,2,0.27661315
20,1.0,tanh,RMSprop,100,1,2,0.2761897
20,1.0,tanh,RMSprop,70,1,2,0.27608338
20,1.0,tanh,RMSprop,75,1,2,0.27572426
20,1.0,tanh,RMSprop,95,1,2,0.27472603
20,1.0,tanh,RMSprop,85,1,2,0.27356413
20,1.0,tanh,RMSprop,30,1,2,0.27347624
20,1.0,tanh,RMSprop,35,1,2,0.27303395
20,1.0,tanh,RMSprop,80,1,2,0.27169818
20,1.0,tanh,RMSprop,90,1,2,0.27134803
20,1.0,tanh,RMSprop,40,1,2,0.26964834
15,1.0,tanh,RMSprop,60,1,2,0.26938656
10,1.0,tanh,RMSprop,40,1,2,0.26896912
15,1.0,tanh,RMSprop,35,1,2,0.26817086
15,1.0,tanh,RMSprop,30,1,2,0.2670434
15,1.0,tanh,RMSprop,45,1,2,0.26685667
15,1.0,tanh,RMSprop,100,1,2,0.26674724
