epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
65,1.0,tanh,RMSprop,20,1,2,0.8004709
85,1.0,tanh,RMSprop,10,1,2,0.7713192
90,1.0,tanh,RMSprop,25,1,2,0.744938
75,1.0,tanh,RMSprop,10,1,2,0.7415546
60,1.0,tanh,RMSprop,20,1,2,0.7309658
45,1.0,tanh,RMSprop,80,1,2,0.730002
5,1.0,tanh,RMSprop,5,1,2,0.72266746
40,1.0,tanh,RMSprop,15,1,2,0.7213935
10,1.0,tanh,RMSprop,20,1,2,0.71673614
45,1.0,tanh,RMSprop,15,1,2,0.7155722
5,1.0,tanh,RMSprop,10,1,2,0.7150407
60,1.0,tanh,RMSprop,60,1,2,0.712555
55,1.0,tanh,RMSprop,5,1,2,0.71159303
35,1.0,tanh,RMSprop,10,1,2,0.70664775
25,1.0,tanh,RMSprop,10,1,2,0.70625854
5,1.0,tanh,RMSprop,25,1,2,0.7032533
75,1.0,tanh,RMSprop,5,1,2,0.700918
50,1.0,tanh,RMSprop,30,1,2,0.69852513
45,1.0,tanh,RMSprop,5,1,2,0.6983096
80,1.0,tanh,RMSprop,10,1,2,0.6933667
15,1.0,tanh,RMSprop,15,1,2,0.69327897
10,1.0,tanh,RMSprop,15,1,2,0.69000196
30,1.0,tanh,RMSprop,30,1,2,0.68585867
20,1.0,tanh,RMSprop,5,1,2,0.68106455
35,1.0,tanh,RMSprop,15,1,2,0.6756967
35,1.0,tanh,RMSprop,90,1,2,0.67455107
50,1.0,tanh,RMSprop,5,1,2,0.6710962
90,1.0,tanh,RMSprop,30,1,2,0.6668336
55,1.0,tanh,RMSprop,30,1,2,0.66682273
40,1.0,tanh,RMSprop,95,1,2,0.6658031
30,1.0,tanh,RMSprop,20,1,2,0.664392
30,1.0,tanh,RMSprop,5,1,2,0.6641663
30,1.0,tanh,RMSprop,15,1,2,0.6619754
30,1.0,tanh,RMSprop,10,1,2,0.66074526
60,1.0,tanh,RMSprop,5,1,2,0.6604166
55,1.0,tanh,RMSprop,95,1,2,0.64588296
90,1.0,tanh,RMSprop,70,1,2,0.6445359
35,1.0,tanh,RMSprop,35,1,2,0.64377123
40,1.0,tanh,RMSprop,5,1,2,0.63701695
35,1.0,tanh,RMSprop,20,1,2,0.6365882
5,1.0,tanh,RMSprop,15,1,2,0.63351184
55,1.0,tanh,RMSprop,70,1,2,0.6320733
75,1.0,tanh,RMSprop,15,1,2,0.62723035
80,1.0,tanh,RMSprop,15,1,2,0.62489563
75,1.0,tanh,RMSprop,20,1,2,0.6225949
100,1.0,tanh,RMSprop,10,1,2,0.62013245
65,1.0,tanh,RMSprop,5,1,2,0.62001264
70,1.0,tanh,RMSprop,100,1,2,0.6183764
25,1.0,tanh,RMSprop,15,1,2,0.618354
100,1.0,tanh,RMSprop,35,1,2,0.61409324
95,1.0,tanh,RMSprop,5,1,2,0.61140555
25,1.0,tanh,RMSprop,20,1,2,0.6082603
25,1.0,tanh,RMSprop,5,1,2,0.6081527
70,1.0,tanh,RMSprop,5,1,2,0.60561264
65,1.0,tanh,RMSprop,85,1,2,0.60188705
95,1.0,tanh,RMSprop,80,1,2,0.60030466
60,1.0,tanh,RMSprop,15,1,2,0.59723437
100,1.0,tanh,RMSprop,5,1,2,0.59642327
30,1.0,tanh,RMSprop,90,1,2,0.5936551
15,1.0,tanh,RMSprop,10,1,2,0.59300965
55,1.0,tanh,RMSprop,15,1,2,0.59163284
20,1.0,tanh,RMSprop,10,1,2,0.5882361
35,1.0,tanh,RMSprop,5,1,2,0.58690387
90,1.0,tanh,RMSprop,10,1,2,0.5867751
15,1.0,tanh,RMSprop,30,1,2,0.58605915
65,1.0,tanh,RMSprop,30,1,2,0.5847941
50,1.0,tanh,RMSprop,25,1,2,0.58422387
85,1.0,tanh,RMSprop,35,1,2,0.5814517
45,1.0,tanh,RMSprop,10,1,2,0.5809657
30,1.0,tanh,RMSprop,85,1,2,0.5731379
75,1.0,tanh,RMSprop,25,1,2,0.57282776
40,1.0,tanh,RMSprop,25,1,2,0.56429124
5,1.0,tanh,RMSprop,85,1,2,0.5618897
85,1.0,tanh,RMSprop,5,1,2,0.55815786
100,1.0,tanh,RMSprop,60,1,2,0.5552929
35,1.0,tanh,RMSprop,100,1,2,0.5528711
60,1.0,tanh,RMSprop,95,1,2,0.5479986
95,1.0,tanh,RMSprop,10,1,2,0.5461904
20,1.0,tanh,RMSprop,15,1,2,0.53921777
60,1.0,tanh,RMSprop,10,1,2,0.53294355
95,1.0,tanh,RMSprop,25,1,2,0.53138006
15,1.0,tanh,RMSprop,5,1,2,0.5278867
15,1.0,tanh,RMSprop,20,1,2,0.5270102
50,1.0,tanh,RMSprop,95,1,2,0.5229634
70,1.0,tanh,RMSprop,10,1,2,0.5167092
80,1.0,tanh,RMSprop,85,1,2,0.5041955
100,1.0,tanh,RMSprop,15,1,2,0.5030497
