epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
60,1.0,tanh,RMSprop,10,1,2,0.812705
95,1.0,tanh,RMSprop,10,1,2,0.8019913
15,1.0,tanh,RMSprop,15,1,2,0.7903678
70,1.0,tanh,RMSprop,15,1,2,0.7884662
20,1.0,tanh,RMSprop,15,1,2,0.78829736
40,1.0,tanh,RMSprop,20,1,2,0.777669
15,1.0,tanh,RMSprop,20,1,2,0.7757166
45,1.0,tanh,RMSprop,5,1,2,0.7688959
85,1.0,tanh,RMSprop,10,1,2,0.7630798
75,1.0,tanh,RMSprop,15,1,2,0.7629085
20,1.0,tanh,RMSprop,5,1,2,0.76163566
80,1.0,tanh,RMSprop,10,1,2,0.7582028
50,1.0,tanh,RMSprop,10,1,2,0.75758606
35,1.0,tanh,RMSprop,5,1,2,0.75696385
70,1.0,tanh,RMSprop,10,1,2,0.75678796
25,1.0,tanh,RMSprop,15,1,2,0.7488184
30,1.0,tanh,RMSprop,15,1,2,0.74555707
90,1.0,tanh,RMSprop,20,1,2,0.7448048
35,1.0,tanh,RMSprop,10,1,2,0.74470425
80,1.0,tanh,RMSprop,15,1,2,0.74244046
40,1.0,tanh,RMSprop,15,1,2,0.73821926
80,1.0,tanh,RMSprop,20,1,2,0.7353093
25,1.0,tanh,RMSprop,10,1,2,0.7345554
50,1.0,tanh,RMSprop,5,1,2,0.7325231
60,1.0,tanh,RMSprop,5,1,2,0.7308372
70,1.0,tanh,RMSprop,5,1,2,0.7301763
35,1.0,tanh,RMSprop,15,1,2,0.7231548
10,1.0,tanh,RMSprop,10,1,2,0.72286916
15,1.0,tanh,RMSprop,10,1,2,0.72017384
30,1.0,tanh,RMSprop,5,1,2,0.7184637
65,1.0,tanh,RMSprop,20,1,2,0.7170172
55,1.0,tanh,RMSprop,20,1,2,0.712535
95,1.0,tanh,RMSprop,5,1,2,0.7123757
65,1.0,tanh,RMSprop,15,1,2,0.700668
45,1.0,tanh,RMSprop,15,1,2,0.69193923
10,1.0,tanh,RMSprop,5,1,2,0.69148666
40,1.0,tanh,RMSprop,5,1,2,0.68562824
80,1.0,tanh,RMSprop,25,1,2,0.6847279
50,1.0,tanh,RMSprop,15,1,2,0.67891693
100,1.0,tanh,RMSprop,25,1,2,0.6736623
25,1.0,tanh,RMSprop,5,1,2,0.6703209
55,1.0,tanh,RMSprop,10,1,2,0.6689874
60,1.0,tanh,RMSprop,15,1,2,0.66809756
100,1.0,tanh,RMSprop,5,1,2,0.66667783
30,1.0,tanh,RMSprop,10,1,2,0.66611654
10,1.0,tanh,RMSprop,15,1,2,0.66214216
95,1.0,tanh,RMSprop,20,1,2,0.6605396
15,1.0,tanh,RMSprop,5,1,2,0.6592894
95,1.0,tanh,RMSprop,15,1,2,0.6516823
45,1.0,tanh,RMSprop,10,1,2,0.64931047
85,1.0,tanh,RMSprop,30,1,2,0.64749104
50,1.0,tanh,RMSprop,20,1,2,0.6474206
20,1.0,tanh,RMSprop,20,1,2,0.64702594
75,1.0,tanh,RMSprop,25,1,2,0.64578736
75,1.0,tanh,RMSprop,10,1,2,0.6453967
90,1.0,tanh,RMSprop,10,1,2,0.6442724
90,1.0,tanh,RMSprop,5,1,2,0.6398507
5,1.0,tanh,RMSprop,15,1,2,0.6383275
65,1.0,tanh,RMSprop,5,1,2,0.6337436
5,1.0,tanh,RMSprop,10,1,2,0.6319731
60,1.0,tanh,RMSprop,25,1,2,0.6306966
80,1.0,tanh,RMSprop,5,1,2,0.6261657
15,1.0,tanh,RMSprop,25,1,2,0.62423867
85,1.0,tanh,RMSprop,15,1,2,0.61495245
10,1.0,tanh,RMSprop,20,1,2,0.6144319
25,1.0,tanh,RMSprop,20,1,2,0.6137126
100,1.0,tanh,RMSprop,10,1,2,0.59835994
100,1.0,tanh,RMSprop,20,1,2,0.5965123
20,1.0,tanh,RMSprop,25,1,2,0.58825123
85,1.0,tanh,RMSprop,20,1,2,0.5879226
75,1.0,tanh,RMSprop,20,1,2,0.5794702
20,1.0,tanh,RMSprop,10,1,2,0.5774419
95,1.0,tanh,RMSprop,30,1,2,0.57703173
90,1.0,tanh,RMSprop,15,1,2,0.5570253
60,1.0,tanh,RMSprop,20,1,2,0.54609317
5,1.0,tanh,RMSprop,25,1,2,0.531515
90,1.0,tanh,RMSprop,25,1,2,0.5276486
85,1.0,tanh,RMSprop,5,1,2,0.51524985
70,1.0,tanh,RMSprop,20,1,2,0.5080708
45,1.0,tanh,RMSprop,25,1,2,0.50169855
55,1.0,tanh,RMSprop,5,1,2,0.4879134
75,1.0,tanh,RMSprop,30,1,2,0.48054647
50,1.0,tanh,RMSprop,25,1,2,0.47412091
65,1.0,tanh,RMSprop,10,1,2,0.47073513
55,1.0,tanh,RMSprop,25,1,2,0.4442403
65,1.0,tanh,RMSprop,25,1,2,0.43499076
55,1.0,tanh,RMSprop,15,1,2,0.4264189
5,1.0,tanh,RMSprop,20,1,2,0.42109618
5,1.0,tanh,RMSprop,5,1,2,0.40311503
60,1.0,tanh,RMSprop,30,1,2,0.40172267
35,1.0,tanh,RMSprop,20,1,2,0.39477554
85,1.0,tanh,RMSprop,25,1,2,0.36706418
