epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
85,1.0,tanh,RMSprop,10,1,2,0.84715265
80,1.0,tanh,RMSprop,10,1,2,0.8213256
90,1.0,tanh,RMSprop,5,1,2,0.8047834
15,1.0,tanh,RMSprop,20,1,2,0.8033095
80,1.0,tanh,RMSprop,5,1,2,0.79527384
70,1.0,tanh,RMSprop,5,1,2,0.79419285
15,1.0,tanh,RMSprop,15,1,2,0.79004043
70,1.0,tanh,RMSprop,35,1,2,0.7874294
55,1.0,tanh,RMSprop,5,1,2,0.78341913
35,1.0,tanh,RMSprop,15,1,2,0.78036934
65,1.0,tanh,RMSprop,5,1,2,0.779705
25,1.0,tanh,RMSprop,30,1,2,0.77396625
50,1.0,tanh,RMSprop,5,1,2,0.77316606
25,1.0,tanh,RMSprop,25,1,2,0.7710738
95,1.0,tanh,RMSprop,5,1,2,0.7690799
30,1.0,tanh,RMSprop,20,1,2,0.7673062
25,1.0,tanh,RMSprop,10,1,2,0.7664438
40,1.0,tanh,RMSprop,10,1,2,0.7638915
100,1.0,tanh,RMSprop,15,1,2,0.761571
20,1.0,tanh,RMSprop,15,1,2,0.7562872
20,1.0,tanh,RMSprop,5,1,2,0.750058
50,1.0,tanh,RMSprop,30,1,2,0.74854916
40,1.0,tanh,RMSprop,5,1,2,0.74778116
100,1.0,tanh,RMSprop,5,1,2,0.7458395
60,1.0,tanh,RMSprop,20,1,2,0.7408054
25,1.0,tanh,RMSprop,15,1,2,0.7399991
60,1.0,tanh,RMSprop,5,1,2,0.7378749
55,1.0,tanh,RMSprop,15,1,2,0.7366611
55,1.0,tanh,RMSprop,20,1,2,0.7358525
10,1.0,tanh,RMSprop,25,1,2,0.7323997
25,1.0,tanh,RMSprop,5,1,2,0.7318969
95,1.0,tanh,RMSprop,45,1,2,0.72535014
15,1.0,tanh,RMSprop,25,1,2,0.7250621
90,1.0,tanh,RMSprop,10,1,2,0.7208143
15,1.0,tanh,RMSprop,35,1,2,0.7197669
35,1.0,tanh,RMSprop,5,1,2,0.71771765
75,1.0,tanh,RMSprop,15,1,2,0.7066173
30,1.0,tanh,RMSprop,5,1,2,0.69422275
90,1.0,tanh,RMSprop,65,1,2,0.6933378
80,1.0,tanh,RMSprop,30,1,2,0.6902363
85,1.0,tanh,RMSprop,45,1,2,0.68366164
95,1.0,tanh,RMSprop,20,1,2,0.6833691
10,1.0,tanh,RMSprop,5,1,2,0.6794859
30,1.0,tanh,RMSprop,15,1,2,0.6708033
100,1.0,tanh,RMSprop,65,1,2,0.6688375
85,1.0,tanh,RMSprop,5,1,2,0.66823393
100,1.0,tanh,RMSprop,20,1,2,0.6665539
75,1.0,tanh,RMSprop,5,1,2,0.6661246
95,1.0,tanh,RMSprop,10,1,2,0.66267174
5,1.0,tanh,RMSprop,5,1,2,0.6610902
45,1.0,tanh,RMSprop,5,1,2,0.6600839
65,1.0,tanh,RMSprop,25,1,2,0.6530284
25,1.0,tanh,RMSprop,20,1,2,0.6449934
5,1.0,tanh,RMSprop,15,1,2,0.6391134
85,1.0,tanh,RMSprop,20,1,2,0.6390103
85,1.0,tanh,RMSprop,15,1,2,0.6345189
15,1.0,tanh,RMSprop,10,1,2,0.6264848
70,1.0,tanh,RMSprop,10,1,2,0.6261544
35,1.0,tanh,RMSprop,65,1,2,0.62493867
35,1.0,tanh,RMSprop,10,1,2,0.61934704
5,1.0,tanh,RMSprop,35,1,2,0.6183615
75,1.0,tanh,RMSprop,10,1,2,0.6155353
100,1.0,tanh,RMSprop,30,1,2,0.6101501
50,1.0,tanh,RMSprop,15,1,2,0.6078404
20,1.0,tanh,RMSprop,10,1,2,0.60681504
10,1.0,tanh,RMSprop,55,1,2,0.606255
5,1.0,tanh,RMSprop,45,1,2,0.5987551
20,1.0,tanh,RMSprop,50,1,2,0.5945494
20,1.0,tanh,RMSprop,25,1,2,0.5914968
5,1.0,tanh,RMSprop,40,1,2,0.59032065
35,1.0,tanh,RMSprop,20,1,2,0.5880942
80,1.0,tanh,RMSprop,80,1,2,0.58285636
65,1.0,tanh,RMSprop,15,1,2,0.5822411
65,1.0,tanh,RMSprop,10,1,2,0.58197486
50,1.0,tanh,RMSprop,10,1,2,0.57888603
60,1.0,tanh,RMSprop,50,1,2,0.57065475
40,1.0,tanh,RMSprop,15,1,2,0.5645971
50,1.0,tanh,RMSprop,40,1,2,0.56111354
40,1.0,tanh,RMSprop,30,1,2,0.559597
95,1.0,tanh,RMSprop,100,1,2,0.55697846
90,1.0,tanh,RMSprop,40,1,2,0.5569577
5,1.0,tanh,RMSprop,25,1,2,0.5506782
45,1.0,tanh,RMSprop,10,1,2,0.54935837
95,1.0,tanh,RMSprop,80,1,2,0.5453591
90,1.0,tanh,RMSprop,30,1,2,0.54457784
100,1.0,tanh,RMSprop,25,1,2,0.54046965
90,1.0,tanh,RMSprop,25,1,2,0.5396441
85,1.0,tanh,RMSprop,75,1,2,0.53563786
10,1.0,tanh,RMSprop,10,1,2,0.5356044
65,1.0,tanh,RMSprop,20,1,2,0.535018
15,1.0,tanh,RMSprop,60,1,2,0.53420126
10,1.0,tanh,RMSprop,15,1,2,0.53016645
85,1.0,tanh,RMSprop,65,1,2,0.5293957
65,1.0,tanh,RMSprop,75,1,2,0.519368
45,1.0,tanh,RMSprop,15,1,2,0.51684475
55,1.0,tanh,RMSprop,30,1,2,0.51367503
85,1.0,tanh,RMSprop,40,1,2,0.50967044
95,1.0,tanh,RMSprop,90,1,2,0.50245047
95,1.0,tanh,RMSprop,95,1,2,0.48991925
85,1.0,tanh,RMSprop,95,1,2,0.4878767
95,1.0,tanh,RMSprop,50,1,2,0.4858118
45,1.0,tanh,RMSprop,20,1,2,0.48205665
80,1.0,tanh,RMSprop,40,1,2,0.46783787
50,1.0,tanh,RMSprop,55,1,2,0.46749702
70,1.0,tanh,RMSprop,90,1,2,0.46012717
10,1.0,tanh,RMSprop,35,1,2,0.4591914
80,1.0,tanh,RMSprop,25,1,2,0.45897374
75,1.0,tanh,RMSprop,100,1,2,0.45781422
30,1.0,tanh,RMSprop,10,1,2,0.44558066
55,1.0,tanh,RMSprop,10,1,2,0.44251445
60,1.0,tanh,RMSprop,75,1,2,0.43842876
45,1.0,tanh,RMSprop,30,1,2,0.43667114
95,1.0,tanh,RMSprop,65,1,2,0.43070012
75,1.0,tanh,RMSprop,55,1,2,0.42870364
85,1.0,tanh,RMSprop,50,1,2,0.42025545
100,1.0,tanh,RMSprop,85,1,2,0.41846088
90,1.0,tanh,RMSprop,15,1,2,0.41671336
90,1.0,tanh,RMSprop,50,1,2,0.41324234
100,1.0,tanh,RMSprop,10,1,2,0.4105226
40,1.0,tanh,RMSprop,20,1,2,0.40990224
100,1.0,tanh,RMSprop,45,1,2,0.40757123
55,1.0,tanh,RMSprop,35,1,2,0.40654707
55,1.0,tanh,RMSprop,25,1,2,0.4063942
65,1.0,tanh,RMSprop,95,1,2,0.40413982
80,1.0,tanh,RMSprop,15,1,2,0.39709935
95,1.0,tanh,RMSprop,15,1,2,0.39535114
65,1.0,tanh,RMSprop,85,1,2,0.38715756
100,1.0,tanh,RMSprop,80,1,2,0.38572982
85,1.0,tanh,RMSprop,80,1,2,0.3814939
70,1.0,tanh,RMSprop,50,1,2,0.3761397
100,1.0,tanh,RMSprop,70,1,2,0.3748001
80,1.0,tanh,RMSprop,85,1,2,0.3740596
90,1.0,tanh,RMSprop,35,1,2,0.37022367
75,1.0,tanh,RMSprop,75,1,2,0.36734223
60,1.0,tanh,RMSprop,90,1,2,0.367088
5,1.0,tanh,RMSprop,30,1,2,0.3661078
75,1.0,tanh,RMSprop,50,1,2,0.36451
85,1.0,tanh,RMSprop,85,1,2,0.35936457
10,1.0,tanh,RMSprop,40,1,2,0.34771523
65,1.0,tanh,RMSprop,35,1,2,0.34619173
60,1.0,tanh,RMSprop,40,1,2,0.3391626
95,1.0,tanh,RMSprop,85,1,2,0.33404702
15,1.0,tanh,RMSprop,5,1,2,0.33137742
95,1.0,tanh,RMSprop,60,1,2,0.33121675
100,1.0,tanh,RMSprop,95,1,2,0.3266991
55,1.0,tanh,RMSprop,90,1,2,0.32412845
80,1.0,tanh,RMSprop,100,1,2,0.32172313
90,1.0,tanh,RMSprop,55,1,2,0.31850585
75,1.0,tanh,RMSprop,85,1,2,0.31369907
65,1.0,tanh,RMSprop,30,1,2,0.31131488
95,1.0,tanh,RMSprop,70,1,2,0.30485126
70,1.0,tanh,RMSprop,100,1,2,0.2980338
45,1.0,tanh,RMSprop,40,1,2,0.295185
60,1.0,tanh,RMSprop,100,1,2,0.28994685
5,1.0,tanh,RMSprop,20,1,2,0.28657585
100,1.0,tanh,RMSprop,55,1,2,0.2812393
45,1.0,tanh,RMSprop,100,1,2,0.2807234
85,1.0,tanh,RMSprop,70,1,2,0.27097836
100,1.0,tanh,RMSprop,60,1,2,0.27021295
75,1.0,tanh,RMSprop,20,1,2,0.26828748
75,1.0,tanh,RMSprop,70,1,2,0.25929362
95,1.0,tanh,RMSprop,75,1,2,0.25314853
10,1.0,tanh,RMSprop,20,1,2,0.25091553
40,1.0,tanh,RMSprop,25,1,2,0.24342933
