epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
5,1.0,tanh,RMSprop,40,1,2,0.8926718
80,1.0,tanh,RMSprop,15,1,2,0.88925815
65,1.0,tanh,RMSprop,10,1,2,0.8788706
50,1.0,tanh,RMSprop,10,1,2,0.86312705
95,1.0,tanh,RMSprop,5,1,2,0.85862106
100,1.0,tanh,RMSprop,15,1,2,0.855642
10,1.0,tanh,RMSprop,10,1,2,0.8546073
80,1.0,tanh,RMSprop,55,1,2,0.8525742
75,1.0,tanh,RMSprop,5,1,2,0.85203785
30,1.0,tanh,RMSprop,20,1,2,0.8516919
65,1.0,tanh,RMSprop,35,1,2,0.8500337
90,1.0,tanh,RMSprop,60,1,2,0.8494308
90,1.0,tanh,RMSprop,5,1,2,0.8493364
10,1.0,tanh,RMSprop,30,1,2,0.8436027
10,1.0,tanh,RMSprop,15,1,2,0.84344083
25,1.0,tanh,RMSprop,5,1,2,0.83962375
35,1.0,tanh,RMSprop,10,1,2,0.83279186
80,1.0,tanh,RMSprop,35,1,2,0.8327471
20,1.0,tanh,RMSprop,15,1,2,0.8314157
100,1.0,tanh,RMSprop,10,1,2,0.829264
55,1.0,tanh,RMSprop,5,1,2,0.82735735
55,1.0,tanh,RMSprop,15,1,2,0.82595783
65,1.0,tanh,RMSprop,30,1,2,0.82229096
45,1.0,tanh,RMSprop,5,1,2,0.80980015
20,1.0,tanh,RMSprop,10,1,2,0.8069616
70,1.0,tanh,RMSprop,10,1,2,0.80408496
40,1.0,tanh,RMSprop,25,1,2,0.8038966
70,1.0,tanh,RMSprop,5,1,2,0.80235004
75,1.0,tanh,RMSprop,90,1,2,0.793968
5,1.0,tanh,RMSprop,50,1,2,0.79233146
75,1.0,tanh,RMSprop,60,1,2,0.78601426
85,1.0,tanh,RMSprop,5,1,2,0.78270626
55,1.0,tanh,RMSprop,10,1,2,0.78071404
40,1.0,tanh,RMSprop,20,1,2,0.7765497
15,1.0,tanh,RMSprop,5,1,2,0.7755217
35,1.0,tanh,RMSprop,50,1,2,0.7737499
10,1.0,tanh,RMSprop,20,1,2,0.77285767
20,1.0,tanh,RMSprop,20,1,2,0.7698127
35,1.0,tanh,RMSprop,25,1,2,0.769362
15,1.0,tanh,RMSprop,20,1,2,0.76703864
100,1.0,tanh,RMSprop,5,1,2,0.7640802
75,1.0,tanh,RMSprop,15,1,2,0.7615476
15,1.0,tanh,RMSprop,10,1,2,0.7574684
50,1.0,tanh,RMSprop,5,1,2,0.7572445
15,1.0,tanh,RMSprop,25,1,2,0.75649214
30,1.0,tanh,RMSprop,25,1,2,0.7560357
40,1.0,tanh,RMSprop,10,1,2,0.755346
85,1.0,tanh,RMSprop,40,1,2,0.75188696
30,1.0,tanh,RMSprop,10,1,2,0.74983084
10,1.0,tanh,RMSprop,5,1,2,0.74624604
5,1.0,tanh,RMSprop,15,1,2,0.7443244
85,1.0,tanh,RMSprop,10,1,2,0.74315774
90,1.0,tanh,RMSprop,10,1,2,0.7425857
5,1.0,tanh,RMSprop,5,1,2,0.73872817
45,1.0,tanh,RMSprop,35,1,2,0.73356074
20,1.0,tanh,RMSprop,5,1,2,0.7334955
90,1.0,tanh,RMSprop,45,1,2,0.7327312
60,1.0,tanh,RMSprop,5,1,2,0.7312423
60,1.0,tanh,RMSprop,15,1,2,0.7308192
80,1.0,tanh,RMSprop,20,1,2,0.71272546
30,1.0,tanh,RMSprop,40,1,2,0.71210593
70,1.0,tanh,RMSprop,80,1,2,0.7073907
85,1.0,tanh,RMSprop,45,1,2,0.7018246
95,1.0,tanh,RMSprop,15,1,2,0.7005864
40,1.0,tanh,RMSprop,5,1,2,0.69920105
60,1.0,tanh,RMSprop,35,1,2,0.69477165
55,1.0,tanh,RMSprop,75,1,2,0.6912885
95,1.0,tanh,RMSprop,10,1,2,0.6877691
30,1.0,tanh,RMSprop,15,1,2,0.6861204
60,1.0,tanh,RMSprop,10,1,2,0.6803003
