epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
50,1.0,tanh,RMSprop,5,1,2,0.79947
15,1.0,tanh,RMSprop,20,1,2,0.7335372
30,1.0,tanh,RMSprop,10,1,2,0.7307142
10,1.0,tanh,RMSprop,30,1,2,0.724356
50,1.0,tanh,RMSprop,20,1,2,0.7150321
40,1.0,tanh,RMSprop,5,1,2,0.7119639
5,1.0,tanh,RMSprop,30,1,2,0.71011966
20,1.0,tanh,RMSprop,15,1,2,0.7042541
10,1.0,tanh,RMSprop,25,1,2,0.70380116
20,1.0,tanh,RMSprop,10,1,2,0.70359075
45,1.0,tanh,RMSprop,5,1,2,0.7025642
45,1.0,tanh,RMSprop,10,1,2,0.7018376
10,1.0,tanh,RMSprop,10,1,2,0.7010156
55,1.0,tanh,RMSprop,45,1,2,0.69396013
10,1.0,tanh,RMSprop,15,1,2,0.69372636
15,1.0,tanh,RMSprop,15,1,2,0.6931499
5,1.0,tanh,RMSprop,25,1,2,0.69015336
15,1.0,tanh,RMSprop,5,1,2,0.684123
70,1.0,tanh,RMSprop,45,1,2,0.68129563
45,1.0,tanh,RMSprop,85,1,2,0.67400634
60,1.0,tanh,RMSprop,5,1,2,0.6705409
55,1.0,tanh,RMSprop,10,1,2,0.6689278
45,1.0,tanh,RMSprop,70,1,2,0.6634828
10,1.0,tanh,RMSprop,5,1,2,0.6604624
90,1.0,tanh,RMSprop,95,1,2,0.65998816
75,1.0,tanh,RMSprop,10,1,2,0.65913606
55,1.0,tanh,RMSprop,50,1,2,0.6590694
70,1.0,tanh,RMSprop,35,1,2,0.6551653
70,1.0,tanh,RMSprop,10,1,2,0.6526974
95,1.0,tanh,RMSprop,10,1,2,0.64925027
70,1.0,tanh,RMSprop,55,1,2,0.646859
60,1.0,tanh,RMSprop,15,1,2,0.64600426
45,1.0,tanh,RMSprop,80,1,2,0.64569247
90,1.0,tanh,RMSprop,10,1,2,0.64483285
60,1.0,tanh,RMSprop,50,1,2,0.6431585
70,1.0,tanh,RMSprop,70,1,2,0.64231515
65,1.0,tanh,RMSprop,5,1,2,0.6419003
55,1.0,tanh,RMSprop,25,1,2,0.6414331
40,1.0,tanh,RMSprop,95,1,2,0.6405444
45,1.0,tanh,RMSprop,75,1,2,0.63823813
80,1.0,tanh,RMSprop,5,1,2,0.6369125
70,1.0,tanh,RMSprop,40,1,2,0.6368316
15,1.0,tanh,RMSprop,10,1,2,0.6285959
70,1.0,tanh,RMSprop,30,1,2,0.62826484
5,1.0,tanh,RMSprop,15,1,2,0.62497973
50,1.0,tanh,RMSprop,75,1,2,0.6244636
25,1.0,tanh,RMSprop,5,1,2,0.6242493
35,1.0,tanh,RMSprop,100,1,2,0.62256885
60,1.0,tanh,RMSprop,10,1,2,0.6213453
65,1.0,tanh,RMSprop,50,1,2,0.62082994
40,1.0,tanh,RMSprop,75,1,2,0.6206288
65,1.0,tanh,RMSprop,40,1,2,0.6194831
30,1.0,tanh,RMSprop,5,1,2,0.61512107
50,1.0,tanh,RMSprop,65,1,2,0.6118624
50,1.0,tanh,RMSprop,70,1,2,0.6085186
35,1.0,tanh,RMSprop,85,1,2,0.60797757
50,1.0,tanh,RMSprop,10,1,2,0.6061717
55,1.0,tanh,RMSprop,55,1,2,0.60274386
25,1.0,tanh,RMSprop,20,1,2,0.60264874
40,1.0,tanh,RMSprop,15,1,2,0.60129803
70,1.0,tanh,RMSprop,80,1,2,0.60087824
100,1.0,tanh,RMSprop,5,1,2,0.5988248
45,1.0,tanh,RMSprop,15,1,2,0.5982656
15,1.0,tanh,RMSprop,30,1,2,0.5954858
30,1.0,tanh,RMSprop,90,1,2,0.593521
80,1.0,tanh,RMSprop,10,1,2,0.59086674
35,1.0,tanh,RMSprop,75,1,2,0.58893275
70,1.0,tanh,RMSprop,5,1,2,0.58860385
35,1.0,tanh,RMSprop,90,1,2,0.5880581
60,1.0,tanh,RMSprop,40,1,2,0.5872425
50,1.0,tanh,RMSprop,55,1,2,0.5868234
60,1.0,tanh,RMSprop,55,1,2,0.5832707
75,1.0,tanh,RMSprop,45,1,2,0.58139426
75,1.0,tanh,RMSprop,20,1,2,0.57801354
90,1.0,tanh,RMSprop,5,1,2,0.57623434
40,1.0,tanh,RMSprop,10,1,2,0.5760676
75,1.0,tanh,RMSprop,40,1,2,0.5757176
30,1.0,tanh,RMSprop,95,1,2,0.5743085
30,1.0,tanh,RMSprop,15,1,2,0.57223266
40,1.0,tanh,RMSprop,90,1,2,0.5706755
40,1.0,tanh,RMSprop,80,1,2,0.5690341
75,1.0,tanh,RMSprop,35,1,2,0.5649739
45,1.0,tanh,RMSprop,65,1,2,0.5649163
70,1.0,tanh,RMSprop,50,1,2,0.56473714
85,1.0,tanh,RMSprop,55,1,2,0.56433815
55,1.0,tanh,RMSprop,5,1,2,0.56108314
80,1.0,tanh,RMSprop,30,1,2,0.55761385
50,1.0,tanh,RMSprop,80,1,2,0.55702025
25,1.0,tanh,RMSprop,15,1,2,0.5547452
100,1.0,tanh,RMSprop,30,1,2,0.5539942
40,1.0,tanh,RMSprop,85,1,2,0.55160743
50,1.0,tanh,RMSprop,60,1,2,0.5504734
80,1.0,tanh,RMSprop,45,1,2,0.5464402
45,1.0,tanh,RMSprop,50,1,2,0.5423218
55,1.0,tanh,RMSprop,15,1,2,0.54133034
100,1.0,tanh,RMSprop,75,1,2,0.54048777
60,1.0,tanh,RMSprop,65,1,2,0.5393637
100,1.0,tanh,RMSprop,85,1,2,0.53674024
95,1.0,tanh,RMSprop,70,1,2,0.53655815
35,1.0,tanh,RMSprop,80,1,2,0.53501856
100,1.0,tanh,RMSprop,50,1,2,0.5313112
100,1.0,tanh,RMSprop,65,1,2,0.52758133
95,1.0,tanh,RMSprop,5,1,2,0.52535623
85,1.0,tanh,RMSprop,40,1,2,0.5246142
65,1.0,tanh,RMSprop,65,1,2,0.5208616
30,1.0,tanh,RMSprop,85,1,2,0.5192734
95,1.0,tanh,RMSprop,25,1,2,0.51423395
55,1.0,tanh,RMSprop,65,1,2,0.510756
65,1.0,tanh,RMSprop,60,1,2,0.5107502
25,1.0,tanh,RMSprop,25,1,2,0.5088287
70,1.0,tanh,RMSprop,75,1,2,0.5075968
5,1.0,tanh,RMSprop,20,1,2,0.50164306
100,1.0,tanh,RMSprop,40,1,2,0.50088125
90,1.0,tanh,RMSprop,45,1,2,0.4975411
75,1.0,tanh,RMSprop,95,1,2,0.4972092
55,1.0,tanh,RMSprop,60,1,2,0.49715984
25,1.0,tanh,RMSprop,10,1,2,0.48897737
60,1.0,tanh,RMSprop,100,1,2,0.48745432
35,1.0,tanh,RMSprop,70,1,2,0.48732767
65,1.0,tanh,RMSprop,55,1,2,0.48251632
35,1.0,tanh,RMSprop,25,1,2,0.47936922
30,1.0,tanh,RMSprop,100,1,2,0.47833207
60,1.0,tanh,RMSprop,80,1,2,0.4729096
35,1.0,tanh,RMSprop,95,1,2,0.46193042
5,1.0,tanh,RMSprop,5,1,2,0.4608905
85,1.0,tanh,RMSprop,95,1,2,0.45721325
100,1.0,tanh,RMSprop,15,1,2,0.45712534
85,1.0,tanh,RMSprop,10,1,2,0.45468074
100,1.0,tanh,RMSprop,95,1,2,0.44166815
55,1.0,tanh,RMSprop,100,1,2,0.43239343
40,1.0,tanh,RMSprop,70,1,2,0.43184584
20,1.0,tanh,RMSprop,5,1,2,0.430536
85,1.0,tanh,RMSprop,70,1,2,0.4289867
100,1.0,tanh,RMSprop,70,1,2,0.42861176
90,1.0,tanh,RMSprop,75,1,2,0.42472017
85,1.0,tanh,RMSprop,30,1,2,0.4183144
75,1.0,tanh,RMSprop,100,1,2,0.41822046
95,1.0,tanh,RMSprop,90,1,2,0.4147939
90,1.0,tanh,RMSprop,40,1,2,0.4137164
60,1.0,tanh,RMSprop,30,1,2,0.4110359
90,1.0,tanh,RMSprop,80,1,2,0.4080051
45,1.0,tanh,RMSprop,25,1,2,0.405175
80,1.0,tanh,RMSprop,70,1,2,0.40321246
75,1.0,tanh,RMSprop,60,1,2,0.39707533
80,1.0,tanh,RMSprop,40,1,2,0.39465296
100,1.0,tanh,RMSprop,100,1,2,0.3896779
100,1.0,tanh,RMSprop,20,1,2,0.37756678
95,1.0,tanh,RMSprop,65,1,2,0.37488034
70,1.0,tanh,RMSprop,20,1,2,0.36909643
65,1.0,tanh,RMSprop,20,1,2,0.367367
70,1.0,tanh,RMSprop,90,1,2,0.35812107
95,1.0,tanh,RMSprop,60,1,2,0.35738164
80,1.0,tanh,RMSprop,35,1,2,0.35157692
70,1.0,tanh,RMSprop,100,1,2,0.3511971
80,1.0,tanh,RMSprop,100,1,2,0.34531048
50,1.0,tanh,RMSprop,90,1,2,0.3384234
40,1.0,tanh,RMSprop,25,1,2,0.3373717
80,1.0,tanh,RMSprop,25,1,2,0.3370233
95,1.0,tanh,RMSprop,95,1,2,0.33137724
60,1.0,tanh,RMSprop,60,1,2,0.32419902
65,1.0,tanh,RMSprop,45,1,2,0.31752425
80,1.0,tanh,RMSprop,75,1,2,0.3161192
60,1.0,tanh,RMSprop,70,1,2,0.31605947
85,1.0,tanh,RMSprop,90,1,2,0.30978757
75,1.0,tanh,RMSprop,15,1,2,0.30818585
90,1.0,tanh,RMSprop,65,1,2,0.30484387
95,1.0,tanh,RMSprop,100,1,2,0.30336106
80,1.0,tanh,RMSprop,20,1,2,0.29570338
60,1.0,tanh,RMSprop,20,1,2,0.2818975
50,1.0,tanh,RMSprop,85,1,2,0.27990755
45,1.0,tanh,RMSprop,20,1,2,0.2774177
75,1.0,tanh,RMSprop,90,1,2,0.27470025
75,1.0,tanh,RMSprop,50,1,2,0.27442613
75,1.0,tanh,RMSprop,80,1,2,0.2736543
45,1.0,tanh,RMSprop,95,1,2,0.27288508
35,1.0,tanh,RMSprop,10,1,2,0.2691296
50,1.0,tanh,RMSprop,25,1,2,0.26574305
100,1.0,tanh,RMSprop,90,1,2,0.2601595
60,1.0,tanh,RMSprop,95,1,2,0.25881267
45,1.0,tanh,RMSprop,100,1,2,0.25576162
85,1.0,tanh,RMSprop,5,1,2,0.25524685
100,1.0,tanh,RMSprop,45,1,2,0.25423396
50,1.0,tanh,RMSprop,100,1,2,0.25336975
55,1.0,tanh,RMSprop,75,1,2,0.24708432
35,1.0,tanh,RMSprop,5,1,2,0.2463746
95,1.0,tanh,RMSprop,55,1,2,0.24556035
85,1.0,tanh,RMSprop,35,1,2,0.24428111
80,1.0,tanh,RMSprop,65,1,2,0.24226908
65,1.0,tanh,RMSprop,30,1,2,0.24143915
5,1.0,tanh,RMSprop,10,1,2,0.24069424
45,1.0,tanh,RMSprop,60,1,2,0.24017063
10,1.0,tanh,RMSprop,20,1,2,0.23957036
100,1.0,tanh,RMSprop,55,1,2,0.23908299
95,1.0,tanh,RMSprop,80,1,2,0.2330631
80,1.0,tanh,RMSprop,95,1,2,0.23241673
70,1.0,tanh,RMSprop,65,1,2,0.23129463
40,1.0,tanh,RMSprop,55,1,2,0.2254805
45,1.0,tanh,RMSprop,90,1,2,0.21912774
95,1.0,tanh,RMSprop,50,1,2,0.21836455
75,1.0,tanh,RMSprop,70,1,2,0.21632932
80,1.0,tanh,RMSprop,85,1,2,0.21453638
80,1.0,tanh,RMSprop,50,1,2,0.21026023
80,1.0,tanh,RMSprop,15,1,2,0.20972104
50,1.0,tanh,RMSprop,15,1,2,0.20804514
95,1.0,tanh,RMSprop,35,1,2,0.19912076
100,1.0,tanh,RMSprop,25,1,2,0.1980528
85,1.0,tanh,RMSprop,100,1,2,0.19471039
95,1.0,tanh,RMSprop,20,1,2,0.18495378
90,1.0,tanh,RMSprop,90,1,2,0.18001395
65,1.0,tanh,RMSprop,75,1,2,0.17751893
55,1.0,tanh,RMSprop,40,1,2,0.17015873
75,1.0,tanh,RMSprop,55,1,2,0.16904858
85,1.0,tanh,RMSprop,50,1,2,0.16811627
90,1.0,tanh,RMSprop,85,1,2,0.16413438
40,1.0,tanh,RMSprop,30,1,2,0.15966326
100,1.0,tanh,RMSprop,60,1,2,0.15802345
95,1.0,tanh,RMSprop,45,1,2,0.15415438
60,1.0,tanh,RMSprop,25,1,2,0.1516576
85,1.0,tanh,RMSprop,85,1,2,0.14944275
60,1.0,tanh,RMSprop,75,1,2,0.1432865
55,1.0,tanh,RMSprop,80,1,2,0.14306688
55,1.0,tanh,RMSprop,90,1,2,0.13705726
85,1.0,tanh,RMSprop,75,1,2,0.13319221
95,1.0,tanh,RMSprop,75,1,2,0.13216503
95,1.0,tanh,RMSprop,85,1,2,0.12919836
40,1.0,tanh,RMSprop,100,1,2,0.11958332
80,1.0,tanh,RMSprop,60,1,2,0.11833503
50,1.0,tanh,RMSprop,95,1,2,0.111735776
70,1.0,tanh,RMSprop,95,1,2,0.11171191
80,1.0,tanh,RMSprop,55,1,2,0.11005056
95,1.0,tanh,RMSprop,40,1,2,0.10045518
80,1.0,tanh,RMSprop,80,1,2,0.0997396
65,1.0,tanh,RMSprop,85,1,2,0.09750887
55,1.0,tanh,RMSprop,95,1,2,0.095645666
55,1.0,tanh,RMSprop,35,1,2,0.09436648
55,1.0,tanh,RMSprop,70,1,2,0.09076565
55,1.0,tanh,RMSprop,85,1,2,0.08479164
35,1.0,tanh,RMSprop,30,1,2,0.07820675
70,1.0,tanh,RMSprop,60,1,2,0.07543651
70,1.0,tanh,RMSprop,85,1,2,0.06763376
90,1.0,tanh,RMSprop,35,1,2,0.053535238
80,1.0,tanh,RMSprop,90,1,2,0.05159513
65,1.0,tanh,RMSprop,35,1,2,0.047637913
60,1.0,tanh,RMSprop,45,1,2,0.04570393
50,1.0,tanh,RMSprop,45,1,2,0.04524898
5,1.0,tanh,RMSprop,45,1,2,0.04490701
60,1.0,tanh,RMSprop,35,1,2,0.04414278
5,1.0,tanh,RMSprop,35,1,2,0.044104293
5,1.0,tanh,RMSprop,55,1,2,0.043481737
65,1.0,tanh,RMSprop,95,1,2,0.043082196
5,1.0,tanh,RMSprop,50,1,2,0.042608112
5,1.0,tanh,RMSprop,60,1,2,0.041086625
5,1.0,tanh,RMSprop,75,1,2,0.040914334
5,1.0,tanh,RMSprop,85,1,2,0.04059975
5,1.0,tanh,RMSprop,80,1,2,0.040271237
5,1.0,tanh,RMSprop,70,1,2,0.04014569
5,1.0,tanh,RMSprop,40,1,2,0.040115498
100,1.0,tanh,RMSprop,80,1,2,0.040085964
50,1.0,tanh,RMSprop,50,1,2,0.039376475
5,1.0,tanh,RMSprop,65,1,2,0.03921604
40,1.0,tanh,RMSprop,50,1,2,0.03821902
5,1.0,tanh,RMSprop,100,1,2,0.037938435
45,1.0,tanh,RMSprop,55,1,2,0.03782758
5,1.0,tanh,RMSprop,90,1,2,0.036121946
55,1.0,tanh,RMSprop,30,1,2,0.03537543
5,1.0,tanh,RMSprop,95,1,2,0.03521679
40,1.0,tanh,RMSprop,60,1,2,0.035173427
50,1.0,tanh,RMSprop,35,1,2,0.034898557
45,1.0,tanh,RMSprop,45,1,2,0.03459885
50,1.0,tanh,RMSprop,40,1,2,0.03435832
45,1.0,tanh,RMSprop,35,1,2,0.03401154
40,1.0,tanh,RMSprop,65,1,2,0.033704743
40,1.0,tanh,RMSprop,40,1,2,0.032412056
35,1.0,tanh,RMSprop,40,1,2,0.03216828
35,1.0,tanh,RMSprop,35,1,2,0.03162428
55,1.0,tanh,RMSprop,20,1,2,0.03127054
45,1.0,tanh,RMSprop,40,1,2,0.030963209
35,1.0,tanh,RMSprop,60,1,2,0.030780034
40,1.0,tanh,RMSprop,35,1,2,0.030726006
30,1.0,tanh,RMSprop,75,1,2,0.030320134
40,1.0,tanh,RMSprop,45,1,2,0.03030742
35,1.0,tanh,RMSprop,65,1,2,0.03007037
30,1.0,tanh,RMSprop,80,1,2,0.029274976
30,1.0,tanh,RMSprop,60,1,2,0.028963655
35,1.0,tanh,RMSprop,55,1,2,0.028930446
35,1.0,tanh,RMSprop,50,1,2,0.028786918
30,1.0,tanh,RMSprop,65,1,2,0.028695306
30,1.0,tanh,RMSprop,70,1,2,0.028592007
35,1.0,tanh,RMSprop,45,1,2,0.028560106
30,1.0,tanh,RMSprop,45,1,2,0.027611684
25,1.0,tanh,RMSprop,100,1,2,0.027491251
30,1.0,tanh,RMSprop,55,1,2,0.027268035
90,1.0,tanh,RMSprop,70,1,2,0.027251475
25,1.0,tanh,RMSprop,85,1,2,0.027062513
25,1.0,tanh,RMSprop,95,1,2,0.026859792
25,1.0,tanh,RMSprop,90,1,2,0.02678759
25,1.0,tanh,RMSprop,75,1,2,0.026760994
25,1.0,tanh,RMSprop,55,1,2,0.026476396
25,1.0,tanh,RMSprop,60,1,2,0.026284467
30,1.0,tanh,RMSprop,30,1,2,0.02611892
30,1.0,tanh,RMSprop,50,1,2,0.02598956
25,1.0,tanh,RMSprop,65,1,2,0.025983896
30,1.0,tanh,RMSprop,40,1,2,0.025880795
25,1.0,tanh,RMSprop,45,1,2,0.025861733
30,1.0,tanh,RMSprop,35,1,2,0.025765684
25,1.0,tanh,RMSprop,80,1,2,0.025558205
25,1.0,tanh,RMSprop,35,1,2,0.025526097
25,1.0,tanh,RMSprop,70,1,2,0.025291525
20,1.0,tanh,RMSprop,70,1,2,0.025123922
20,1.0,tanh,RMSprop,90,1,2,0.02493721
25,1.0,tanh,RMSprop,30,1,2,0.024892678
25,1.0,tanh,RMSprop,40,1,2,0.024805088
20,1.0,tanh,RMSprop,95,1,2,0.024735017
20,1.0,tanh,RMSprop,85,1,2,0.024707895
20,1.0,tanh,RMSprop,65,1,2,0.024270989
25,1.0,tanh,RMSprop,50,1,2,0.02420375
20,1.0,tanh,RMSprop,60,1,2,0.024165755
20,1.0,tanh,RMSprop,80,1,2,0.024106406
85,1.0,tanh,RMSprop,25,1,2,0.024102919
20,1.0,tanh,RMSprop,100,1,2,0.024060102
20,1.0,tanh,RMSprop,50,1,2,0.02404277
20,1.0,tanh,RMSprop,40,1,2,0.023555372
20,1.0,tanh,RMSprop,75,1,2,0.023527905
20,1.0,tanh,RMSprop,35,1,2,0.023503449
20,1.0,tanh,RMSprop,55,1,2,0.02312515
