epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
50,1.0,tanh,RMSprop,20,1,2,0.88258433
35,1.0,tanh,RMSprop,15,1,2,0.87696934
10,1.0,tanh,RMSprop,10,1,2,0.8742107
55,1.0,tanh,RMSprop,10,1,2,0.87298155
35,1.0,tanh,RMSprop,10,1,2,0.8670868
15,1.0,tanh,RMSprop,20,1,2,0.8639247
50,1.0,tanh,RMSprop,10,1,2,0.8596161
45,1.0,tanh,RMSprop,10,1,2,0.8581527
15,1.0,tanh,RMSprop,10,1,2,0.8577752
75,1.0,tanh,RMSprop,5,1,2,0.85639024
25,1.0,tanh,RMSprop,10,1,2,0.85621846
15,1.0,tanh,RMSprop,30,1,2,0.85539824
35,1.0,tanh,RMSprop,5,1,2,0.8536866
40,1.0,tanh,RMSprop,15,1,2,0.8528703
40,1.0,tanh,RMSprop,10,1,2,0.8511253
100,1.0,tanh,RMSprop,55,1,2,0.85086125
90,1.0,tanh,RMSprop,5,1,2,0.8502732
60,1.0,tanh,RMSprop,5,1,2,0.84862953
50,1.0,tanh,RMSprop,15,1,2,0.8480607
100,1.0,tanh,RMSprop,15,1,2,0.84798944
55,1.0,tanh,RMSprop,15,1,2,0.8476201
30,1.0,tanh,RMSprop,5,1,2,0.8464739
25,1.0,tanh,RMSprop,15,1,2,0.84268844
95,1.0,tanh,RMSprop,5,1,2,0.8398939
60,1.0,tanh,RMSprop,10,1,2,0.8368089
10,1.0,tanh,RMSprop,20,1,2,0.83660096
20,1.0,tanh,RMSprop,15,1,2,0.8361943
20,1.0,tanh,RMSprop,10,1,2,0.8295028
75,1.0,tanh,RMSprop,10,1,2,0.82574254
95,1.0,tanh,RMSprop,50,1,2,0.8243426
60,1.0,tanh,RMSprop,25,1,2,0.82407385
90,1.0,tanh,RMSprop,45,1,2,0.8229883
85,1.0,tanh,RMSprop,5,1,2,0.82295865
30,1.0,tanh,RMSprop,20,1,2,0.8210588
20,1.0,tanh,RMSprop,5,1,2,0.82014996
60,1.0,tanh,RMSprop,90,1,2,0.82001805
90,1.0,tanh,RMSprop,20,1,2,0.81987643
40,1.0,tanh,RMSprop,5,1,2,0.8197836
45,1.0,tanh,RMSprop,5,1,2,0.8197717
50,1.0,tanh,RMSprop,5,1,2,0.814877
15,1.0,tanh,RMSprop,5,1,2,0.8127667
80,1.0,tanh,RMSprop,15,1,2,0.8122995
5,1.0,tanh,RMSprop,25,1,2,0.81130266
75,1.0,tanh,RMSprop,20,1,2,0.8109966
80,1.0,tanh,RMSprop,55,1,2,0.8104853
25,1.0,tanh,RMSprop,25,1,2,0.8102925
55,1.0,tanh,RMSprop,95,1,2,0.80889803
70,1.0,tanh,RMSprop,5,1,2,0.7993072
10,1.0,tanh,RMSprop,5,1,2,0.79890317
25,1.0,tanh,RMSprop,5,1,2,0.7952195
25,1.0,tanh,RMSprop,30,1,2,0.79210526
70,1.0,tanh,RMSprop,10,1,2,0.79174745
60,1.0,tanh,RMSprop,20,1,2,0.7915691
5,1.0,tanh,RMSprop,15,1,2,0.7901264
95,1.0,tanh,RMSprop,15,1,2,0.7868694
65,1.0,tanh,RMSprop,95,1,2,0.78658766
55,1.0,tanh,RMSprop,5,1,2,0.7800139
80,1.0,tanh,RMSprop,65,1,2,0.7773769
100,1.0,tanh,RMSprop,5,1,2,0.77616197
100,1.0,tanh,RMSprop,50,1,2,0.7727977
15,1.0,tanh,RMSprop,15,1,2,0.76617503
85,1.0,tanh,RMSprop,50,1,2,0.76195645
10,1.0,tanh,RMSprop,15,1,2,0.7609691
5,1.0,tanh,RMSprop,35,1,2,0.7603
90,1.0,tanh,RMSprop,15,1,2,0.75994384
75,1.0,tanh,RMSprop,70,1,2,0.74837464
85,1.0,tanh,RMSprop,15,1,2,0.74729544
70,1.0,tanh,RMSprop,65,1,2,0.7407779
20,1.0,tanh,RMSprop,20,1,2,0.74016017
70,1.0,tanh,RMSprop,20,1,2,0.7401201
85,1.0,tanh,RMSprop,20,1,2,0.7324292
30,1.0,tanh,RMSprop,10,1,2,0.7209204
55,1.0,tanh,RMSprop,20,1,2,0.7182517
80,1.0,tanh,RMSprop,10,1,2,0.71552646
95,1.0,tanh,RMSprop,25,1,2,0.7141914
70,1.0,tanh,RMSprop,15,1,2,0.713645
75,1.0,tanh,RMSprop,65,1,2,0.7061072
95,1.0,tanh,RMSprop,45,1,2,0.7039538
100,1.0,tanh,RMSprop,25,1,2,0.7029109
65,1.0,tanh,RMSprop,5,1,2,0.7009004
80,1.0,tanh,RMSprop,30,1,2,0.6999974
35,1.0,tanh,RMSprop,20,1,2,0.6932483
75,1.0,tanh,RMSprop,95,1,2,0.6898729
5,1.0,tanh,RMSprop,10,1,2,0.6858035
25,1.0,tanh,RMSprop,20,1,2,0.6829752
30,1.0,tanh,RMSprop,25,1,2,0.6802161
65,1.0,tanh,RMSprop,15,1,2,0.6730873
100,1.0,tanh,RMSprop,20,1,2,0.67296994
45,1.0,tanh,RMSprop,15,1,2,0.67149544
90,1.0,tanh,RMSprop,25,1,2,0.6640356
65,1.0,tanh,RMSprop,20,1,2,0.65972066
50,1.0,tanh,RMSprop,95,1,2,0.64738506
55,1.0,tanh,RMSprop,30,1,2,0.6404404
85,1.0,tanh,RMSprop,65,1,2,0.63549167
45,1.0,tanh,RMSprop,25,1,2,0.6332598
70,1.0,tanh,RMSprop,90,1,2,0.61955696
35,1.0,tanh,RMSprop,25,1,2,0.6193252
55,1.0,tanh,RMSprop,25,1,2,0.61511725
95,1.0,tanh,RMSprop,20,1,2,0.60752296
90,1.0,tanh,RMSprop,55,1,2,0.60686076
15,1.0,tanh,RMSprop,25,1,2,0.5922789
90,1.0,tanh,RMSprop,10,1,2,0.59188706
80,1.0,tanh,RMSprop,5,1,2,0.58929425
85,1.0,tanh,RMSprop,25,1,2,0.5721647
85,1.0,tanh,RMSprop,55,1,2,0.5656016
100,1.0,tanh,RMSprop,35,1,2,0.5640079
60,1.0,tanh,RMSprop,15,1,2,0.5490974
5,1.0,tanh,RMSprop,5,1,2,0.545485
100,1.0,tanh,RMSprop,30,1,2,0.50779486
30,1.0,tanh,RMSprop,30,1,2,0.5071591
40,1.0,tanh,RMSprop,20,1,2,0.5051473
75,1.0,tanh,RMSprop,15,1,2,0.4917452
80,1.0,tanh,RMSprop,20,1,2,0.47856936
75,1.0,tanh,RMSprop,60,1,2,0.44641465
95,1.0,tanh,RMSprop,10,1,2,0.44034368
100,1.0,tanh,RMSprop,70,1,2,0.4350134
100,1.0,tanh,RMSprop,45,1,2,0.38928682
50,1.0,tanh,RMSprop,25,1,2,0.37375852
80,1.0,tanh,RMSprop,25,1,2,0.37211046
45,1.0,tanh,RMSprop,20,1,2,0.362187
40,1.0,tanh,RMSprop,30,1,2,0.35523263
70,1.0,tanh,RMSprop,30,1,2,0.3371986
85,1.0,tanh,RMSprop,35,1,2,0.3363578
85,1.0,tanh,RMSprop,85,1,2,0.33597687
90,1.0,tanh,RMSprop,80,1,2,0.33265588
95,1.0,tanh,RMSprop,60,1,2,0.32578495
95,1.0,tanh,RMSprop,75,1,2,0.2833803
95,1.0,tanh,RMSprop,80,1,2,0.25926694
100,1.0,tanh,RMSprop,65,1,2,0.2545354
80,1.0,tanh,RMSprop,85,1,2,0.24791077
70,1.0,tanh,RMSprop,85,1,2,0.24489878
60,1.0,tanh,RMSprop,35,1,2,0.23856431
95,1.0,tanh,RMSprop,100,1,2,0.23070963
85,1.0,tanh,RMSprop,75,1,2,0.22205533
100,1.0,tanh,RMSprop,10,1,2,0.22130066
95,1.0,tanh,RMSprop,85,1,2,0.21698312
65,1.0,tanh,RMSprop,85,1,2,0.20038617
65,1.0,tanh,RMSprop,10,1,2,0.18522902
85,1.0,tanh,RMSprop,90,1,2,0.17344958
90,1.0,tanh,RMSprop,60,1,2,0.15260847
80,1.0,tanh,RMSprop,95,1,2,0.14709981
65,1.0,tanh,RMSprop,100,1,2,0.14679287
70,1.0,tanh,RMSprop,55,1,2,0.14371178
70,1.0,tanh,RMSprop,80,1,2,0.1292751
90,1.0,tanh,RMSprop,90,1,2,0.1289059
95,1.0,tanh,RMSprop,70,1,2,0.12818493
100,1.0,tanh,RMSprop,75,1,2,0.1281435
100,1.0,tanh,RMSprop,85,1,2,0.12134822
100,1.0,tanh,RMSprop,80,1,2,0.119663514
65,1.0,tanh,RMSprop,70,1,2,0.112101264
90,1.0,tanh,RMSprop,95,1,2,0.10982184
90,1.0,tanh,RMSprop,75,1,2,0.09709816
60,1.0,tanh,RMSprop,95,1,2,0.09426853
100,1.0,tanh,RMSprop,100,1,2,0.09268071
5,1.0,tanh,RMSprop,20,1,2,0.091372296
90,1.0,tanh,RMSprop,50,1,2,0.08992309
90,1.0,tanh,RMSprop,85,1,2,0.08889716
30,1.0,tanh,RMSprop,15,1,2,0.081052765
95,1.0,tanh,RMSprop,95,1,2,0.0788804
75,1.0,tanh,RMSprop,80,1,2,0.071176484
60,1.0,tanh,RMSprop,100,1,2,0.06395206
95,1.0,tanh,RMSprop,55,1,2,0.055652615
85,1.0,tanh,RMSprop,60,1,2,0.049011257
85,1.0,tanh,RMSprop,10,1,2,0.046364848
75,1.0,tanh,RMSprop,90,1,2,0.044308692
80,1.0,tanh,RMSprop,80,1,2,0.043679178
85,1.0,tanh,RMSprop,80,1,2,0.039815858
80,1.0,tanh,RMSprop,60,1,2,0.03569806
45,1.0,tanh,RMSprop,100,1,2,0.0341415
90,1.0,tanh,RMSprop,65,1,2,0.03232702
80,1.0,tanh,RMSprop,70,1,2,0.031499527
75,1.0,tanh,RMSprop,100,1,2,0.030822871
95,1.0,tanh,RMSprop,90,1,2,0.030281395
80,1.0,tanh,RMSprop,90,1,2,0.02955481
50,1.0,tanh,RMSprop,100,1,2,0.025849786
55,1.0,tanh,RMSprop,90,1,2,0.02239724
60,1.0,tanh,RMSprop,80,1,2,0.022091068
70,1.0,tanh,RMSprop,100,1,2,0.019142672
70,1.0,tanh,RMSprop,95,1,2,0.014722379
90,1.0,tanh,RMSprop,70,1,2,0.014001846
45,1.0,tanh,RMSprop,95,1,2,0.010100421
80,1.0,tanh,RMSprop,100,1,2,0.0052525336
65,1.0,tanh,RMSprop,80,1,2,0.0026349365
75,1.0,tanh,RMSprop,75,1,2,0.0022521531
85,1.0,tanh,RMSprop,95,1,2,0.00040299163
65,1.0,tanh,RMSprop,75,1,2,-0.14150338
100,1.0,tanh,RMSprop,60,1,2,-0.12074329
65,1.0,tanh,RMSprop,65,1,2,-0.11948587
5,1.0,tanh,RMSprop,40,1,2,-0.06820964
70,1.0,tanh,RMSprop,60,1,2,-0.06761174
5,1.0,tanh,RMSprop,30,1,2,-0.06705114
