epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,RMSprop,15,1,2,0.85124075
40,1.0,tanh,RMSprop,15,1,2,0.84557533
55,1.0,tanh,RMSprop,10,1,2,0.8452407
80,1.0,tanh,RMSprop,5,1,2,0.8411319
50,1.0,tanh,RMSprop,10,1,2,0.83961964
60,1.0,tanh,RMSprop,15,1,2,0.835234
65,1.0,tanh,RMSprop,20,1,2,0.83266133
20,1.0,tanh,RMSprop,15,1,2,0.8323112
75,1.0,tanh,RMSprop,15,1,2,0.8316205
55,1.0,tanh,RMSprop,5,1,2,0.8290835
50,1.0,tanh,RMSprop,15,1,2,0.82781386
55,1.0,tanh,RMSprop,20,1,2,0.8278111
85,1.0,tanh,RMSprop,10,1,2,0.82735115
40,1.0,tanh,RMSprop,10,1,2,0.82615197
60,1.0,tanh,RMSprop,10,1,2,0.82457095
5,1.0,tanh,RMSprop,5,1,2,0.8235407
40,1.0,tanh,RMSprop,5,1,2,0.8221142
85,1.0,tanh,RMSprop,20,1,2,0.82073694
75,1.0,tanh,RMSprop,10,1,2,0.81879246
65,1.0,tanh,RMSprop,5,1,2,0.8180303
45,1.0,tanh,RMSprop,10,1,2,0.8173726
90,1.0,tanh,RMSprop,15,1,2,0.81170297
75,1.0,tanh,RMSprop,5,1,2,0.81067723
70,1.0,tanh,RMSprop,5,1,2,0.8088032
10,1.0,tanh,RMSprop,10,1,2,0.8086249
15,1.0,tanh,RMSprop,15,1,2,0.8076255
90,1.0,tanh,RMSprop,10,1,2,0.80724525
5,1.0,tanh,RMSprop,10,1,2,0.80528456
55,1.0,tanh,RMSprop,70,1,2,0.80419475
25,1.0,tanh,RMSprop,5,1,2,0.804133
5,1.0,tanh,RMSprop,20,1,2,0.80232024
90,1.0,tanh,RMSprop,5,1,2,0.8020083
55,1.0,tanh,RMSprop,15,1,2,0.79821056
35,1.0,tanh,RMSprop,20,1,2,0.7976054
20,1.0,tanh,RMSprop,20,1,2,0.796596
35,1.0,tanh,RMSprop,10,1,2,0.789611
25,1.0,tanh,RMSprop,25,1,2,0.78806585
20,1.0,tanh,RMSprop,50,1,2,0.7873442
5,1.0,tanh,RMSprop,15,1,2,0.7858903
30,1.0,tanh,RMSprop,10,1,2,0.78287965
30,1.0,tanh,RMSprop,20,1,2,0.7773474
100,1.0,tanh,RMSprop,25,1,2,0.7769164
15,1.0,tanh,RMSprop,10,1,2,0.7755984
40,1.0,tanh,RMSprop,100,1,2,0.77531
20,1.0,tanh,RMSprop,5,1,2,0.7707242
80,1.0,tanh,RMSprop,10,1,2,0.7705698
10,1.0,tanh,RMSprop,15,1,2,0.77021784
90,1.0,tanh,RMSprop,25,1,2,0.7647647
45,1.0,tanh,RMSprop,15,1,2,0.76407075
15,1.0,tanh,RMSprop,5,1,2,0.7601652
25,1.0,tanh,RMSprop,10,1,2,0.7597156
100,1.0,tanh,RMSprop,5,1,2,0.75949746
